"","x","y","Municipality","Muni_Number"
"42",405056.98489863,7505542.72060108,"Vaeroey","1857"
"43",477062.146385,7365826.60519191,"Rana","1833"
"44",419233.78484131,7561356.72187286,"Flakstad","1859"
"45",467446.19774789,7623157.91066807,"Boe","1867"
"46",494930.37081318,7598479.55858037,"Hadsel","1866"
"47",525467.10143155,7585391.59911501,"Loedingen","1851"
"48",532053.49873818,7680548.93572336,"Andoeya","1871"
"49",640233.58058092,7741546.11052596,"Tromsoe","1902"
"50",1057953.14887899,7902980.79284817,"Baatsfjord","2028"
"99",350363.37705113,7250179.83845402,"Soemna","1812"
"100",338867.34000343,7293965.70559184,"Vega","1815"
"101",362240.75953674,7384867.52653185,"Traena","1835"
"102",476685.91656879,7570998.7334368,"Vaagan","1865"
"103",490078.97924573,7522227.06439755,"Steigen","1848"
"105",584328.746164,7638217.50087758,"Ibestad","1917"
"106",601125.0232773,7622565.79629907,"Gratangen","1919"
"107",588490.87893278,7670710.0577359,"Tranoey","1927"
"108",712064.91257067,7689342.05220359,"Storfjord","1939"
"110",883100.69598681,7820907.97163926,"Porsanger","2020"
"111",842467.52084324,7904327.59407995,"Maasoey","2018"
"148",371226.68932301,7259959.7472705,"Broennoey","1813"
"149",381689.30867555,7341668.99768011,"Doenna","1827"
"151",444995.53294183,7564881.43423711,"Vestvaagoey","1860"
"152",495857.3225918,7656266.66652667,"oeksnes","1868"
"153",580269.36912809,7613620.55909112,"Skaanland","1913"
"154",614471.15317057,7645051.41155376,"Salangen","1923"
"155",584656.41671051,7715157.16707832,"Berg","1929"
"156",754775.11414536,7727522.17170471,"Nordreisa","1942"
"157",841226.6357781,7840603.68770627,"Kvalsund","2017"
"158",974742.15915995,7842264.45267096,"Tana","2025"
"159",1019463.42694649,7839788.00010071,"Nesseby","2027"
"160",1058211.88484391,7853571.35766886,"Vadsoe","2003"
"200",395561.26938584,7368046.98716655,"Luroey","1834"
"202",453214.02909945,7437197.69231616,"Gildeskaal","1838"
"203",464005.01006062,7472703.10612744,"Bodoe","1804"
"204",523037.34725544,7419322.09475832,"Saltdal","1840"
"205",610190.94175832,7580855.89433531,"Narvik","1805"
"206",552668.22443861,7598850.04288884,"Tjeldsund","1852"
"207",580703.75925403,7598898.43886398,"Evenes","1853"
"208",613380.24679952,7627023.46462883,"Lavangen","1920"
"209",666479.17344036,7689310.03961695,"Balsfjord","1933"
"210",812751.15557073,7788533.08222863,"Alta","2012"
"211",763283.60162223,7853932.57898894,"Hasvik","2015"
"212",1097839.02518205,7880403.64563054,"Vardoe","2002"
"249",411176.08471001,7331733.78356053,"Leirfjord","1822"
"250",418572.95787153,7305164.65185133,"Vefsn","1824"
"251",612398.30328219,7707613.75712834,"Lenvik","1931"
"252",698247.37010015,7743747.27964854,"Lyngen","1938"
"253",801569.83377915,7873946.39325711,"Hammerfest","2004"
"255",975157.07027922,7923223.05823553,"Gamvik","2023"
"306",370837.87411807,7477544.91260785,"Roest","1856"
"307",408620.16144987,7348431.4568212,"Nesna","1828"
"308",532103.16433334,7488892.47294097,"Soerfold","1845"
"309",541552.49383061,7620800.73305397,"Kvaefjord","1911"
"310",571486.38796832,7575348.94251085,"Ballangen","1854"
"311",625712.10192357,7668552.79585343,"Soerreisa","1925"
"312",666314.16500663,7800617.4967985,"Karlsoey","1936"
"314",1067364.41827963,7800185.68350949,"Soer-Varanger","2030"
"315",1016445.26959797,7915380.62580522,"Berlevaag","2024"
"358",391785.92707612,7282453.46456466,"Vevelstad","1816"
"359",456087.0460679,7321813.86169553,"Hemnes","1832"
"360",426648.66198033,7424168.80171009,"Meloey","1837"
"361",533353.95395048,7456537.25256673,"Fauske","1841"
"362",570592.02588616,7697713.37633045,"Torsken","1928"
"363",604555.21675504,7660893.29083566,"Dyroey","1926"
"364",741761.10152183,7823909.3918648,"Loppa","2014"
"365",767558.99056725,7763792.23165531,"Kvaenangen","1943"
"366",936613.29980051,7882175.48903599,"Lebesby","2022"
"412",373154.35954605,7229195.94190553,"Bindal","1811"
"413",347982.94191982,7336687.49500546,"Heroey","1818"
"414",382270.44881078,7307167.25279875,"Alstahaug","1820"
"415",400257.10689668,7406766.35759593,"Roedoey","1836"
"418",411563.04110782,7534176.07413305,"Moskenes","1874"
"419",534297.62823013,7539316.40101414,"Hamaroey","1849"
"420",559509.32062451,7545980.96618692,"Tysfjord","1850"
"421",520591.96094293,7625868.5057305,"Sortland","1870"
"422",675673.52746344,7651107.39493531,"Maalselv","1924"
"423",724376.68777262,7718181.42570938,"Kaafjord","1940"
"424",716523.21738271,7791872.22209791,"Skjervoey","1941"
"425",894872.80357222,7922572.67185296,"Nordkapp","2019"
"426",560042.37146548,7649245.22497559,"Harstad","1903"
