"","Komnum","Name","Year","population"
"1",1804,"Bodo","1986",35792
"2",1804,"Bodo","1987",36227
"3",1804,"Bodo","1988",36634
"4",1804,"Bodo","1989",37108
"5",1804,"Bodo","1990",37771
"6",1804,"Bodo","1991",38170
"7",1804,"Bodo","1992",38605
"8",1804,"Bodo","1993",39178
"9",1804,"Bodo","1994",39763
"10",1804,"Bodo","1995",40419
"11",1804,"Bodo","1996",40828
"12",1804,"Bodo","1997",41050
"13",1804,"Bodo","1998",41513
"14",1804,"Bodo","1999",41878
"15",1804,"Bodo","2000",42465
"16",1804,"Bodo","2001",42624
"17",1804,"Bodo","2002",42840
"18",1804,"Bodo","2003",43247
"19",1804,"Bodo","2004",43775
"20",1804,"Bodo","2005",44414
"21",1804,"Bodo","2006",44992
"22",1804,"Bodo","2007",45575
"23",1804,"Bodo","2008",46049
"24",1804,"Bodo","2009",46495
"25",1804,"Bodo","2010",47282
"26",1804,"Bodo","2011",47847
"27",1804,"Bodo","2012",48422
"28",1804,"Bodo","2013",49203
"29",1804,"Bodo","2014",49731
"30",1804,"Bodo","2015",50185
"31",1804,"Bodo","2016",50488
"32",1804,"Bodo","2017",51022
"33",1804,"Bodo","2018",51558
"34",1805,"Narvik","1986",18750
"35",1805,"Narvik","1987",18643
"36",1805,"Narvik","1988",18470
"37",1805,"Narvik","1989",18594
"38",1805,"Narvik","1990",18597
"39",1805,"Narvik","1991",18639
"40",1805,"Narvik","1992",18733
"41",1805,"Narvik","1993",18884
"42",1805,"Narvik","1994",18976
"43",1805,"Narvik","1995",18920
"44",1805,"Narvik","1996",18739
"45",1805,"Narvik","1997",18581
"46",1805,"Narvik","1998",18498
"47",1805,"Narvik","1999",18499
"48",1805,"Narvik","2000",18600
"49",1805,"Narvik","2001",18577
"50",1805,"Narvik","2002",18495
"51",1805,"Narvik","2003",18470
"52",1805,"Narvik","2004",18542
"53",1805,"Narvik","2005",18512
"54",1805,"Narvik","2006",18365
"55",1805,"Narvik","2007",18301
"56",1805,"Narvik","2008",18384
"57",1805,"Narvik","2009",18348
"58",1805,"Narvik","2010",18402
"59",1805,"Narvik","2011",18380
"60",1805,"Narvik","2012",18473
"61",1805,"Narvik","2013",18509
"62",1805,"Narvik","2014",18705
"63",1805,"Narvik","2015",18853
"64",1805,"Narvik","2016",18787
"65",1805,"Narvik","2017",18756
"66",1805,"Narvik","2018",18638
"67",1811,"Bindal","1986",2173
"68",1811,"Bindal","1987",2162
"69",1811,"Bindal","1988",2141
"70",1811,"Bindal","1989",2083
"71",1811,"Bindal","1990",2095
"72",1811,"Bindal","1991",2097
"73",1811,"Bindal","1992",2088
"74",1811,"Bindal","1993",2064
"75",1811,"Bindal","1994",2052
"76",1811,"Bindal","1995",2042
"77",1811,"Bindal","1996",2022
"78",1811,"Bindal","1997",2008
"79",1811,"Bindal","1998",1969
"80",1811,"Bindal","1999",1951
"81",1811,"Bindal","2000",1921
"82",1811,"Bindal","2001",1911
"83",1811,"Bindal","2002",1867
"84",1811,"Bindal","2003",1822
"85",1811,"Bindal","2004",1804
"86",1811,"Bindal","2005",1778
"87",1811,"Bindal","2006",1741
"88",1811,"Bindal","2007",1692
"89",1811,"Bindal","2008",1631
"90",1811,"Bindal","2009",1616
"91",1811,"Bindal","2010",1601
"92",1811,"Bindal","2011",1592
"93",1811,"Bindal","2012",1562
"94",1811,"Bindal","2013",1545
"95",1811,"Bindal","2014",1503
"96",1811,"Bindal","2015",1482
"97",1811,"Bindal","2016",1465
"98",1811,"Bindal","2017",1473
"99",1811,"Bindal","2018",1486
"100",1812,"Somna","1986",2176
"101",1812,"Somna","1987",2154
"102",1812,"Somna","1988",2130
"103",1812,"Somna","1989",2112
"104",1812,"Somna","1990",2123
"105",1812,"Somna","1991",2113
"106",1812,"Somna","1992",2111
"107",1812,"Somna","1993",2109
"108",1812,"Somna","1994",2090
"109",1812,"Somna","1995",2138
"110",1812,"Somna","1996",2146
"111",1812,"Somna","1997",2119
