KomNr;Komnavn;nbfVassNr;Elvenavn;elvelengde;UTM33X;UTM33Y;GrlX;GrlY;PercEsc;InnslagEsc;GeneticSta
1917;Ibestad;188.22Z;Forselva;6570.414652;581432.0099;7627121.61;76.494;1853.47;-99;-99;-99
1917;Ibestad;188.23Z;Storelva;6672.649808;579245.6901;7626332.93;75.78;1851.283;-99;-99;-99
1917;Ibestad;188.22Z;Forselva;6570.414652;582497.3893;7629047.693;75.388;1869.775;-99;-99;-99
1917;Ibestad;188.23Z;Storelva;6672.649808;579636.0099;7632093;71.378;1868.562;-99;-99;-99
1867;Bo;185.611Z;Ringstadelva;6785.537109;484925.45;7616763.78;15.31;1761.943;-99;-99;-99
1867;Bo;185.612Z;Bøelva;4205.482815;482152.12;7612190.8;14.587;1756.657;-99;-99;-99
1867;Bo;185.6Z;elv fra Saltvatnet;12302.0501;478448.64;7619089.66;8.443;1761.524;-99;-99;-99
1867;Bo;185.71Z;Nykvågvassdraget;5400.024405;478787.98;7629685.08;2.591;1772.409;-99;-99;-99
1867;Bo;185.7Z;Ryggedalselva;8326.776719;489011.03;7626870.16;12.181;1776.957;-99;-99;-99
1867;Bo;185.61Z;Heggedalselva;3734.907524;484179.21;7616270.4;14.822;1761.188;-99;-99;-99
1867;Bo;185.64Z;Husvågelva;3767.430755;481559.97;7623522.44;8.709;1769.584;-99;-99;-99
1867;Bo;185.72Z;elv fra Skatvatnet;1593.964894;484566.06;7627537.88;8.374;1774.563;-99;-99;-99
1828;Nesna;157.31Z;Longsetelva;9103.440221;418055.8716;7350479.688;61.401;1461.837;-99;-99;-99
1828;Nesna;158.5Z;Tomsvikelva;4411.295918;399285.43;7349241.13;44.972;1452.62;-99;-99;-99
1865;Vogan;179.331Z;KYSTFELT;1165.609225;485654.65;7579164.22;34.61;1732.704;-99;-99;-99
1865;Vogan;179.33Z;Kvitforselva;5070.08936;485601.45;7578951.51;34.677;1732.392;-99;-99;-99
1865;Vogan;179.41Z;elv fra Svolværvatna;7037.637849;481047.957;7569947.659;35.586;1722.395;-99;-99;-99
1865;Vogan;179.43Z;elv fra Karlsvatnet;2371.632731;476829.81;7566936.41;33.604;1717.553;-99;-99;-99
1865;Vogan;179.5Z;Botnelva;5217.881718;474688.9988;7572304.204;28.944;1721.068;-99;-99;-99
1865;Vogan;179.62Z;Jenndalselva;3498.964146;465019.17;7574985.67;19.322;1718.178;-99;-99;-99
1865;Vogan;179.32Z;elv fra Kverkan;2568.740663;488118.7188;7582754.54;34.798;1737.078;-99;-99;-99
1865;Vogan;179.332Z;Lakselva;5909.886977;485643.2414;7578747.118;34.821;1732.314;-99;-99;-99
1865;Vogan;179.34Z;elv fra Hellevatnan;3304.968405;484444.6699;7573781.686;36.435;1727.394;-99;-99;-99
1865;Vogan;179.44Z;elv fra Hopsvatnet;3049.128454;472281.97;7566455.24;30.002;1714.82;-99;-99;-99
1865;Vogan;179.4Z;Kongselva;8025.423976;480682.32;7569646.52;35.435;1721.927;-99;-99;-99
1865;Vogan;179.711Z;Krokelva;5111.931303;478771.47;7578429.05;29.162;1728.331;-99;-99;-99
1865;Vogan;179.712Z;elv fra Mørkdalsvatna;4908.696151;483496.65;7579954.33;32.361;1732.079;-99;-99;-99
1865;Vogan;179.71Z;Lomvasselva;5562.542425;479334.6487;7578939.582;29.369;1729.112;-99;-99;-99
1865;Vogan;179.7Z;Hesthauselva;6901.944036;481729.57;7585137.53;28.116;1735.594;-99;-99;-99
1874;Moskenes;181.411Z;elv fra Austrevatnet;1434.702711;420582.91;7540680.99;10.565;1662.753;-99;-99;-99
1874;Moskenes;181.431Z;KYSTFELT;803.4363296;416992.9699;7531901.24;11.5;1651.328;-99;-99;-99
1874;Moskenes;181.432Z;Åvassdraget;4099.483353;411719;7531141;6.786;1648.907;-99;-99;-99
1874;Moskenes;181.41Z;elv fra Festhælvatnet;1786.619481;420438.36;7540668.33;10.445;1662.596;-99;-99;-99
