municip_number_old;municip_name;municip_number_new
1902;Tromsø;5401
1903;Harstad;5402
2012;Alta;5403
2002;Vardø;5404
2003;Vadsø;5405
NA;Hammerfest_Kvalsund;5406
1911;Kvæfjord;5411
NA; Skånland_Tjeldsund;5412
1917;Ibestad;5413
1919;Gratangen;5414
1920;Loabák - Lavangen;5415
1922;Bardu;5416
1923;Salangen;5417
1924;Målselv;5418
1925;Sørreisa;5419
1926;Dyrøy;5420
NA;Tranøy_Torsken_Berg_Lenvik;5421
1933;Balsfjord;5422
1936;Karlsøy;5423
1938;Lyngen;5424
1939;Storfjord - Omasvuotna - Omasvuono;5425
1940;Gáivuotna - Kåfjord - Kaivuono;5426
1941;Skjervøy;5427
1942;Nordreisa;5428
1943;Kvænangen;5429
2011;Guovdageaidnu - Kautokeino;5430
2014;Loppa;5432
2015;Hasvik;5433
2018;Måsøy;5434
2019;Nordkapp;5435
2020;Porsanger - Porsáŋgu - Porsanki ;5436
2021;Kárášjohka - Karasjok;5437
2022;Lebesby;5438
2023;Gamvik;5439
2024;Berlevåg;5440
2025;Deatnu - Tana;5441
2027;Unjárga - Nesseby;5442
2028;Båtsfjord;5443
2030;Sør-Varanger;5444
NA;Narvik_Ballangen_Tysfjord;1806
NA;Hamarøy _Hábmer_Divtasvuodna_Tysfjord;1875
