"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"vegafjorden_0360000030-c","svaert_god","lav","darlig","lav",100,0
"roingen_0360010100-2-c","svaert_god","hoy","ukjent","lav",100,NA
"kjelda_-_ost_0360010200-6-c","god","lav","ukjent","lav",75,NA
"bursvikbotn_0360010500-1-c","god","lav","ukjent","lav",75,NA
"lysfjorden_0360010500-2-c","god","lav","ukjent","lav",75,NA
"bindalsfjorden_0360010600-1-c","svaert_god","hoy","ukjent","lav",100,NA
"reppsundet_0360010600-2-c","god","lav","ukjent","lav",75,NA
"terrakfjorden_0360010600-3-c","god","hoy","ukjent","lav",75,NA
"oyfjorden_0360010600-4-c","god","hoy","ukjent","lav",75,NA
"sorfjorden-indre_0360010700-1-c","god","hoy","ukjent","lav",75,NA
"sorfjorden-midtre_0360010700-2-c","god","lav","ukjent","lav",75,NA
"sorfjorden-ytre_0360010700-3-c","god","lav","ukjent","lav",75,NA
"simlebotn_0360010800-c","god","lav","ukjent","lav",75,NA
"kollbotnet_0360010900-c","god","lav","ukjent","lav",75,NA
"osan_0360011000-c","god","lav","ukjent","lav",75,NA
"tosen-ytre_0360011100-1-c","god","hoy","ukjent","lav",75,NA
"tosen-indre_0360011100-2-c","god","lav","ukjent","lav",75,NA
"skotnesfjorden_0360011200-1-c","god","lav","ukjent","lav",75,NA
"selfjorden_0360011200-2-c","god","lav","ukjent","lav",75,NA
"hardangsfjorden_0360011300-1-c","god","lav","ukjent","lav",75,NA
"hovoysundet_0360011300-2-c","god","lav","ukjent","lav",75,NA
"oysundet_0360011300-3-c","god","lav","ukjent","lav",75,NA
"ursfjorden-ytre_0360011400-1-c","god","lav","ukjent","lav",75,NA
"brekkosen_0360011400-2-c","god","lav","ukjent","lav",75,NA
"ursfjorden-indre_0360011400-3-c","god","lav","ukjent","lav",75,NA
"storvika_0360011500-1-c","god","lav","ukjent","lav",75,NA
"gravfjorden_0360011500-2-c","god","lav","ukjent","lav",75,NA
"lyngvaerfjorden_0360011600-1-c","god","lav","ukjent","lav",75,NA
"sandvagen_-_vikvagen_0360011600-2-c","god","lav","ukjent","lav",75,NA
"somnesvika_0360020100-1-c","moderat","lav","ukjent","lav",50,NA
"oysjoen_0360020100-2-c","moderat","lav","ukjent","lav",50,NA
"sorbotnet_0360020100-3-c","moderat","lav","ukjent","lav",50,NA
"nordbotnet_0360020200-c","moderat","lav","ukjent","lav",50,NA
"torgfjorden_0360020300-1-c","god","lav","ukjent","lav",75,NA
"royrskjeran_0360020300-2-c","god","lav","ukjent","lav",75,NA
"skillbotnfjorden_0360020300-3-c","god","lav","ukjent","lav",75,NA
"tverroya_0360020400-1-c","god","lav","ukjent","lav",75,NA
"smiholmen_0360020400-2-c","god","lav","ukjent","lav",75,NA
"urdstabbvika_0360020400-3-c","god","lav","ukjent","lav",75,NA
"buoya_0360020400-4-c","god","lav","ukjent","lav",75,NA
"syltrevagen_0360020400-5-c","god","lav","ukjent","lav",75,NA
"traelvikstraumen_0360020500-1-c","god","lav","ukjent","lav",75,NA
"traelvikosen_0360020500-2-c","god","lav","ukjent","lav",75,NA
"hjartoybukta_0360020600-1-c","god","lav","ukjent","lav",75,NA
"svarthopen_0360020600-3-c","darlig","lav","ukjent","lav",0,NA
"bronnoysundet_sor_0360020600-4-c","svaert_darlig","lav","ukjent","lav",0,NA
"bronnoysundet_nord_0360020600-5-c","svaert_darlig","lav","ukjent","lav",0,NA
"tilremfjorden_0360020700-1-c","god","hoy","ukjent","lav",75,NA
"salhus_0360020700-2-c","moderat","lav","ukjent","lav",50,NA
"trongnessundet_0360020800-c","god","lav","ukjent","lav",75,NA
