"municip_name","municip_number","water_entity_id","vannregion","vannomrade","vassdragomrade","area","score","reliability_ecological_score","reliability_chemical_score","water_entity_class","reliability_eco_score_num","reliability_chem_score_num","area_km2","total_area_km2","area_prop"
"Bindal",1811,"kjelda_ost_0360010200_6_c","Nordland","Bindalsfjorden-Velfjorden",144,20551117.1262497,75,"low","low","unmodified","0","0",20.5511171262497,385.84833886596,0.0532621630214896
"Bindal",1811,"simlebotn_0360010800_c","Nordland","Bindalsfjorden-Velfjorden",144,694583.410951284,75,"low","low","unmodified","0","0",0.694583410951284,385.84833886596,0.00180014617399345
"Bindal",1811,"sorfjorden_indre_0360010700_1_c","Nordland","Bindalsfjorden-Velfjorden",144,1833935.51792735,75,"high","low","unmodified","100","0",1.83393551792735,385.84833886596,0.0047529957581713
"Bindal",1811,"osan_0360011000_c","Nordland","Bindalsfjorden-Velfjorden",144,5969768.89254845,75,"low","low","unmodified","0","0",5.96976889254845,385.84833886596,0.0154718014598536
"Bindal",1811,"terrakfjorden_0360010600_3_c","Nordland","Bindalsfjorden-Velfjorden",144,15453753.1267133,75,"high","low","unmodified","100","0",15.4537531267133,385.84833886596,0.0400513662236649
"Bindal",1811,"bursvikbotn_0360010500_1_c","Nordland","Bindalsfjorden-Velfjorden",144,752638.027833411,75,"low","low","unmodified","0","0",0.752638027833411,385.84833886596,0.0019506058521477
"Brønnøy",1813,"tosen_indre_0360011100_2_c","Nordland","Bindalsfjorden-Velfjorden",144,18767570.8303651,75,"low","low","unmodified","0","0",18.7675708303651,963.011965013358,0.019488408776006
"Bindal",1811,"tosen_indre_0360011100_2_c","Nordland","Bindalsfjorden-Velfjorden",144,5223939.25846396,75,"low","low","unmodified","0","0",5.22393925846396,385.84833886596,0.0135388408663817
"Bindal",1811,"kollbotnet_0360010900_c","Nordland","Bindalsfjorden-Velfjorden",144,3725719.2355495,75,"low","low","unmodified","0","0",3.7257192355495,385.84833886596,0.00965591622475219
"Bindal",1811,"lysfjorden_0360010500_2_c","Nordland","Bindalsfjorden-Velfjorden",144,3003510.53978563,75,"low","low","unmodified","0","0",3.00351053978563,385.84833886596,0.00778417382491058
"Bindal",1811,"sorfjorden_ytre_0360010700_3_c","Nordland","Bindalsfjorden-Velfjorden",144,8865308.17074796,75,"low","low","unmodified","0","0",8.86530817074796,385.84833886596,0.022976147044727
"Bindal",1811,"sorfjorden_midtre_0360010700_2_c","Nordland","Bindalsfjorden-Velfjorden",144,2593028.4995179,75,"low","low","unmodified","0","0",2.5930284995179,385.84833886596,0.00672033086144423
"Bindal",1811,"reppsundet_0360010600_2_c","Nordland","Bindalsfjorden-Velfjorden",144,8324463.32762496,75,"low","low","unmodified","0","0",8.32446332762496,385.84833886596,0.0215744438659273
"Bindal",1811,"oyfjorden_0360010600_4_c","Nordland","Bindalsfjorden-Velfjorden",144,15566191.7607472,75,"high","low","unmodified","100","0",15.5661917607472,385.84833886596,0.0403427725165217
"Brønnøy",1813,"tosen_ytre_0360011100_1_c","Nordland","Bindalsfjorden-Velfjorden",144,908681.888792165,75,"high","low","unmodified","100","0",0.908681888792165,963.011965013358,0.000943583176331107
"Bindal",1811,"tosen_ytre_0360011100_1_c","Nordland","Bindalsfjorden-Velfjorden",144,28002736.2361002,75,"high","low","unmodified","100","0",28.0027362361002,385.84833886596,0.0725744636309763
"Sømna",1812,"roingen_0360010100_2_c","Nordland","Bindalsfjorden-Velfjorden",145,21989310.5878891,100,"high","low","unmodified","100","0",21.9893105878891,495.011265886289,0.0444218386596081
"Bindal",1811,"roingen_0360010100_2_c","Nordland","Bindalsfjorden-Velfjorden",145,16339811.6642949,100,"high","low","unmodified","100","0",16.3398116642949,385.84833886596,0.0423477569252182
"Bindal",1811,"oysundet_0360011300_3_c","Nordland","Bindalsfjorden-Velfjorden",145,2224306.6449026,75,"low","low","unmodified","0","0",2.2243066449026,385.84833886596,0.00576471743130999
"Bindal",1811,"selfjorden_0360011200_2_c","Nordland","Bindalsfjorden-Velfjorden",145,10150476.4195348,75,"low","low","unmodified","0","0",10.1504764195348,385.84833886596,0.0263069071370578
"Sømna",1812,"ursfjorden_indre_0360011400_3_c","Nordland","Bindalsfjorden-Velfjorden",145,6702076.21934872,75,"low","low","unmodified","0","0",6.70207621934872,495.011265886289,0.0135392397733596
"Brønnøy",1813,"ursfjorden_indre_0360011400_3_c","Nordland","Bindalsfjorden-Velfjorden",145,1258634.10162746,75,"low","low","unmodified","0","0",1.25863410162746,963.011965013358,0.00130697659775183
"Sømna",1812,"ursfjorden_ytre_0360011400_1_c","Nordland","Bindalsfjorden-Velfjorden",145,23546115.9363553,75,"low","low","unmodified","0","0",23.5461159363553,495.011265886289,0.0475668283916677
"Bindal",1811,"ursfjorden_ytre_0360011400_1_c","Nordland","Bindalsfjorden-Velfjorden",145,10426277.6802739,75,"low","low","unmodified","0","0",10.4262776802739,385.84833886596,0.0270216990201839
"Bindal",1811,"bindalsfjorden_0360010600_1_c","Nordland","Bindalsfjorden-Velfjorden",145,31808726.0063646,100,"high","low","unmodified","100","0",31.8087260063646,385.84833886596,0.082438416347348
"Bindal",1811,"skotnesfjorden_0360011200_1_c","Nordland","Bindalsfjorden-Velfjorden",145,15431743.6638173,75,"low","low","unmodified","0","0",15.4317436638173,385.84833886596,0.0399943244777792
"Bindal",1811,"hovoysundet_0360011300_2_c","Nordland","Bindalsfjorden-Velfjorden",145,4931126.37357863,75,"low","low","unmodified","0","0",4.93112637357863,385.84833886596,0.0127799600953878
"Sømna",1812,"storvika_0360011500_1_c","Nordland","Bindalsfjorden-Velfjorden",145,2142090.15055314,75,"low","low","unmodified","0","0",2.14209015055314,495.011265886289,0.00432735636171401
"Sømna",1812,"brekkosen_0360011400_2_c","Nordland","Bindalsfjorden-Velfjorden",145,7949662.47002839,75,"low","low","unmodified","0","0",7.94966247002839,495.011265886289,0.016059558676498
"Sømna",1812,"gravfjorden_0360011500_2_c","Nordland","Bindalsfjorden-Velfjorden",145,1028181.44988023,75,"low","low","unmodified","0","0",1.02818144988023,495.011265886289,0.00207708696899924
"Brønnøy",1813,"gravfjorden_0360011500_2_c","Nordland","Bindalsfjorden-Velfjorden",145,610578.926234473,75,"low","low","unmodified","0","0",0.610578926234473,963.011965013358,0.000634030467343159
"Bindal",1811,"hardangsfjorden_0360011300_1_c","Nordland","Bindalsfjorden-Velfjorden",145,6933580.65580517,75,"low","low","unmodified","0","0",6.93358065580517,385.84833886596,0.0179697045636727
"Sømna",1812,"sorbotnet_0360020100_3_c","Nordland","Bindalsfjorden-Velfjorden",146,757617.137850649,50,"low","low","unmodified","0","0",0.757617137850649,495.011265886289,0.00153050483910539
"Brønnøy",1813,"bronnoysundet_sor_0360020600_4_c","Nordland","Bindalsfjorden-Velfjorden",146,1532845.8272033,0,"low","low","unmodified","0","0",1.5328458272033,963.011965013358,0.0015917204384704
"Brønnøy",1813,"bronnoysundet_nord_0360020600_5_c","Nordland","Bindalsfjorden-Velfjorden",146,643956.193444097,0,"low","low","unmodified","0","0",0.643956193444097,963.011965013358,0.00066868971190318
"Brønnøy",1813,"torgfjorden_0360020300_1_c","Nordland","Bindalsfjorden-Velfjorden",146,10584214.4982761,75,"low","low","unmodified","0","0",10.5842144982761,963.011965013358,0.0109907403882872
"Brønnøy",1813,"smiholmen_0360020400_2_c","Nordland","Bindalsfjorden-Velfjorden",146,5669941.9662777,75,"low","low","unmodified","0","0",5.6699419662777,963.011965013358,0.00588771705053431
"Sømna",1812,"oysjoen_0360020100_2_c","Nordland","Bindalsfjorden-Velfjorden",146,167221.254996398,50,"low","low","unmodified","0","0",0.167221254996398,495.011265886289,0.000337813028753998
"Brønnøy",1813,"traelvikosen_0360020500_2_c","Nordland","Bindalsfjorden-Velfjorden",146,1287891.49452208,75,"low","low","unmodified","0","0",1.28789149452208,963.011965013358,0.00133735772899168
"Sømna",1812,"vegafjorden_0360000030_c","Nordland","Bindalsfjorden-Velfjorden",146,384831678.09978,100,"low","low","unmodified","0","0",384.83167809978,495.011265886289,0.777420039947497
"Vega",1815,"vegafjorden_0360000030_c","Nordland","Bindalsfjorden-Velfjorden",146,562143988.829503,100,"low","low","unmodified","0","0",562.143988829503,1782.27396811312,0.315408292376418
"Brønnøy",1813,"vegafjorden_0360000030_c","Nordland","Bindalsfjorden-Velfjorden",146,700353540.234617,100,"low","low","unmodified","0","0",700.353540234617,963.011965013358,0.727253207310776
"Bindal",1811,"vegafjorden_0360000030_c","Nordland","Bindalsfjorden-Velfjorden",146,167041596.626627,100,"low","low","unmodified","0","0",167.041596626627,385.84833886596,0.432920346677081
"Brønnøy",1813,"urdstabbvika_0360020400_3_c","Nordland","Bindalsfjorden-Velfjorden",146,476617.306040434,75,"low","low","unmodified","0","0",0.476617306040434,963.011965013358,0.00049492355583954
"Brønnøy",1813,"royrskjeran_0360020300_2_c","Nordland","Bindalsfjorden-Velfjorden",146,2495115.16909255,75,"low","low","unmodified","0","0",2.49511516909255,963.011965013358,0.00259094929215956
"Brønnøy",1813,"salhus_0360020700_2_c","Nordland","Bindalsfjorden-Velfjorden",146,4225664.97456064,50,"low","low","unmodified","0","0",4.22566497456064,963.011965013358,0.00438796726113577
"Brønnøy",1813,"hjartoybukta_0360020600_1_c","Nordland","Bindalsfjorden-Velfjorden",146,5315095.23203354,75,"low","low","unmodified","0","0",5.31509523203354,963.011965013358,0.00551924111551388
"Sømna",1812,"sandvagen_vikvagen_0360011600_2_c","Nordland","Bindalsfjorden-Velfjorden",146,12168145.8639923,75,"low","low","unmodified","0","0",12.1681458639923,495.011265886289,0.0245815533959736
"Sømna",1812,"somnesvika_0360020100_1_c","Nordland","Bindalsfjorden-Velfjorden",146,661756.254161071,50,"low","low","unmodified","0","0",0.661756254161071,495.011265886289,0.00133685089565837
"Brønnøy",1813,"somnesvika_0360020100_1_c","Nordland","Bindalsfjorden-Velfjorden",146,661861.234860695,50,"low","low","unmodified","0","0",0.661861234860695,963.011965013358,0.000687282462634319
"Brønnøy",1813,"traelvikstraumen_0360020500_1_c","Nordland","Bindalsfjorden-Velfjorden",146,1316873.39267174,75,"low","low","unmodified","0","0",1.31687339267174,963.011965013358,0.00136745278409233
"Brønnøy",1813,"skillbotnfjorden_0360020300_3_c","Nordland","Bindalsfjorden-Velfjorden",146,15055149.4058262,75,"low","low","unmodified","0","0",15.0551494058262,963.011965013358,0.0156333980810066
"Sømna",1812,"lyngvaerfjorden_0360011600_1_c","Nordland","Bindalsfjorden-Velfjorden",146,31758669.5254776,75,"low","low","unmodified","0","0",31.7586695254776,495.011265886289,0.0641574681509835
"Brønnøy",1813,"svarthopen_0360020600_3_c","Nordland","Bindalsfjorden-Velfjorden",146,467081.47869033,0,"low","low","unmodified","0","0",0.46708147869033,963.011965013358,0.000485021469783972
"Brønnøy",1813,"kattsundet_0360020900_1_c","Nordland","Bindalsfjorden-Velfjorden",146,792206.533932548,75,"high","low","unmodified","100","0",0.792206533932548,963.011965013358,0.000822634154832707
"Brønnøy",1813,"trongnessundet_0360020800_c","Nordland","Bindalsfjorden-Velfjorden",146,386090.010991218,75,"low","low","unmodified","0","0",0.386090010991218,963.011965013358,0.000400919225324332
"Brønnøy",1813,"tverroya_0360020400_1_c","Nordland","Bindalsfjorden-Velfjorden",146,2317922.56920203,75,"low","low","unmodified","0","0",2.31792256920203,963.011965013358,0.00240695095534963
"Sømna",1812,"nordbotnet_0360020200_c","Nordland","Bindalsfjorden-Velfjorden",146,1308740.93597602,50,"low","low","unmodified","0","0",1.30874093597602,495.011265886289,0.0026438609101811
"Brønnøy",1813,"nordbotnet_0360020200_c","Nordland","Bindalsfjorden-Velfjorden",146,831071.491777416,50,"low","low","unmodified","0","0",0.831071491777416,963.011965013358,0.000862991865076036
"Brønnøy",1813,"skutstoa_0360021000_c","Nordland","Bindalsfjorden-Velfjorden",146,1765420.53236087,75,"low","low","unmodified","0","0",1.76542053236087,963.011965013358,0.00183322803506017
"Brønnøy",1813,"syltrevagen_0360020400_5_c","Nordland","Bindalsfjorden-Velfjorden",146,242579.312194287,75,"low","low","unmodified","0","0",0.242579312194287,963.011965013358,0.000251896467549001
"Brønnøy",1813,"toftsundet_0360020900_2_c","Nordland","Bindalsfjorden-Velfjorden",146,1206707.04937418,100,"high","low","unmodified","100","0",1.20670704937418,963.011965013358,0.00125305509507085
"Brønnøy",1813,"tilremfjorden_0360020700_1_c","Nordland","Bindalsfjorden-Velfjorden",146,22429471.0510653,75,"high","low","unmodified","100","0",22.4294710510653,963.011965013358,0.0232909578135451
"Brønnøy",1813,"buoya_0360020400_4_c","Nordland","Bindalsfjorden-Velfjorden",146,382531.552291396,75,"low","low","unmodified","0","0",0.382531552291396,963.011965013358,0.000397224090861727
"Vega",1815,"vegafjorden_ylvingen_0361010100_c","Nordland","Bindalsfjorden-Velfjorden",147,135371852.13906,75,"high","low","unmodified","100","0",135.37185213906,1782.27396811312,0.0759545695897567
"Brønnøy",1813,"vegafjorden_ylvingen_0361010100_c","Nordland","Bindalsfjorden-Velfjorden",147,49644986.9766849,75,"high","low","unmodified","100","0",49.6449869766849,963.011965013358,0.0515517862501286
"Vevelstad",1816,"vegafjorden_ylvingen_0361010100_c","Nordland","Bindalsfjorden-Velfjorden",147,61580291.7978019,75,"high","low","unmodified","100","0",61.5802917978019,121.039858787282,0.508760439864893
"Alstahaug",1820,"vegafjorden_ylvingen_0361010100_c","Nordland","Bindalsfjorden-Velfjorden",147,28364641.7230964,75,"high","low","unmodified","100","0",28.3646417230964,399.152288131276,0.0710622049942193
"Vega",1815,"gladstadosen_0361010300_c","Nordland","Bindalsfjorden-Velfjorden",147,1037918.09467748,75,"low","low","unmodified","0","0",1.03791809467748,1782.27396811312,0.000582356087361986
"Vega",1815,"ytre_vega_nord_0361000030_c","Nordland","Bindalsfjorden-Velfjorden",147,433411399.832701,100,"low","low","unmodified","0","0",433.411399832701,1782.27396811312,0.243178886965145
"Herøy",1818,"ytre_vega_nord_0361000030_c","Nordland","Bindalsfjorden-Velfjorden",147,94033847.6761397,100,"low","low","unmodified","0","0",94.0338476761397,1192.71407455991,0.0788402264061789
"Vega",1815,"vagoyfjorden_0361010200_c","Nordland","Bindalsfjorden-Velfjorden",147,7888515.5774625,75,"low","low","unmodified","0","0",7.8885155774625,1782.27396811312,0.00442609594181191
"Vega",1815,"lisorasa_0361010500_c","Nordland","Bindalsfjorden-Velfjorden",147,138727474.30631,100,"high","low","unmodified","100","0",138.72747430631,1782.27396811312,0.0778373453174427
"Herøy",1818,"lisorasa_0361010500_c","Nordland","Bindalsfjorden-Velfjorden",147,4989830.11650347,100,"high","low","unmodified","100","0",4.98983011650347,1192.71407455991,0.00418359288528109
"Alstahaug",1820,"lisorasa_0361010500_c","Nordland","Bindalsfjorden-Velfjorden",147,102224639.978053,100,"high","low","unmodified","100","0",102.224639978053,399.152288131276,0.256104356702154
"Vega",1815,"vegsteinvika_0361010400_c","Nordland","Bindalsfjorden-Velfjorden",147,3602920.68982019,75,"low","low","unmodified","0","0",3.60292068982019,1782.27396811312,0.00202153022166091
"Vega",1815,"skjaervaer_0361010700_1_c","Nordland","Bindalsfjorden-Velfjorden",147,47236.4566649313,100,"low","low","unmodified","0","0",0.0472364566649313,1782.27396811312,0.0000265034767437804
"Vega",1815,"flovaer_0361010700_2_c","Nordland","Bindalsfjorden-Velfjorden",147,355107727.029859,75,"high","low","unmodified","100","0",355.107727029859,1782.27396811312,0.199244186574642
"Herøy",1818,"flovaer_0361010700_2_c","Nordland","Bindalsfjorden-Velfjorden",147,7073390.41902015,75,"high","low","unmodified","100","0",7.07339041902015,1192.71407455991,0.00593049966449845
"Brønnøy",1813,"storborja_0361020600_c","Nordland","Bindalsfjorden-Velfjorden",148,4960078.77459411,75,"low","low","unmodified","0","0",4.96007877459411,963.011965013358,0.00515058893845136
"Brønnøy",1813,"storfjorden_0361020800_2_c","Nordland","Bindalsfjorden-Velfjorden",148,9595042.94194215,75,"low","low","unmodified","0","0",9.59504294194215,963.011965013358,0.00996357604114406
"Brønnøy",1813,"dyrnesvagen_0361020300_2_c","Nordland","Bindalsfjorden-Velfjorden",148,1144718.50892562,75,"low","low","unmodified","0","0",1.14471850892562,963.011965013358,0.00118868565554089
"Brønnøy",1813,"buasvagen_0361020300_1_c","Nordland","Bindalsfjorden-Velfjorden",148,815585.585225024,75,"low","low","unmodified","0","0",0.815585585225024,963.011965013358,0.000846911165027645
"Brønnøy",1813,"okfjorden_0361020900_c","Nordland","Bindalsfjorden-Velfjorden",148,4861508.38479284,75,"low","low","unmodified","0","0",4.86150838479284,963.011965013358,0.00504823258839303
"Vevelstad",1816,"velvelstadsundet_0361030100_c","Nordland","Bindalsfjorden-Velfjorden",148,7307621.18374977,75,"low","low","unmodified","0","0",7.30762118374977,121.039858787282,0.0603736757210892
"Brønnøy",1813,"velfjorden_0361020100_2_c","Nordland","Bindalsfjorden-Velfjorden",148,70772578.1634082,75,"low","low","unmodified","0","0",70.7725781634082,963.011965013358,0.073490860689801
"Vevelstad",1816,"velfjorden_0361020100_2_c","Nordland","Bindalsfjorden-Velfjorden",148,9423675.49834993,75,"low","low","unmodified","0","0",9.42367549834993,121.039858787282,0.0778559690400112
"Brønnøy",1813,"langfjorden_indre_0361020500_1_c","Nordland","Bindalsfjorden-Velfjorden",148,2553758.50065271,50,"low","low","unmodified","0","0",2.55375850065271,963.011965013358,0.00265184503768579
"Vevelstad",1816,"anddalsvagen_0361020100_1_c","Nordland","Bindalsfjorden-Velfjorden",148,406697.357241095,75,"low","low","unmodified","0","0",0.406697357241095,121.039858787282,0.00336002835194838
"Brønnøy",1813,"lislfjorden_0361020800_1_c","Nordland","Bindalsfjorden-Velfjorden",148,1094424.25469388,75,"low","low","unmodified","0","0",1.09442425469388,963.011965013358,0.00113645966452629
"Brønnøy",1813,"heggefjorden_0361020400_c","Nordland","Bindalsfjorden-Velfjorden",148,3317552.76007776,75,"low","low","unmodified","0","0",3.31755276007776,963.011965013358,0.00344497563956201
"Brønnøy",1813,"sorfjorden_0361020200_c","Nordland","Bindalsfjorden-Velfjorden",148,8622881.14589096,75,"low","low","unmodified","0","0",8.62288114589096,963.011965013358,0.00895407477701625
"Brønnøy",1813,"litjeborja_0361020700_c","Nordland","Bindalsfjorden-Velfjorden",148,2529256.0308688,75,"low","low","unmodified","0","0",2.5292560308688,963.011965013358,0.00262640145995872
"Brønnøy",1813,"langfjorden_ytre_0361020500_2_c","Nordland","Bindalsfjorden-Velfjorden",148,1114278.72727594,50,"low","low","unmodified","0","0",1.11427872727594,963.011965013358,0.00115707672153428
"Vefsn",1824,"halsfjorden_0361030700_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,8768103.34249364,75,"low","low","unmodified","0","0",8.76810334249364,100.784870513198,0.0869982101266428
"Alstahaug",1820,"trosundet_0361030500_c","Nordland","Vefsnfjorden - Leirfjorden",149,5832887.13861884,75,"low","low","unmodified","0","0",5.83288713861884,399.152288131276,0.0146131872772842
"Vevelstad",1816,"visten_ytre_0361030202_5_c","Nordland","Vefsnfjorden - Leirfjorden",149,7553308.54673423,75,"high","low","unmodified","100","0",7.55330854673423,121.039858787282,0.0624034811541593
"Vefsn",1824,"stokkafjorden_0361030400_c","Nordland","Vefsnfjorden - Leirfjorden",149,3723457.88438546,75,"low","low","unmodified","0","0",3.72345788438546,100.784870513198,0.0369446114821161
"Vevelstad",1816,"stokkafjorden_0361030400_c","Nordland","Vefsnfjorden - Leirfjorden",149,3562076.69805211,75,"low","low","unmodified","0","0",3.56207669805211,121.039858787282,0.0294289561615582
"Alstahaug",1820,"stokkafjorden_0361030400_c","Nordland","Vefsnfjorden - Leirfjorden",149,8538072.8316337,75,"low","low","unmodified","0","0",8.5380728316337,399.152288131276,0.0213905145617646
"Leirfjord",1822,"vefsnfjorden_ytre_0361040102_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,5675566.78562142,100,"high","low","unmodified","100","0",5.67556678562142,131.301646172401,0.0432254046394005
"Vefsn",1824,"vefsnfjorden_ytre_0361040102_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,14081235.4745073,100,"high","low","unmodified","100","0",14.0812354745073,100.784870513198,0.139715766888478
"Alstahaug",1820,"vefsnfjorden_ytre_0361040102_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,15109937.1729539,100,"high","low","unmodified","100","0",15.1099371729539,399.152288131276,0.0378550684093397
"Vefsn",1824,"sorfjorden_0361030600_c","Nordland","Vefsnfjorden - Leirfjorden",149,2961889.23236557,75,"low","low","unmodified","0","0",2.96188923236557,100.784870513198,0.0293882327504476
"Vevelstad",1816,"langkilvagen_ytre_0361030202_3_c","Nordland","Vefsnfjorden - Leirfjorden",149,220017.499245398,75,"low","low","unmodified","0","0",0.220017499245398,121.039858787282,0.00181772765971301
"Vevelstad",1816,"langkilvagen_indre_0361030202_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,324223.590043099,75,"low","low","unmodified","0","0",0.324223590043099,121.039858787282,0.00267865142351907
"Vevelstad",1816,"visten_midtre_0361030202_4_c","Nordland","Vefsnfjorden - Leirfjorden",149,7290622.97304348,75,"low","low","unmodified","0","0",7.29062297304348,121.039858787282,0.0602332409017116
"Vevelstad",1816,"mindvaerfjorden_0361030300_c","Nordland","Vefsnfjorden - Leirfjorden",149,16960098.7219251,100,"high","low","unmodified","100","0",16.9600987219251,121.039858787282,0.140119948022504
"Alstahaug",1820,"mindvaerfjorden_0361030300_c","Nordland","Vefsnfjorden - Leirfjorden",149,20080010.1929107,100,"high","low","unmodified","100","0",20.0800101929107,399.152288131276,0.0503066393203455
