"municip_name","municip_number","water_entity_id","vannregion","vannomrade","vassdragomrade","area_m2"
"Lebesby",2022,"Friarfjorden_0422020400-1-C","Finnmark","Laksefjorden/Norkinnhalvøya","229",5081485.06473102
"Lebesby",2022,"Ifjorden_0422020400-2-C","Finnmark","Laksefjorden/Norkinnhalvøya","229",38030408.4815857
"Nesseby",2027,"Varangerfjorden-indre Finnmark_0424020100-20-C","Finnmark","Varangerhalvøya","240",120662300.253013
"Vadsø",2003,"Varangerfjorden-indre Finnmark_0424020100-20-C","Finnmark","Varangerhalvøya","240",109617719.017878
"Sør-Varanger",2030,"Varangerfjorden-indre Finnmark_0424020100-20-C","Finnmark","Varangerhalvøya","240",2845843.42432046
"Vadsø",2003,"Varangerfjorden-ytre Finnmark_0424020100-22-C","Finnmark","Varangerhalvøya","240",590684065.169955
"Vardø",2002,"Varangerfjorden-ytre Finnmark_0424020100-22-C","Finnmark","Varangerhalvøya","240",401981778.95106
"Sør-Varanger",2030,"Varangerfjorden-ytre Finnmark_0424020100-22-C","Finnmark","Varangerhalvøya","240",7603241.28332141
"Balsfjord",1933,"Nordfjordbotn_0402010900-1-C","Troms","Bardu - Målselv","196",2192631.94886557
"Tromsø",1902,"Malangen-ytre_0402010300-3-C","Troms","Balsfjord - Karlsøy","197",34705860.3685227
"Lenvik",1931,"Malangen-ytre_0402010300-3-C","Troms","Balsfjord - Karlsøy","197",9374395.15773298
"Kvæfjord",1911,"Gullesfjorden-midtre_0401010401-1-C","Troms","Harstad - Salangen","177",4045216.75398477
"Balsfjord",1933,"Stålvikbotn_0402010900-2-C","Troms","Bardu - Målselv","196",8974128.70884237
"Ibestad",1917,"Hamnvik havn Ibestad_0401020600-1-C","Troms","Harstad - Salangen","188",476374.664468534
"Ibestad",1917,"Astafjorden_0401020600-2-C","Troms","Harstad - Salangen","190",40624566.5483222
"Gratangen",1919,"Astafjorden_0401020600-2-C","Troms","Harstad - Salangen","190",30995452.0979505
"Skånland",1913,"Astafjorden_0401020600-2-C","Troms","Harstad - Salangen","190",15641120.5702982
"Salangen",1923,"Astafjorden_0401020600-2-C","Troms","Harstad - Salangen","190",1911206.79670066
"Lavangen",1920,"Astafjorden_0401020600-2-C","Troms","Harstad - Salangen","190",118351.102733964
"Røst",1856,"Røst Havn_0363050100-3-C","Nordland","Lofoten","183",99325.3691576512
"Røst",1856,"Røst-indre_0363050100-4-C","Nordland","Lofoten","183",109578052.554085
"Vågan",1865,"Laupstadpollen_0364050401-1-C","Nordland","Lofoten","179",26517.5570477545
"Vågan",1865,"Austnesfjorden_0364050401-2-C","Nordland","Lofoten","179",17185467.226045
"Andøy",1871,"Andenes - Midt Andfjorden_0401000030-1-C","Nordland","Vesterålen","186",93878115.5294931
"Torsken",1928,"Andenes - Midt Andfjorden_0401000030-1-C","Nordland","Vesterålen","186",1190821.90889259
"Andøy",1871,"Midt Andfjorden - Kasodden_0401000030-2-C","Troms","Senja","195",59218.8665093603
"Berg",1929,"Midt Andfjorden - Kasodden_0401000030-2-C","Troms","Senja","195",204855870.252021
"Lenvik",1931,"Midt Andfjorden - Kasodden_0401000030-2-C","Troms","Senja","195",136618.507397134
"Torsken",1928,"Midt Andfjorden - Kasodden_0401000030-2-C","Troms","Senja","195",209916626.26062
"Kvæfjord",1911,"Kvæfjorden - Vest_0401010200-1-C","Nordland","Vesterålen","178",512757.649063502
"Sortland",1870,"Kvæfjorden - Vest_0401010200-1-C","Nordland","Vesterålen","178",71649385.7415553
"Kvæfjord",1911,"Kvæfjorden - Øst_0401010200-2-C","Troms","Harstad - Salangen","177",90526667.0230508
"Sortland",1870,"Kvæfjorden - Øst_0401010200-2-C","Troms","Harstad - Salangen","177",1619526.30807071
"Andøy",1871,"Andfjorden - Vest_0401010100-5-C","Nordland","Vesterålen","186",365074074.850066
"Torsken",1928,"Andfjorden - Vest_0401010100-5-C","Nordland","Vesterålen","186",85893.503715992
"Sortland",1870,"Andfjorden - Vest_0401010100-5-C","Nordland","Vesterålen","186",32956196.2673657
"Andøy",1871,"Andfjorden - Øst_0401010100-6-C","Troms","Senja","195",74160.972461164
"Tranøy",1927,"Andfjorden - Øst_0401010100-6-C","Troms","Senja","195",51845347.5896896
"Torsken",1928,"Andfjorden - Øst_0401010100-6-C","Troms","Senja","195",282594502.07923
"Tjeldsund",1852,"Tjeldsundet-søndre - Nordøya_0364040200-4-C","Troms","Harstad - Salangen","189",2972438.70417993
"Tjeldsund",1852,"Tjeldsundet-søndre_0364040200-5-C","Nordland","Ofotfjorden","177",9178398.23814815
"Tjeldsund",1852,"Ramsundet-nordre - Øst_0364040100-4-C","Nordland","Ofotfjorden","189",1960817.6456971
"Tjeldsund",1852,"Ramsundet-nordre - Vest_0364040100-5-C","Nordland","Ofotfjorden","176",1979620.03809342
"Bindal",1811,"Kjelda - Øst_0360010200-6-C","Nordland","Bindalsfjorden-Velfjorden","144",20551117.1262498
"Sømna",1812,"Røingen_0360010100-2-C","Nordland","Bindalsfjorden-Velfjorden","145",21989310.5878891
"Bindal",1811,"Røingen_0360010100-2-C","Nordland","Bindalsfjorden-Velfjorden","145",16339811.6642949
"Ibestad",1917,"Vågsfjorden_0401020100-4-C","Troms","Harstad - Salangen","187",251559329.61957
"Tranøy",1927,"Vågsfjorden_0401020100-4-C","Troms","Harstad - Salangen","187",169186845.49524
"Skånland",1913,"Vågsfjorden_0401020100-4-C","Troms","Harstad - Salangen","187",38013154.1447652
"Dyrøy",1926,"Vågsfjorden_0401020100-4-C","Troms","Harstad - Salangen","187",57194467.4688664
"Balsfjord",1933,"Laksvatnbukt indre_0402021300-1-C","Troms","Balsfjord - Karlsøy","198",77306.8042684895
"Tromsø",1902,"Balsfjorden_0402021300-2-C","Troms","Balsfjord - Karlsøy","198",47641389.6478524
"Balsfjord",1933,"Balsfjorden_0402021300-2-C","Troms","Balsfjord - Karlsøy","198",143737959.081331
"Tromsø",1902,"Rakkneskjosen_0402020500-1-C","Troms","Balsfjord - Karlsøy","197",139950.681628162
"Tromsø",1902,"Kvalsundet_0402020500-2-C","Troms","Balsfjord - Karlsøy","200",39272444.9839989
"Sømna",1812,"Sørbotnet_0360020100-3-C","Nordland","Bindalsfjorden-Velfjorden","146",757617.137850769
"Tranøy",1927,"Indre Selfjorden_0401010701-C","Troms","Senja","195",1932277.06212282
"Torsken",1928,"Indre Selfjorden_0401010701-C","Troms","Senja","195",1415894.91154482
"Skånland",1913,"Grovfjorden-ytre_0401020702-4-C","Troms","Harstad - Salangen","189",10386800.2212629
"Skånland",1913,"Grov havn_0401020702-3-C","Troms","Harstad - Salangen","189",108146.82687332
"Tranøy",1927,"Skrollsvik_0401010100-3-C","Troms","Senja","195",1059922.68827787
"Kvænangen",1943,"Jøkelfjorden_0403040800-2-C","Troms","Nordreisa - Kvænangen","210",21487602.3533596
"Nordreisa",1942,"Kvænangen Haukøy_0403040104-1-C","Troms","Lyngen - Skjervøy","206",13557665.3434929
"Kvænangen",1943,"Kvænangen Haukøy_0403040104-1-C","Troms","Lyngen - Skjervøy","206",16127713.5721131
"Skjervøy",1941,"Kvænangen Haukøy_0403040104-1-C","Troms","Lyngen - Skjervøy","206",121285557.961804
"Kvænangen",1943,"Kvænangen Skorpa - Spildra_0403040104-3-C","Troms","Nordreisa - Kvænangen","209",170295378.819347
"Kvænangen",1943,"Kvænangen - Ytre_0403040104-4-C","Troms","Nordreisa - Kvænangen","210",198367887.340864
"Skjervøy",1941,"Kvænangen - Ytre_0403040104-4-C","Troms","Nordreisa - Kvænangen","210",163207365.28594
"Kvænangen",1943,"Isfjorden_0403040800-1-C","Troms","Nordreisa - Kvænangen","210",5472895.18316619
"Vestvågøy",1860,"Sennesvika_0363041403-1-C","Nordland","Lofoten","180",106734.211284203
"Vestvågøy",1860,"Sennesvika_0363041403-2-C","Nordland","Lofoten","180",4290426.39974105
"Meløy",1837,"Måøyleia_0362041200-1-C","Nordland","Sør-Salten","160",134011.995640172
"Meløy",1837,"Måøyleia_0362041200-2-C","Nordland","Sør-Salten","160",10261733.750832
"Vågan",1865,"Ulvågsfjorden _0364050304-1-C","Nordland","Lofoten","179",23551.430658109
"Vågan",1865,"Ulvågsfjorden_0364050304-2-C","Nordland","Lofoten","179",463603.96518009
"Bø",1867,"Eidspollen_0365031000-2-C","Nordland","Vesterålen","185",422470.053189732
"Vestvågøy",1860,"Mjåsundet_0363042603-6-C","Nordland","Lofoten","180",29377.9999991087
"Vågan",1865,"Laukvika_0363000032-2-C","Nordland","Lofoten","179",304315.274135531
"Dønna",1827,"Nordåsværfjorden - Tomfjorden_0362020100-2-C","Nordland","Rødøy - Lurøy","158",51001588.4585263
"Lurøy",1834,"Nordåsværfjorden - Tomfjorden_0362020100-2-C","Nordland","Rødøy - Lurøy","158",282327868.458201
"Nesna",1828,"Nordåsværfjorden - Tomfjorden_0362020100-2-C","Nordland","Rødøy - Lurøy","158",27464559.7355164
"Træna",1835,"Træna havn sør_0362000030-1-C","Nordland","Rødøy - Lurøy","158",95940.3806556193
"Træna",1835,"Trænfjorden_0362000030-2-C","Nordland","Rødøy - Lurøy","158",639916628.585252
"Dønna",1827,"Trænfjorden_0362000030-2-C","Nordland","Rødøy - Lurøy","158",10590257.9361271
"Lurøy",1834,"Trænfjorden_0362000030-2-C","Nordland","Rødøy - Lurøy","158",260879053.607052
"Rødøy",1836,"Trænfjorden_0362000030-2-C","Nordland","Rødøy - Lurøy","158",10542302.0047243
"Vestvågøy",1860,"Mjåsundet_0363042603-5-C","Nordland","Lofoten","180",15080283.6722854
"Bø",1867,"Vågan_0363000032-1-C","Nordland","Lofoten","179",81809210.8038886
"Hadsel",1866,"Vågan_0363000032-1-C","Nordland","Lofoten","179",82034968.4796871
"Vågan",1865,"Vågan_0363000032-1-C","Nordland","Lofoten","179",326727862.655758
"Vestvågøy",1860,"Vågan_0363000032-1-C","Nordland","Lofoten","179",123723812.373541
"Bø",1867,"Eidspollen_0365031000-1-C","Nordland","Vesterålen","185",4728408.38638807
"Gildeskål",1838,"Sørarnøy Havn_0363010300-4-C","Nordland","Sør-Salten","161",82939.1853380394
"Karlsøy",1936,"Torsvåg havn_0403011100-1-C","Troms","Balsfjord - Karlsøy","202",482904.662865847
"Karlsøy",1936,"Råsa_0403011100-2-C","Troms","Balsfjord - Karlsøy","201",136627527.180662
"Meløy",1837,"Bolga Havn_0362040200-1-C","Nordland","Sør-Salten","160",42377.1051901301
"Meløy",1837,"Bolgfjorden_0362040200-2-C","Nordland","Sør-Salten","159",36223707.0916902
"Rødøy",1836,"Bolgfjorden_0362040200-2-C","Nordland","Sør-Salten","159",28943282.6456921
"Lurøy",1834,"Lovund Havn_0362020100-1-C","Nordland","Rødøy - Lurøy","158",358205.809799341
"Nordreisa",1942,"Reisafjorden-indre_0403040401-2-C","Troms","Nordreisa - Kvænangen","208",21671071.222243
"Nordreisa",1942,"Reisaelva-utløp_0403040401-1-C","Troms","Nordreisa - Kvænangen","208",9174371.64105369
"Gildeskål",1838,"Våg Havn_0363010300-6-C","Nordland","Sør-Salten","161",76585.4515473098
"Gildeskål",1838,"Sørarnøya - Nordarnøya_0363010300-7-C","Nordland","Sør-Salten","161",15556981.7474274
"Meløy",1837,"Reipå(Kobbsteinan)_0362041000-3-C","Nordland","Sør-Salten","160",42000.9443205297
"Meløy",1837,"Stigsundet_0362041000-4-C","Nordland","Sør-Salten","160",6892264.95217052
"Bodø",1804,"Sørfolda-ytre_0363030602-5-C","Nordland","Nord-Salten","167",13543143.7839505
"Sørfold",1845,"Sørfolda-ytre_0363030602-5-C","Nordland","Nord-Salten","167",75526654.5818211
"Gildeskål",1838,"Ertenvåg_0363011000-1-C","Nordland","Sør-Salten","161",46943.0321676433
"Gildeskål",1838,"Nordfjorden_0363011000-2-C","Nordland","Sør-Salten","161",28173128.3605883
"Bodø",1804,"Nordfjorden_0363011000-2-C","Nordland","Sør-Salten","161",1532225.93262965
"Gildeskål",1838,"Storvik havn i Gildeskål_0363010400-1-C","Nordland","Sør-Salten","160",48043.4927145431
"Gildeskål",1838,"Storviken_0363010400-2-C","Nordland","Sør-Salten","160",6061493.82767211
"Kvæfjord",1911,"Kvæfjorden indre_0401010403-1-C","Troms","Harstad - Salangen","177",6253879.31270645
"Sortland",1870,"Kvæfjorden indre_0401010403-1-C","Troms","Harstad - Salangen","177",2527549.43693727
"Kvæfjord",1911,"Gullesfjorden-ytre _0401010403-2-C","Troms","Harstad - Salangen","177",37563488.7398418
"Sortland",1870,"Gullesfjorden-ytre _0401010403-2-C","Troms","Harstad - Salangen","177",3780459.28770648
"Steigen",1848,"Nordfold havn_0363031300-3-C","Nordland","Nord-Salten","168",43594.8892491385
"Steigen",1848,"Nordfolda_0363031300-4-C","Nordland","Nord-Salten","168",148443635.970536
"Sørfold",1845,"Styrkesnes-indre_0363030602-4-C","Nordland","Nord-Salten","167",32799.516415773
"Karlsøy",1936,"Skorøysundet_0403020400-2-C","Troms","Balsfjord - Karlsøy","202",15144174.2306263
"Flakstad",1859,"Ramberg havn_0363040700-4-C","Nordland","Lofoten","181",129396.03341236
"Flakstad",1859,"Fredvang_0363040700-6-C","Nordland","Lofoten","181",125968.789961826
"Flakstad",1859,"Torsfjorden-ytre_0363040700-7-C","Nordland","Lofoten","181",7329054.80269566
"Moskenes",1874,"Hamnøy_0363040200-3-C","Nordland","Lofoten","181",44729.7949286547
"Moskenes",1874,"Kjerkfjorden-ytre_0363040200-4-C","Nordland","Lofoten","181",8858418.20115859
"Flakstad",1859,"Napp_0363041102-1-C","Nordland","Lofoten","181",146298.240335681
"Flakstad",1859,"Nappstraumen_0363041102-2-C","Nordland","Lofoten","180",10697267.9260306
"Vestvågøy",1860,"Nappstraumen_0363041102-2-C","Nordland","Lofoten","180",14846769.0605044
"Flakstad",1859,"Sundvågen_0363040600-3-C","Nordland","Lofoten","181",248081.32407185
"Flakstad",1859,"Kåkersundet_0363040600-4-C","Nordland","Lofoten","181",2374277.17695854
"Karlsøy",1936,"Kristoffervalen_0403020400-1-C","Troms","Balsfjord - Karlsøy","202",189326.290401237
"Tromsø",1902,"Kaldfjorden- ytre midtre_0402020401-4-C","Troms","Balsfjord - Karlsøy","197",14329057.0183557
"Tromsø",1902,"Kaldfjorden- indre midtre_0402020401-3-C","Troms","Balsfjord - Karlsøy","197",2746995.00454423
"Kvæfjord",1911,"Bygdesundet indre_0401010502-6-C","Troms","Harstad - Salangen","177",9145913.73847367
"Kvæfjord",1911,"Øysundet_0401010502-5-C","Troms","Harstad - Salangen","177",6247288.79012059
"Kvæfjord",1911,"Bygdesundet ytre_0401010502-3-C","Troms","Harstad - Salangen","177",7456662.8977283
"Værøy",1857,"Sørlandsvågen_0363050300-5-C","Nordland","Lofoten","182",474902.069138546
"Værøy",1857,"Teisthammeren_0363050300-6-C","Nordland","Lofoten","182",42268.5687870989
"Værøy",1857,"Værøy-indre_0363050300-7-C","Nordland","Lofoten","182",36292512.1339683
"Tromsø",1902,"Ramfjorden ytre_0402021400-2-C","Troms","Balsfjord - Karlsøy","198",9917134.9051913
"Øksnes",1868,"Breistrand_0365030400-1-C","Nordland","Vesterålen","185",172703.81870721
"Øksnes",1868,"Børrøyfjorden_0365030400-2-C","Nordland","Vesterålen","185",31618582.5373474
"Bø",1867,"Vesterålen_0365000031-6-C","Nordland","Vesterålen","185",140815778.883211
"Øksnes",1868,"Vesterålen_0365000031-6-C","Nordland","Vesterålen","185",155500101.105693
"Øksnes",1868,"Nyksund_0365000031-7-C","Nordland","Vesterålen","185",33286.3233011886
"Værøy",1857,"Røssnesvågen_0363050300-4-C","Nordland","Lofoten","182",61735.8760474058
"Tromsø",1902,"Sørfjorden-indre_0403020601-2-C","Troms","Balsfjord - Karlsøy","203",20714662.0506065
"Tromsø",1902,"Ramfjorden indre_0402021400-1-C","Troms","Balsfjord - Karlsøy","198",4172625.12656246
"Rana",1833,"Sjona-indre_0362020201-1-C","Nordland","Ranfjorden","157",810910.719346849
"Rana",1833,"Sjona-indre_0362020201-2-C","Nordland","Ranfjorden","157",35388977.7508836
"Lurøy",1834,"Sjona-indre_0362020201-2-C","Nordland","Ranfjorden","157",1882145.56722897
"Nesna",1828,"Sjona-indre_0362020201-2-C","Nordland","Ranfjorden","157",9753735.38433749
"Tromsø",1902,"Sjøvassbotn_0403020601-1-C","Troms","Balsfjord - Karlsøy","203",666482.337700538
"Berg",1929,"Hopsvatnet i Senjahopen_0401011700-1-C","Troms","Senja","195",639873.827410003
