"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score"
1994,"1804","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,383.3839,"Bodo",3431.45,0.11172650045899,244232.387275353,0.000000457459805824306,0.000000228729902912153
1994,"1804","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,54122.615,"Bodo",3431.45,15.7725203631118,18466.5279014832,0.000854114019010851,0.000854114019010851
1994,"1804","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,106.9654,"Bodo",3431.45,0.0311720701161317,69976.1695760599,0.000000445466939745102,0.000000445466939745102
1994,"1804","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,166.1351,"Bodo",3431.45,0.0484154220519023,103707.501604621,0.000000466845901239461,0.0000000659642143072757
1994,"1804","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.324,"Bodo",3431.45,0.00359148464934649,80462.0896380397,0.0000000446357367240007,0.0000000446357367240007
1994,"1805","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,5.0055,"Narvik",200.61,0.0249513982353821,244232.387275353,0.000000102162528539883,0.0000000510812642699416
1994,"1805","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,6509.94,"Narvik",200.61,32.450725287872,18466.5279014832,0.0017572726969029,0.0017572726969029
1994,"1805","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.4774,"Narvik",200.61,0.00237974178754798,69976.1695760599,0.0000000340078887136191,0.0000000340078887136191
1994,"1805","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,4.0869,"Narvik",200.61,0.0203723642889188,103707.501604621,0.000000196440604331471,0.0000000277565896763122
1994,"1805","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.037,"Narvik",200.61,0.00516923383679777,80462.0896380397,0.0000000642443399127672,0.0000000642443399127672
1994,"1811","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,30.7171,"Bindal",641.29,0.0478989224843674,244232.387275353,0.000000196120273067491,0.0000000980601365337455
1994,"1811","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,3.57,"Bindal",641.29,0.00556690420870433,69976.1695760599,0.0000000795542860152333,0.0000000795542860152333
1994,"1811","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,19.2437,"Bindal",641.29,0.030007796784606,103707.501604621,0.000000289350300800891,0.0000000408845085738782
1994,"1812","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,1.4325,"Somna",594.84,0.00240821061125681,244232.387275353,0.00000000986032457907288,0.00000000493016228953644
1994,"1812","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.028,"Somna",594.84,0.0000470714814067648,69976.1695760599,0.000000000672678737517935,0.000000000672678737517935
1994,"1812","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,0.1095,"Somna",594.84,0.00018408311478717,103707.501604621,0.00000000177502217234946,0.000000000250806406709711
1994,"1813","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,1191.6634,"Bronnoy",1052.81,1.13188837492045,244232.387275353,0.00000463447287867,0.000002317236439335
