"Year","Municip_number","Municip_name","English","Total_catch"
1994,1804,"Bodo","Atlantic cod",358.2619
1994,1804,"Bodo","Atlantic herring",54122.615
1994,1804,"Bodo","Greenland halibut",10.6572
1994,1804,"Bodo","Haddock",99.5006
1994,1804,"Bodo","Redfish",100.4665
1994,1804,"Bodo","Saithe",164.7802
1994,1804,"Bodo","Shrimp",12.324
1994,1805,"Narvik","Atlantic cod",5.0055
1994,1805,"Narvik","Atlantic herring",6509.94
1994,1805,"Narvik","Haddock",0.4774
1994,1805,"Narvik","Redfish",0.759
1994,1805,"Narvik","Saithe",4.0869
1994,1805,"Narvik","Shrimp",1.037
1994,1811,"Bindal","Atlantic cod",30.7171
1994,1811,"Bindal","Haddock",3.57
1994,1811,"Bindal","Redfish",6.0189
1994,1811,"Bindal","Saithe",19.2437
1994,1812,"Somna","Atlantic cod",1.4325
1994,1812,"Somna","Haddock",0.028
1994,1812,"Somna","Redfish",0.012
1994,1812,"Somna","Saithe",0.1095
1994,1813,"Bronnoy","Atlantic cod",1191.6634
1994,1813,"Bronnoy","Haddock",88.767
1994,1813,"Bronnoy","Redfish",29.0307
1994,1813,"Bronnoy","Saithe",164.9387
1994,1813,"Bronnoy","Shrimp",3.348
1994,1815,"Vega","Atlantic cod",599.3607
1994,1815,"Vega","Atlantic herring",83.9
1994,1815,"Vega","Haddock",67.487
1994,1815,"Vega","Redfish",99.3632
1994,1815,"Vega","Saithe",207.575
1994,1816,"Vevelstad","Atlantic cod",1.734
1994,1816,"Vevelstad","Haddock",0.0784
1994,1816,"Vevelstad","Redfish",0.037
1994,1816,"Vevelstad","Saithe",0.2525
1994,1818,"Heroy","Atlantic cod",1451.655
1994,1818,"Heroy","Haddock",114.7356
1994,1818,"Heroy","Redfish",117.1187
1994,1818,"Heroy","Saithe",415.9108
1994,1818,"Heroy","Shrimp",73.137
1994,1820,"Alstahaug","Atlantic cod",100.0358
1994,1820,"Alstahaug","Haddock",17.7744
1994,1820,"Alstahaug","Redfish",6.644
1994,1820,"Alstahaug","Saithe",10.1888
1994,1822,"Leirfjord","Atlantic cod",2.0235
1994,1822,"Leirfjord","Haddock",0.5247
1994,1822,"Leirfjord","Redfish",1.321
1994,1822,"Leirfjord","Saithe",1.1152
1994,1822,"Leirfjord","Shrimp",2.372
1994,1824,"Vefsn","Atlantic cod",0.3405
1994,1824,"Vefsn","Haddock",0.0532
1994,1824,"Vefsn","Redfish",0.191
1994,1824,"Vefsn","Saithe",0.2984
1994,1827,"Donna","Atlantic cod",472.1903
1994,1827,"Donna","Atlantic herring",149.371
1994,1827,"Donna","Haddock",31.521
1994,1827,"Donna","Redfish",174.9157
1994,1827,"Donna","Saithe",178.1495
1994,1828,"Nesna","Atlantic cod",42.594
1994,1828,"Nesna","Atlantic herring",22.32
1994,1828,"Nesna","Haddock",8.1771
1994,1828,"Nesna","Redfish",23.8703
1994,1828,"Nesna","Saithe",26.547
1994,1828,"Nesna","Shrimp",0.38
1994,1832,"Hemnes","Atlantic cod",1.4709
1994,1832,"Hemnes","Haddock",0.2184
1994,1832,"Hemnes","Redfish",0.012
1994,1832,"Hemnes","Saithe",0.1776
1994,1832,"Hemnes","Shrimp",0.62
1994,1833,"Rana","Atlantic cod",0.402
1994,1833,"Rana","Redfish",0.1
1994,1833,"Rana","Saithe",0.5244
1994,1834,"Luroy","Atlantic cod",652.9307
1994,1834,"Luroy","Haddock",40.6277
1994,1834,"Luroy","Redfish",98.9374
1994,1834,"Luroy","Saithe",181.0821
1994,1835,"Traena","Atlantic cod",3185.0459
1994,1835,"Traena","Atlantic herring",1901.522
1994,1835,"Traena","Haddock",159.9114
1994,1835,"Traena","Redfish",183.6178
1994,1835,"Traena","Saithe",886.1757
1994,1836,"Rodoy","Atlantic cod",953.0625
1994,1836,"Rodoy","Atlantic herring",54.957
1994,1836,"Rodoy","Greenland halibut",0.1859
1994,1836,"Rodoy","Haddock",77.553
1994,1836,"Rodoy","Redfish",136.6463
1994,1836,"Rodoy","Saithe",242.0625
1994,1836,"Rodoy","Shrimp",113.313
1994,1837,"Meloy","Atlantic cod",711.8247
1994,1837,"Meloy","Haddock",358.4628
1994,1837,"Meloy","Redfish",24.6568
1994,1837,"Meloy","Saithe",171.3103
1994,1837,"Meloy","Shrimp",6.01
1994,1838,"Gildeskal","Atlantic cod",196.8429
1994,1838,"Gildeskal","Atlantic herring",25.194
1994,1838,"Gildeskal","Haddock",45.787
1994,1838,"Gildeskal","Redfish",40.6098
1994,1838,"Gildeskal","Saithe",141.8608
1994,1838,"Gildeskal","Shrimp",5.711
1994,1839,"Beiarn","Atlantic cod",0.153
1994,1839,"Beiarn","Atlantic herring",3.497
1994,1839,"Beiarn","Haddock",0.0266
1994,1839,"Beiarn","Redfish",0.01
1994,1839,"Beiarn","Saithe",0.1959
1994,1840,"Saltdal","Atlantic cod",35.2643
1994,1840,"Saltdal","Haddock",2.954
1994,1840,"Saltdal","Redfish",4.4983
1994,1840,"Saltdal","Saithe",1.4279
1994,1840,"Saltdal","Shrimp",0.777
1994,1841,"Fauske","Atlantic cod",8.1855
1994,1841,"Fauske","Haddock",0.1106
1994,1841,"Fauske","Redfish",4.4538
1994,1841,"Fauske","Saithe",12.1437
1994,1842,"Skjerstad_2005","Atlantic cod",25.122
1994,1842,"Skjerstad_2005","Haddock",7.4648
1994,1842,"Skjerstad_2005","Redfish",2.3106
1994,1842,"Skjerstad_2005","Saithe",1.3549
1994,1845,"Sorfold","Atlantic cod",81.6375
1994,1845,"Sorfold","Haddock",23.093
1994,1845,"Sorfold","Redfish",27.9114
1994,1845,"Sorfold","Saithe",57.4987
1994,1845,"Sorfold","Shrimp",28.094
1994,1848,"Steigen","Atlantic cod",1062.7345
1994,1848,"Steigen","Atlantic herring",2135.032
1994,1848,"Steigen","Haddock",140.819
1994,1848,"Steigen","Redfish",93.418
1994,1848,"Steigen","Saithe",359.4382
1994,1849,"Hamaroy","Atlantic herring",245.308
1994,1850,"Tysfjord","Atlantic cod",549.2175
1994,1850,"Tysfjord","Atlantic herring",8530.09
1994,1850,"Tysfjord","Haddock",5.3844
1994,1850,"Tysfjord","Redfish",1.8368
1994,1850,"Tysfjord","Saithe",286.0511
1994,1851,"Lodingen","Atlantic cod",1098.3678
1994,1851,"Lodingen","Atlantic herring",1407.745
1994,1851,"Lodingen","Haddock",3.2858
1994,1851,"Lodingen","Redfish",8.099
1994,1851,"Lodingen","Saithe",259.8102
1994,1852,"Tjeldsund","Atlantic herring",1877.815
1994,1853,"Evenes","Atlantic cod",7.995
1994,1853,"Evenes","Atlantic herring",5245.337
1994,1853,"Evenes","Saithe",0.297
1994,1854,"Ballangen","Atlantic cod",0.228
1994,1854,"Ballangen","Atlantic herring",2774.116
1994,1854,"Ballangen","Haddock",0.1624
1994,1854,"Ballangen","Saithe",0.0243
1994,1856,"Rost","Atlantic cod",9589.6566
1994,1856,"Rost","Haddock",267.3705
1994,1856,"Rost","Redfish",89.1184
1994,1856,"Rost","Saithe",1104.1255
1994,1857,"Vaeroy","Atlantic cod",6810.4978
1994,1857,"Vaeroy","Atlantic herring",750.296
1994,1857,"Vaeroy","Greenland halibut",45.468
1994,1857,"Vaeroy","Haddock",274.9533
1994,1857,"Vaeroy","Redfish",47.9604
1994,1857,"Vaeroy","Saithe",686.9561
1994,1859,"Flakstad","Atlantic cod",11533.2066
1994,1859,"Flakstad","Greenland halibut",86.1264
1994,1859,"Flakstad","Haddock",563.4799
1994,1859,"Flakstad","Redfish",66.5965
1994,1859,"Flakstad","Saithe",834.8261
1994,1860,"Vestvagoy","Atlantic cod",12513.9632
1994,1860,"Vestvagoy","Atlantic herring",19.343
1994,1860,"Vestvagoy","Greenland halibut",24.264
1994,1860,"Vestvagoy","Haddock",454.9078
1994,1860,"Vestvagoy","Redfish",97.5731
1994,1860,"Vestvagoy","Saithe",933.8486
1994,1865,"Vagan","Atlantic cod",19135.3739
1994,1865,"Vagan","Atlantic herring",17185.5874
1994,1865,"Vagan","Greenland halibut",22.9884
1994,1865,"Vagan","Haddock",1108.0638
1994,1865,"Vagan","Redfish",59.5664
1994,1865,"Vagan","Saithe",1255.5571
1994,1865,"Vagan","Shrimp",1.745
1994,1866,"Hadsel","Atlantic cod",302.4333
1994,1866,"Hadsel","Atlantic herring",260.084
1994,1866,"Hadsel","Greenland halibut",6.8724
1994,1866,"Hadsel","Haddock",197.1841
1994,1866,"Hadsel","Redfish",20.4789
1994,1866,"Hadsel","Saithe",225.5947
1994,1866,"Hadsel","Shrimp",1.458
1994,1867,"Bo","Atlantic cod",4360.2427
1994,1867,"Bo","Atlantic herring",81.393
1994,1867,"Bo","Greenland halibut",21.744
1994,1867,"Bo","Haddock",342.539
1994,1867,"Bo","Redfish",20.0659
1994,1867,"Bo","Saithe",1760.5733
1994,1868,"Oksnes","Atlantic cod",8888.6469
1994,1868,"Oksnes","Atlantic herring",118.286
1994,1868,"Oksnes","Greenland halibut",375.6979
1994,1868,"Oksnes","Haddock",1247.7289
1994,1868,"Oksnes","Redfish",335.8641
1994,1868,"Oksnes","Saithe",1891.8308
1994,1870,"Sortland","Atlantic cod",1.7085
1994,1870,"Sortland","Atlantic herring",2023.832
1994,1870,"Sortland","Haddock",0.3206
1994,1870,"Sortland","Redfish",0.71
1994,1870,"Sortland","Saithe",3.5684
1994,1871,"Andoy","Atlantic cod",5433.8524
1994,1871,"Andoy","Greenland halibut",252.7561
1994,1871,"Andoy","Haddock",1130.1932
1994,1871,"Andoy","Redfish",302.146
1994,1871,"Andoy","Saithe",1092.469
1994,1871,"Andoy","Shrimp",0.18
1994,1874,"Moskenes","Atlantic cod",6762.4315
1994,1874,"Moskenes","Greenland halibut",23.0496
1994,1874,"Moskenes","Haddock",518.0293
