Year,Municip_number,Municip_name,English,Total_catch
1994,1804,Bodo,Atlantic cod,358.2619
1994,1804,Bodo,Atlantic herring,54122.615
1994,1804,Bodo,Haddock,99.50059999999999
1994,1804,Bodo,Saithe,164.7802
1994,1805,Narvik,Atlantic cod,5.0055
1994,1805,Narvik,Atlantic herring,6509.9400000000005
1994,1805,Narvik,Haddock,0.4774
1994,1805,Narvik,Saithe,4.0869
1994,1811,Bindal,Atlantic cod,30.717100000000002
1994,1811,Bindal,Haddock,3.57
1994,1811,Bindal,Saithe,19.2437
1994,1812,Somna,Atlantic cod,1.4324999999999999
1994,1812,Somna,Haddock,0.027999999999999997
1994,1812,Somna,Saithe,0.1095
1994,1813,Bronnoy,Atlantic cod,1191.6634
1994,1813,Bronnoy,Haddock,88.767
1994,1813,Bronnoy,Saithe,164.93869999999998
1994,1815,Vega,Atlantic cod,599.3607
1994,1815,Vega,Atlantic herring,83.9
1994,1815,Vega,Haddock,67.487
1994,1815,Vega,Saithe,207.57500000000002
1994,1816,Vevelstad,Atlantic cod,1.734
1994,1816,Vevelstad,Haddock,0.0784
1994,1816,Vevelstad,Saithe,0.2525
1994,1818,Heroy,Atlantic cod,1451.655
1994,1818,Heroy,Haddock,114.7356
1994,1818,Heroy,Saithe,415.9108
1994,1820,Alstahaug,Atlantic cod,100.03580000000001
1994,1820,Alstahaug,Haddock,17.7744
1994,1820,Alstahaug,Saithe,10.1888
1994,1822,Leirfjord,Atlantic cod,2.0235
1994,1822,Leirfjord,Haddock,0.5247
1994,1822,Leirfjord,Saithe,1.1152
1994,1824,Vefsn,Atlantic cod,0.3405
1994,1824,Vefsn,Haddock,0.0532
1994,1824,Vefsn,Saithe,0.2984
1994,1827,Donna,Atlantic cod,472.19030000000004
1994,1827,Donna,Atlantic herring,149.371
1994,1827,Donna,Haddock,31.521
1994,1827,Donna,Saithe,178.14950000000002
1994,1828,Nesna,Atlantic cod,42.594
1994,1828,Nesna,Atlantic herring,22.32
1994,1828,Nesna,Haddock,8.1771
1994,1828,Nesna,Saithe,26.547
1994,1832,Hemnes,Atlantic cod,1.4709
1994,1832,Hemnes,Haddock,0.21839999999999998
1994,1832,Hemnes,Saithe,0.1776
1994,1833,Rana,Atlantic cod,0.402
1994,1833,Rana,Saithe,0.5244
1994,1834,Luroy,Atlantic cod,652.9307
1994,1834,Luroy,Haddock,40.6277
1994,1834,Luroy,Saithe,181.0821
1994,1835,Traena,Atlantic cod,3185.0459
1994,1835,Traena,Atlantic herring,1901.522
1994,1835,Traena,Haddock,159.9114
1994,1835,Traena,Saithe,886.1757
1994,1836,Rodoy,Atlantic cod,953.0625
1994,1836,Rodoy,Atlantic herring,54.956999999999994
1994,1836,Rodoy,Haddock,77.553
1994,1836,Rodoy,Saithe,242.0625
1994,1837,Meloy,Atlantic cod,711.8247
1994,1837,Meloy,Haddock,358.4628
1994,1837,Meloy,Saithe,171.3103
1994,1838,Gildeskal,Atlantic cod,196.8429
1994,1838,Gildeskal,Atlantic herring,25.194000000000003
1994,1838,Gildeskal,Haddock,45.787
1994,1838,Gildeskal,Saithe,141.8608
1994,1839,Beiarn,Atlantic cod,0.153
1994,1839,Beiarn,Atlantic herring,3.497
1994,1839,Beiarn,Haddock,0.0266
1994,1839,Beiarn,Saithe,0.1959
1994,1840,Saltdal,Atlantic cod,35.2643
1994,1840,Saltdal,Haddock,2.954
1994,1840,Saltdal,Saithe,1.4279
1994,1841,Fauske,Atlantic cod,8.1855
1994,1841,Fauske,Haddock,0.1106
1994,1841,Fauske,Saithe,12.143699999999999
1994,1842,Skjerstad_2005,Atlantic cod,25.122
1994,1842,Skjerstad_2005,Haddock,7.464799999999999
1994,1842,Skjerstad_2005,Saithe,1.3549
1994,1845,Sorfold,Atlantic cod,81.6375
1994,1845,Sorfold,Haddock,23.093
1994,1845,Sorfold,Saithe,57.4987
1994,1848,Steigen,Atlantic cod,1062.7345
1994,1848,Steigen,Atlantic herring,2135.032
1994,1848,Steigen,Haddock,140.819
1994,1848,Steigen,Saithe,359.4382
1994,1849,Hamaroy,Atlantic herring,245.308
1994,1850,Tysfjord,Atlantic cod,549.2175
1994,1850,Tysfjord,Atlantic herring,8530.09
1994,1850,Tysfjord,Haddock,5.3844
1994,1850,Tysfjord,Saithe,286.0511
1994,1851,Lodingen,Atlantic cod,1098.3678
1994,1851,Lodingen,Atlantic herring,1407.745
1994,1851,Lodingen,Haddock,3.2858
1994,1851,Lodingen,Saithe,259.8102
1994,1852,Tjeldsund,Atlantic herring,1877.815
1994,1853,Evenes,Atlantic cod,7.995
1994,1853,Evenes,Atlantic herring,5245.3369999999995
1994,1853,Evenes,Saithe,0.29700000000000004
1994,1854,Ballangen,Atlantic cod,0.228
1994,1854,Ballangen,Atlantic herring,2774.116
1994,1854,Ballangen,Haddock,0.1624
1994,1854,Ballangen,Saithe,0.0243
1994,1856,Rost,Atlantic cod,9589.6566
1994,1856,Rost,Haddock,267.3705
1994,1856,Rost,Saithe,1104.1255
1994,1857,Vaeroy,Atlantic cod,6810.4978
1994,1857,Vaeroy,Atlantic herring,750.296
1994,1857,Vaeroy,Haddock,274.9533
1994,1857,Vaeroy,Saithe,686.9561
1994,1859,Flakstad,Atlantic cod,11533.2066
1994,1859,Flakstad,Haddock,563.4799
1994,1859,Flakstad,Saithe,834.8261
1994,1860,Vestvagoy,Atlantic cod,12513.9632
1994,1860,Vestvagoy,Atlantic herring,19.343
1994,1860,Vestvagoy,Haddock,454.9078
1994,1860,Vestvagoy,Saithe,933.8486
1994,1865,Vagan,Atlantic cod,19135.3739
1994,1865,Vagan,Atlantic herring,17185.5874
1994,1865,Vagan,Haddock,1108.0638
1994,1865,Vagan,Saithe,1255.5571
1994,1866,Hadsel,Atlantic cod,302.43330000000003
1994,1866,Hadsel,Atlantic herring,260.084
1994,1866,Hadsel,Haddock,197.1841
1994,1866,Hadsel,Saithe,225.5947
1994,1867,Bo,Atlantic cod,4360.2427
1994,1867,Bo,Atlantic herring,81.393
1994,1867,Bo,Haddock,342.539
1994,1867,Bo,Saithe,1760.5733
1994,1868,Oksnes,Atlantic cod,8888.6469
1994,1868,Oksnes,Atlantic herring,118.286
1994,1868,Oksnes,Haddock,1247.7289
1994,1868,Oksnes,Saithe,1891.8308
1994,1870,Sortland,Atlantic cod,1.7085000000000001
1994,1870,Sortland,Atlantic herring,2023.832
1994,1870,Sortland,Haddock,0.3206
1994,1870,Sortland,Saithe,3.5684
1994,1871,Andoy,Atlantic cod,5433.8524
1994,1871,Andoy,Haddock,1130.1932
1994,1871,Andoy,Saithe,1092.469
1994,1874,Moskenes,Atlantic cod,6762.4315
1994,1874,Moskenes,Haddock,518.0293
1994,1874,Moskenes,Saithe,982.9761
1994,1901,Harstad_2013,Atlantic cod,419.80490000000003
1994,1901,Harstad_2013,Atlantic herring,580.488
1994,1901,Harstad_2013,Haddock,76.4542
1994,1901,Harstad_2013,Saithe,1006.1046
1994,1902,Tromso,Atlantic cod,6303.9292000000005
1994,1902,Tromso,Atlantic herring,27206.6748
1994,1902,Tromso,Haddock,946.039
1994,1902,Tromso,Saithe,15406.3064
1994,1911,Kvaefjord,Atlantic cod,188.07150000000001
1994,1911,Kvaefjord,Atlantic herring,126.555
1994,1911,Kvaefjord,Haddock,9.8588
1994,1911,Kvaefjord,Saithe,44.0404
1994,1913,Skanland,Atlantic cod,0.3
1994,1915,Bjarkoy_2013,Atlantic cod,657.7883
1994,1915,Bjarkoy_2013,Haddock,77.042
1994,1915,Bjarkoy_2013,Saithe,82.19
1994,1917,Ibestad,Atlantic cod,0.1875
1994,1917,Ibestad,Atlantic herring,111.066
1994,1919,Gratangen,Atlantic cod,1.9635
1994,1919,Gratangen,Haddock,0.1484
1994,1919,Gratangen,Saithe,0.9642
1994,1920,Lavangen,Saithe,0.081
1994,1924,Malselv,Atlantic cod,0.0975
1994,1924,Malselv,Haddock,0.154
1994,1926,Dyroy,Atlantic cod,519.0388
1994,1926,Dyroy,Haddock,51.3114
1994,1926,Dyroy,Saithe,137.996
1994,1927,Tranoy,Atlantic cod,13.701
1994,1927,Tranoy,Haddock,2.4948
1994,1927,Tranoy,Saithe,2.0905
1994,1928,Torsken,Atlantic cod,5399.0914999999995
1994,1928,Torsken,Atlantic herring,989.5749999999999
1994,1928,Torsken,Haddock,301.3201
1994,1928,Torsken,Saithe,1007.8567
1994,1929,Berg,Atlantic cod,3526.9815
1994,1929,Berg,Atlantic herring,227.185
1994,1929,Berg,Haddock,335.4414
1994,1929,Berg,Saithe,364.4574
1994,1931,Lenvik,Atlantic cod,5345.3151
1994,1931,Lenvik,Atlantic herring,1284.643
1994,1931,Lenvik,Haddock,184.2696
1994,1931,Lenvik,Saithe,1172.373
1994,1933,Balsfjord,Atlantic cod,1.185
1994,1933,Balsfjord,Haddock,0.29259999999999997
1994,1936,Karlsoy,Atlantic cod,5580.6979
1994,1936,Karlsoy,Haddock,670.9735000000001
1994,1936,Karlsoy,Saithe,268.6308
1994,1938,Lyngen,Atlantic cod,395.3281
1994,1938,Lyngen,Haddock,91.2829
1994,1938,Lyngen,Saithe,143.47209999999998
1994,1939,Storfjord,Atlantic cod,0.9585
1994,1939,Storfjord,Haddock,0.098
1994,1940,Kafjord,Atlantic cod,3.414
1994,1940,Kafjord,Haddock,0.0392
1994,1940,Kafjord,Saithe,1.3906
1994,1941,Skjervoy,Atlantic cod,2661.0596
1994,1941,Skjervoy,Haddock,972.2266000000001
1994,1941,Skjervoy,Saithe,420.0184
1994,1942,Nordreisa,Atlantic cod,1984.2421
1994,1942,Nordreisa,Haddock,113.5263
1994,1942,Nordreisa,Saithe,275.1621
1994,1943,Kvaenangen,Atlantic cod,1940.3359
1994,1943,Kvaenangen,Haddock,72.7822
