"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
1994,"1804","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,383.3839,"Bodo",391.190866666667,3431.45,0.114001622249098,11.5957758976268,0.00983130609418121,0.00491565304709061,60225.0185333333,0.00649548769254675,44.9766189018784
1995,"1804","Atlantic cod",523318,"cod.27.1-2",0.74,220000,0.4,460000,0.782,1,0,0.5,522.3764,"Bodo",391.190866666667,3431.45,0.114001622249098,11.5957758976268,0.00983130609418121,0.00491565304709061,60225.0185333333,0.00649548769254675,59.1655266384676
1996,"1804","Atlantic cod",546404,"cod.27.1-2",0.74,220000,0.4,460000,0.766,1,0,0.5,267.8123,"Bodo",308.136833333333,3431.45,0.0897978502770937,11.203589232838,0.00801509662759625,0.00400754831379812,73266.6835333333,0.00420568829477785,51.2978954368531
1997,"1804","Atlantic cod",544203,"cod.27.1-2",0.74,220000,0.4,460000,0.947,1,0,0.5,134.2218,"Bodo",197.1164,3431.45,0.0574440542627752,11.0830323623589,0.00518306293662655,0.00259153146831328,80846.5794,0.00243815386455299,64.255901526318
1998,"1804","Atlantic cod",377854,"cod.27.1-2",0.74,220000,0.4,460000,0.96,0.657725,0,0.3288625,189.3151,"Bodo",178.679133333333,3431.45,0.0520710292539111,10.2268746645112,0.00509158770025854,0.00167443226007627,90086.0223333333,0.00198342793593651,77.7838369079175
1999,"1804","Atlantic cod",283058,"cod.27.1-2",0.74,220000,0.4,460000,0.96,0.262741666666667,0,0.131370833333333,212.5005,"Bodo",221.272,3431.45,0.0644835273718108,8.22380253054373,0.0078410841131356,0.00103008975417938,85461.1312333333,0.00258915365156897,60.7518570285292
2000,"1804","Atlantic cod",239037,"cod.27.1-2",0.74,220000,0.4,460000,0.823,0.0793208333333333,0,0.0396604166666666,262.0004,"Bodo",237.865733333333,3431.45,0.0693193062213739,5.91757457435674,0.0117141415541703,0.000464587734930707,67397.7349666667,0.00352928378751862,40.0875930658426
2001,"1804","Atlantic cod",363501,"cod.27.1-2",0.74,220000,0.4,460000,0.707,0.597920833333333,0.0970588235294119,0.347489828431373,239.0963,"Bodo",215.453233333333,3431.45,0.0627878107894136,5.57334966477031,0.0112657225126752,0.00391472398308496,54815.8356,0.00393049254791134,36.0973175621229
2002,"1804","Atlantic cod",505998,"cod.27.1-2",0.74,220000,0.4,460000,0.655,1,0.25,0.625,145.263,"Bodo",182.0371,3431.45,0.0530496145944134,6.76454968595219,0.00784229801794206,0.00490143626121379,47879.7445666667,0.00380196472741277,16.8541056637804
2003,"1804","Atlantic cod",595218,"cod.27.1-2",0.74,220000,0.4,460000,0.576,1,0.482352941176471,0.741176470588235,161.752,"Bodo",233.461633333333,3431.45,0.0680358546192815,7.56612998527849,0.00899216042437279,0.00666477772629983,54575.7233333333,0.00427775609875869,31.8559956410476
