Year,Municip_number,Municip_name_new,fish_score
1994,1804,Bodo,98.1846507585739
1994,1805,Narvik,99.88228688804003
1994,1811,Bindal,6.434223032572
1994,1812,Somna,0.3932197711353483
1994,1813,Bronnoy,92.57920991145653
1994,1815,Vega,29.033842312649394
1994,1816,Vevelstad,2.240565475179875
1994,1818,Heroy,88.33092702167905
1994,1820,Alstahaug,38.174824317416316
1994,1822,Leirfjord,2.0274593825033627
1994,1824,Vefsn,0.41923781839096036
1994,1827,Donna,77.39452206996866
1994,1828,Nesna,22.664470647163238
1994,1832,Hemnes,3.4822044109794876
1994,1833,Rana,0.37481058042802917
1994,1834,Luroy,89.15556380786792
1994,1835,Traena,92.95448293174547
1994,1836,Rodoy,57.65673998963094
1994,1837,Meloy,51.319907152211414
1994,1838,Gildeskal,27.949929307011512
1994,1840,Saltdal,95.08813018525525
1994,1841,Fauske,11.151649642708708
1994,1845,Sorfold,53.48733669540636
1994,1848,Steigen,84.24730052034045
1994,1849,Hamaroy,65.31764695858149
1994,1850,Tysfjord,98.77097416798357
1994,1851,Lodingen,96.34565182130548
1994,1852,Tjeldsund,100
1994,1853,Evenes,99.83310607997065
1994,1854,Ballangen,99.98629284235093
1994,1856,Rost,95.17233551426789
1994,1857,Vaeroy,92.25790159618239
1994,1859,Flakstad,96.57415836107118
1994,1860,Vestvagoy,96.21415746568067
1994,1865,Vagan,98.15576150451868
1994,1866,Hadsel,58.668257011033504
1994,1867,Bo,85.35480709604609
1994,1868,Oksnes,91.54868936172613
1994,1870,Sortland,99.8198178582697
1994,1871,Andoy,89.50004764235157
1994,1874,Moskenes,93.20074979290047
1994,1902,Tromso,85.39120508068717
1994,1903,Harstad,73.20487741231973
1994,1911,Kvaefjord,91.9362263432127
1994,1913,Skanland,0.5913029195581653
1994,1917,Ibestad,44.393836627196286
1994,1919,Gratangen,4.476153464638038
1994,1920,Lavangen,0.016253259533084187
1994,1924,Malselv,0.43560600181125625
1994,1926,Dyroy,89.18160918123424
1994,1927,Tranoy,4.933260426865088
1994,1928,Torsken,93.71373198510571
1994,1929,Berg,91.34039987330866
1994,1931,Lenvik,93.73036951891189
1994,1933,Balsfjord,0.7393060124606079
1994,1936,Karlsoy,93.58708897933985
1994,1938,Lyngen,82.48978907633375
1994,1939,Storfjord,2.468432488237602
1994,1940,Kafjord,4.077140093344493
1994,1941,Skjervoy,92.19556958170227
1994,1942,Nordreisa,94.30892286635384
1994,1943,Kvaenangen,86.3554791246361
1994,2002,Vardo,99.06022883608374
1994,2003,Vadso,53.59426036674706
1994,2004,Hammerfest,83.84932941920519
1994,2012,Alta,49.3483460677154
1994,2014,Loppa,90.75810384289228
1994,2015,Hasvik,82.557796681287
1994,2017,Kvalsund,94.9296894563919
1994,2018,Masoy,90.05326123870726
1994,2019,Nordkapp,90.51214725805382
1994,2020,Porsanger,41.62691453232846
1994,2022,Lebesby,88.16648848881263
1994,2023,Gamvik,99.14710684420992
1994,2024,Berlevag,95.5310832375928
1994,2025,Tana,0.05419376394447613
1994,2027,Nesseby,0.23708334796810793
1994,2028,Batsfjord,96.71845828627134
1994,2030,Sor-Varanger,31.168620736796008
1995,1804,Bodo,98.03929026479453
1995,1805,Narvik,53.6897962069085
1995,1811,Bindal,10.754000061689009
1995,1812,Somna,0.043823547251056666
1995,1813,Bronnoy,49.289577132235515
1995,1815,Vega,30.461870382997397
1995,1816,Vevelstad,0.35742304719481005
1995,1818,Heroy,64.35929584656041
1995,1820,Alstahaug,37.84889910751686
1995,1822,Leirfjord,1.058497407397245
1995,1824,Vefsn,0.31706853588424644
1995,1827,Donna,84.84081864408724
1995,1828,Nesna,25.150256068680545
1995,1832,Hemnes,1.6982962902342702
1995,1833,Rana,0.06308432805598892
1995,1834,Luroy,64.81982583005409
1995,1835,Traena,94.25960742872091
1995,1836,Rodoy,21.18465607327536
1995,1837,Meloy,30.974142552388564
1995,1838,Gildeskal,12.198218717737298
1995,1840,Saltdal,94.96081656818332
1995,1841,Fauske,8.01734941036476
1995,1845,Sorfold,74.23585488540355
1995,1848,Steigen,84.74762995399703
1995,1849,Hamaroy,100
1995,1850,Tysfjord,98.73552752165064
1995,1851,Lodingen,95.10917387003119
1995,1852,Tjeldsund,99.35536715270021
1995,1853,Evenes,97.72344835503486
1995,1854,Ballangen,99.99411546607107
1995,1856,Rost,91.921930983309025
1995,1857,Vaeroy,96.65768848807085
1995,1859,Flakstad,96.29758035272958
1995,1860,Vestvagoy,93.91799658363279
1995,1865,Vagan,97.67071268827357
1995,1866,Hadsel,86.23402445360642
1995,1867,Bo,87.62083339800007
1995,1868,Oksnes,91.78517442875547
1995,1870,Sortland,99.98527617935797
1995,1871,Andoy,91.40987880791046
1995,1874,Moskenes,91.20181448922455
1995,1902,Tromso,96.45068319151945
1995,1903,Harstad,84.87334266197402
1995,1911,Kvaefjord,91.85116424932528
1995,1919,Gratangen,9.816699584545875
1995,1924,Malselv,1.0977967332372838
1995,1926,Dyroy,88.2593801189066
1995,1927,Tranoy,16.88655842977607
1995,1928,Torsken,93.95837119981405
1995,1929,Berg,95.198565165447
1995,1931,Lenvik,92.98177092129951
1995,1936,Karlsoy,91.2194802139331
1995,1938,Lyngen,91.6545415509974
1995,1939,Storfjord,0.6704438529009028
1995,1940,Kafjord,0.45704486260768373
1995,1941,Skjervoy,90.71855641447382
1995,1942,Nordreisa,91.24463062599641
1995,1943,Kvaenangen,87.89788819918887
1995,2002,Vardo,95.11898447535285
1995,2003,Vadso,82.7420620580748
1995,2004,Hammerfest,89.23155293445222
1995,2012,Alta,89.57478626350698
1995,2014,Loppa,66.00236362525882
1995,2015,Hasvik,85.79310044206831
1995,2017,Kvalsund,92.851502648423
1995,2018,Masoy,87.43252480241078
1995,2019,Nordkapp,91.4326345522494
1995,2020,Porsanger,46.307774296469965
1995,2022,Lebesby,90.29147516820923
1995,2023,Gamvik,98.68071977457359
1995,2024,Berlevag,97.16923755003928
1995,2025,Tana,15.02928470239369
1995,2027,Nesseby,0.08903869445400159
1995,2028,Batsfjord,96.64291691894655
1995,2030,Sor-Varanger,11.547516621768171
1996,1804,Bodo,98.81513147080415
1996,1805,Narvik,99.90876370936384
1996,1811,Bindal,6.177020164425953
1996,1812,Somna,0.1365061403309905
1996,1813,Bronnoy,25.46176595847221
1996,1815,Vega,3.3920020351253775
1996,1816,Vevelstad,0.10954248905673072
1996,1818,Heroy,57.79012994786689
1996,1820,Alstahaug,11.396497536319478
1996,1822,Leirfjord,0.4875451335891562
1996,1827,Donna,87.48843153424048
1996,1828,Nesna,13.424272427020611
1996,1832,Hemnes,1.2730989753496968
1996,1833,Rana,3.7666859748869475
1996,1834,Luroy,85.68086988947994
1996,1835,Traena,97.39197342225702
1996,1836,Rodoy,11.648074165418826
1996,1837,Meloy,16.178274911488447
1996,1838,Gildeskal,9.876005260823044
1996,1840,Saltdal,95.29591295567727
1996,1841,Fauske,46.07395402069379
1996,1845,Sorfold,30.678240649426208
1996,1848,Steigen,80.803491140841615
1996,1849,Hamaroy,100
1996,1850,Tysfjord,99.38169055122133
1996,1851,Lodingen,99.14225837825222
1996,1852,Tjeldsund,99.56720189016185
1996,1853,Evenes,99.83286987982298
1996,1854,Ballangen,100
1996,1856,Rost,93.27582615326116
1996,1857,Vaeroy,97.28207357652526
1996,1859,Flakstad,97.84431399217486
1996,1860,Vestvagoy,96.43701543355189
1996,1865,Vagan,99.33402281390882
1996,1866,Hadsel,100
1996,1867,Bo,93.94926354406763
1996,1868,Oksnes,95.47263117962035
1996,1870,Sortland,99.98438084774095
1996,1871,Andoy,88.56429558346133
1996,1874,Moskenes,95.08616681430674
1996,1902,Tromso,99.34818411822663
1996,1903,Harstad,92.61851875141541
1996,1911,Kvaefjord,90.58160786988527
1996,1917,Ibestad,0.02324454397869055
1996,1919,Gratangen,0.7066129659600218
1996,1920,Lavangen,3.8272866381665924
1996,1924,Malselv,0.26339542315998066
1996,1925,Sorreisa,0.1782371497144905
1996,1926,Dyroy,91.20702634998348
1996,1927,Tranoy,21.356265425418055
1996,1928,Torsken,97.89222138093861
1996,1929,Berg,95.41342004976079
1996,1931,Lenvik,99.52954465349376
1996,1933,Balsfjord,1.0910302297543388
1996,1936,Karlsoy,94.20036632594136
1996,1938,Lyngen,51.807223069126444
1996,1939,Storfjord,28.857132417755675
1996,1940,Kafjord,3.690285279590846
1996,1941,Skjervoy,92.4531992029151
1996,1942,Nordreisa,99.23244484455883
1996,1943,Kvaenangen,94.85676631055273
1996,2002,Vardo,99.34419970978257
1996,2003,Vadso,76.45812307829638
1996,2004,Hammerfest,88.91996321590278
1996,2012,Alta,82.79833533719106
1996,2014,Loppa,18.013592115140774
1996,2015,Hasvik,88.34497176606645
1996,2017,Kvalsund,98.4217199012366
1996,2018,Masoy,86.30912033891899
1996,2019,Nordkapp,96.40987963764319
1996,2020,Porsanger,51.93677823364737
1996,2022,Lebesby,92.32996510223641
1996,2023,Gamvik,52.67806539243496
1996,2024,Berlevag,82.1282073230091
1996,2025,Tana,48.059159128377196
1996,2028,Batsfjord,98.03855637057215
1996,2030,Sor-Varanger,4.316809370275372
1997,1804,Bodo,99.48287946754012
1997,1805,Narvik,98.97939394777194
1997,1811,Bindal,6.004969751640077
1997,1812,Somna,0.14079118586643213
1997,1813,Bronnoy,9.078326794050547
1997,1815,Vega,17.75695713655752
1997,1816,Vevelstad,0.26034274648973044
1997,1818,Heroy,14.813124735311133
1997,1820,Alstahaug,13.057159966088731
1997,1822,Leirfjord,2.038138026028736
1997,1827,Donna,48.91778119152318
1997,1828,Nesna,7.597215386500239
1997,1832,Hemnes,3.2182376630706067
1997,1833,Rana,4.875130289889928
1997,1834,Luroy,45.49567304549413
1997,1835,Traena,96.86989904085642
1997,1836,Rodoy,6.203303300296565
1997,1837,Meloy,15.927897402914539
1997,1838,Gildeskal,5.895885432894566
1997,1840,Saltdal,9.599074025128626
1997,1841,Fauske,42.83508617112731
1997,1845,Sorfold,30.417203294214403
1997,1848,Steigen,85.26017344483799
1997,1849,Hamaroy,100
1997,1850,Tysfjord,98.91204151555017
1997,1851,Lodingen,97.75967537581286
1997,1852,Tjeldsund,6.716293380306139
1997,1853,Evenes,99.95442404294774
1997,1854,Ballangen,100
1997,1856,Rost,94.74747768437103
1997,1857,Vaeroy,97.39999158629792
1997,1859,Flakstad,98.23869459842132
1997,1860,Vestvagoy,96.69977022783397
1997,1865,Vagan,99.34355679679625
1997,1866,Hadsel,90.38507945063922
1997,1867,Bo,91.73116571775294
1997,1868,Oksnes,97.42655306100501
1997,1870,Sortland,99.983102137076
1997,1871,Andoy,94.60001223966704
1997,1874,Moskenes,95.2540442075932
1997,1902,Tromso,99.36562803960506
1997,1903,Harstad,96.9547367398224
1997,1911,Kvaefjord,99.46662990484431
1997,1919,Gratangen,6.7554489839816645
1997,1920,Lavangen,2.211261463240849
1997,1924,Malselv,2.1791588692997146
1997,1925,Sorreisa,0.35248018963145733
1997,1926,Dyroy,93.46840303610331
1997,1927,Tranoy,12.692578662579619
1997,1928,Torsken,98.6854457956863
1997,1929,Berg,99.20723760433584
1997,1931,Lenvik,99.22982096704595
1997,1933,Balsfjord,0.9846585519163107
1997,1936,Karlsoy,88.55646383419742
1997,1938,Lyngen,5.774346663254289
1997,1939,Storfjord,95.0496887043817
1997,1940,Kafjord,1.6879381028616454
1997,1941,Skjervoy,98.27116850699196
1997,1942,Nordreisa,98.84239184822533
1997,1943,Kvaenangen,92.93098235173026
1997,2002,Vardo,99.30115102552058
1997,2003,Vadso,85.45939798875771
1997,2004,Hammerfest,95.18565960870058
1997,2012,Alta,68.885480899654155
1997,2014,Loppa,86.70506988527573
1997,2015,Hasvik,87.33661128928092
1997,2017,Kvalsund,98.44488570881194
1997,2018,Masoy,86.41083255102531
1997,2019,Nordkapp,91.74170433951517
1997,2020,Porsanger,49.9688657084844
1997,2022,Lebesby,92.74609597448715
1997,2023,Gamvik,85.61032158877184
1997,2024,Berlevag,97.39463919380061
1997,2025,Tana,83.34832901290166
1997,2028,Batsfjord,99.42613729954299
1997,2030,Sor-Varanger,10.420316566981839
1998,1804,Bodo,99.22407393993147
1998,1805,Narvik,99.87638864860466
1998,1811,Bindal,4.639448591400885
1998,1812,Somna,0.0062633614116365775
1998,1813,Bronnoy,5.978652118448536
1998,1815,Vega,12.043925046603192
1998,1816,Vevelstad,0.06962573505877892
1998,1818,Heroy,13.50438348409175
1998,1820,Alstahaug,6.981740474271686
1998,1822,Leirfjord,0.18586816922886812
1998,1827,Donna,48.29789900701623
1998,1828,Nesna,5.707766786986505
1998,1832,Hemnes,2.873651230284079
1998,1833,Rana,4.692299636626774
1998,1834,Luroy,32.585387818303325
1998,1835,Traena,94.13741320705851
1998,1836,Rodoy,8.10467135225306
1998,1837,Meloy,15.47273153988053
1998,1838,Gildeskal,26.85092853289128
1998,1840,Saltdal,3.7703486515040647
1998,1841,Fauske,39.09488272536405
1998,1845,Sorfold,28.93594045397973
1998,1848,Steigen,76.53492997211158
1998,1849,Hamaroy,100
1998,1850,Tysfjord,96.87449275188584
1998,1851,Lodingen,95.69118781186117
1998,1852,Tjeldsund,99.9519586309692
1998,1853,Evenes,100
1998,1854,Ballangen,100
1998,1856,Rost,77.20933222753894
1998,1857,Vaeroy,73.99697394929677
1998,1859,Flakstad,72.38397687215098
1998,1860,Vestvagoy,71.56129915755209
1998,1865,Vagan,83.37929492455214
1998,1866,Hadsel,74.18472682720501
1998,1867,Bo,86.64714249076482
1998,1868,Oksnes,71.24837664199772
1998,1870,Sortland,99.9789153827094
1998,1871,Andoy,71.49002639002192
1998,1874,Moskenes,70.39673960194074
1998,1902,Tromso,95.29759866168425
1998,1903,Harstad,72.97379432268747
1998,1911,Kvaefjord,64.10924933819952
1998,1913,Skanland,0.42697715047240764
1998,1919,Gratangen,0.7721496910311855
1998,1920,Lavangen,1.4370676662759732
1998,1924,Malselv,0.36616831549041184
1998,1926,Dyroy,35.99853536497768
1998,1927,Tranoy,13.847063884914185
1998,1928,Torsken,84.10139689405501
1998,1929,Berg,77.33510780411157
1998,1931,Lenvik,76.82180321180327
