"","Year","Municip_number","Municip_name_new","fihs_score"
"1",1994,1804,"Bodo",99.8884607815738
"2",1994,1805,"Narvik",99.9769671518463
"3",1994,1811,"Bindal",84.8633113484066
"4",1994,1812,"Somna",97.7397790151124
"5",1994,1813,"Bronnoy",96.0892022532472
"6",1994,1815,"Vega",91.7715859871906
"7",1994,1816,"Vevelstad",95.838578851885
"8",1994,1818,"Heroy",92.2730054792843
"9",1994,1820,"Alstahaug",97.2231864957221
"10",1994,1822,"Leirfjord",87.1547132419805
"11",1994,1824,"Vefsn",80.4222379585541
"12",1994,1827,"Donna",91.8826138228541
"13",1994,1828,"Nesna",89.0379872295383
"14",1994,1832,"Hemnes",96.6836339757644
"15",1994,1833,"Rana",72.1698616096924
"16",1994,1834,"Luroy",92.4440160576221
"17",1994,1835,"Traena",94.727545986352
"18",1994,1836,"Rodoy",93.3742079156083
"19",1994,1837,"Meloy",94.4693013702003
"20",1994,1838,"Gildeskal",84.9228169925185
"21",1994,1840,"Saltdal",98.8255588652294
"22",1994,1841,"Fauske",69.7501641453004
"23",1994,1842,"Bodo",89.6686268488139
"24",1994,1845,"Sorfold",84.3338607796551
"25",1994,1848,"Steigen",96.3712965816341
"26",1994,1849,"Hamaroy",100
"27",1994,1850,"Tysfjord",98.8709782079688
"28",1994,1851,"Lodingen",96.6296817658066
"29",1994,1852,"Tjeldsund",100
"30",1994,1853,"Evenes",99.9979239452912
"31",1994,1854,"Ballangen",99.99967827765
"32",1994,1856,"Rost",96.6507647300538
"33",1994,1857,"Vaeroy",97.3048094245377
"34",1994,1859,"Flakstad",97.8868421933456
"35",1994,1860,"Vestvagoy",97.8126511149103
"36",1994,1865,"Vagan",98.8836847180526
"37",1994,1866,"Hadsel",90.034513528246
"38",1994,1867,"Bo",89.6083862185629
"39",1994,1868,"Oksnes",94.3455748323256
"40",1994,1870,"Sortland",99.935349567105
"41",1994,1871,"Andoy",94.7444527571693
"42",1994,1874,"Moskenes",95.9056360029805
"43",1994,1901,"Harstad",83.3501352756348
"44",1994,1902,"Tromso",86.3637943248242
"45",1994,1911,"Kvaefjord",95.6948752370663
"46",1994,1913,"Skanland",100
"47",1994,1915,"Harstad",78.041208492046
"48",1994,1917,"Ibestad",100
"49",1994,1919,"Gratangen",87.4888073592372
"50",1994,1920,"Lavangen",8.16691176470588
"51",1994,1924,"Malselv",100
"52",1994,1926,"Dyroy",92.8487413549349
"53",1994,1927,"Tranoy",95.9097857077687
"54",1994,1928,"Torsken",95.4023958736938
"55",1994,1929,"Berg",97.2147318468273
"56",1994,1931,"Lenvik",94.7979843714671
"57",1994,1933,"Balsfjord",100
"58",1994,1936,"Karlsoy",98.6307963035614
"59",1994,1938,"Lyngen",91.0149625064275
"60",1994,1939,"Storfjord",100
"61",1994,1940,"Kafjord",89.0771770275587
"62",1994,1941,"Skjervoy",96.0886841071006
"63",1994,1942,"Nordreisa",96.0505965916048
"64",1994,1943,"Kvaenangen",87.9069434632717
"65",1994,2002,"Vardo",99.1323088143745
"66",1994,2003,"Vadso",73.1157119916592
"67",1994,2004,"Hammerfest",92.8700353114726
"68",1994,2012,"Alta",99.6765773370765
"69",1994,2014,"Loppa",97.1755494116224
"70",1994,2015,"Hasvik",90.6508049482157
"71",1994,2017,"Kvalsund",98.3474610280874
"72",1994,2018,"Masoy",96.6176025591225
"73",1994,2019,"Nordkapp",96.0364472107186
"74",1994,2020,"Porsanger",99.7472314117045
"75",1994,2022,"Lebesby",97.7760048902962
"76",1994,2023,"Gamvik",99.2804490266387
"77",1994,2024,"Berlevag",95.7897021389565
"78",1994,2025,"Tana",55.337912364609
"79",1994,2027,"Nesseby",100
"80",1994,2028,"Batsfjord",96.8372682617299
"81",1994,2030,"Sor-Varanger",99.4906850680825
"82",1995,1804,"Bodo",99.9042204678092
"83",1995,1805,"Narvik",98.9231846100433
"84",1995,1811,"Bindal",94.9736581979847
"85",1995,1812,"Somna",96.6121163459904
"86",1995,1813,"Bronnoy",93.1590251897616
"87",1995,1815,"Vega",93.9889852641937
"88",1995,1816,"Vevelstad",98.1762627877238
"89",1995,1818,"Heroy",91.2381201212624
"90",1995,1820,"Alstahaug",97.9625732233111
"91",1995,1822,"Leirfjord",97.927154821756
"92",1995,1824,"Vefsn",78.1006276809551
"93",1995,1827,"Donna",93.2407873198908
"94",1995,1828,"Nesna",90.9334968052309
"95",1995,1832,"Hemnes",98.1993579788644
"96",1995,1833,"Rana",73.259453125
"97",1995,1834,"Luroy",91.1076050299179
"98",1995,1835,"Traena",96.8228898247198
"99",1995,1836,"Rodoy",87.7351438733844
"100",1995,1837,"Meloy",93.3513966876742
"101",1995,1838,"Gildeskal",76.8326751322725
"102",1995,1840,"Saltdal",97.7513617564164
"103",1995,1841,"Fauske",81.536353955879
"104",1995,1842,"Bodo",92.363774945229
"105",1995,1845,"Sorfold",94.8780400854353
"106",1995,1848,"Steigen",97.0622557860451
"107",1995,1849,"Hamaroy",100
"108",1995,1850,"Tysfjord",99.1062735946597
"109",1995,1851,"Lodingen",96.3973510157478
"110",1995,1852,"Tjeldsund",99.9939961488799
"111",1995,1853,"Evenes",99.7268358217831
"112",1995,1854,"Ballangen",100
"113",1995,1856,"Rost",95.8319358898853
"114",1995,1857,"Vaeroy",98.4656656720321
"115",1995,1859,"Flakstad",97.3938437896057
"116",1995,1860,"Vestvagoy",96.2122046788371
"117",1995,1865,"Vagan",98.7276420445446
"118",1995,1866,"Hadsel",86.2340244536064
"119",1995,1867,"Bo",95.8468560142243
"120",1995,1868,"Oksnes",96.8523454979469
"121",1995,1870,"Sortland",99.9982243846999
"122",1995,1871,"Andoy",96.7937502688282
"123",1995,1874,"Moskenes",94.6476228742513
"124",1995,1901,"Harstad",90.546414428495
"125",1995,1902,"Tromso",97.1840267374914
"126",1995,1911,"Kvaefjord",95.6683746343907
"127",1995,1915,"Harstad",90.546414428495
"128",1995,1919,"Gratangen",95.8866603648596
"129",1995,1924,"Malselv",100
"130",1995,1926,"Dyroy",95.6576873053041
"131",1995,1927,"Tranoy",88.2814531626371
"132",1995,1928,"Torsken",97.321831705323
"133",1995,1929,"Berg",98.5899493286323
"134",1995,1931,"Lenvik",94.7912212441461
"135",1995,1936,"Karlsoy",96.9069737799961
"136",1995,1938,"Lyngen",97.6387349839098
"137",1995,1939,"Storfjord",100
"138",1995,1940,"Kafjord",96.6516190767471
"139",1995,1941,"Skjervoy",97.4790225978551
"140",1995,1942,"Nordreisa",93.0642387213683
"141",1995,1943,"Kvaenangen",89.6821609830995
"142",1995,2002,"Vardo",99.0404364103257
"143",1995,2003,"Vadso",90.3162498812732
"144",1995,2004,"Hammerfest",98.0786898399779
"145",1995,2012,"Alta",98.7661876807615
"146",1995,2014,"Loppa",93.7561358001911
"147",1995,2015,"Hasvik",95.8978307308115
"148",1995,2017,"Kvalsund",98.3252600477509
"149",1995,2018,"Masoy",97.5175012209103
"150",1995,2019,"Nordkapp",97.1835841900993
"151",1995,2020,"Porsanger",99.1004532719001
"152",1995,2022,"Lebesby",98.5554558190749
"153",1995,2023,"Gamvik",99.2411910522723
"154",1995,2024,"Berlevag",98.2993279698193
"155",1995,2025,"Tana",99.9951391570193
"156",1995,2027,"Nesseby",90.4864842328684
"157",1995,2028,"Batsfjord",97.4661387500824
"158",1995,2030,"Sor-Varanger",99.1551417410463
"159",1996,1804,"Bodo",100
"160",1996,1805,"Narvik",100
"161",1996,1811,"Bindal",100
"162",1996,1812,"Somna",100
"163",1996,1813,"Bronnoy",100
"164",1996,1815,"Vega",100
"165",1996,1816,"Vevelstad",100
"166",1996,1818,"Heroy",100
"167",1996,1820,"Alstahaug",100
"168",1996,1822,"Leirfjord",100
"169",1996,1827,"Donna",100
"170",1996,1828,"Nesna",100
"171",1996,1832,"Hemnes",100
"172",1996,1833,"Rana",100
"173",1996,1834,"Luroy",100
"174",1996,1835,"Traena",100
"175",1996,1836,"Rodoy",100
"176",1996,1837,"Meloy",100
