"AssessmentYear","AssessmentKey","StockKeyLabel","FLim","Blim","FMSY","MSYBtrigger","n"
2006,129,"cod-arct",0.74,220000,NA,NA,1
2006,140,"cod-coas",NA,NA,NA,NA,1
2006,220,"ghl-arct",NA,NA,NA,NA,1
2006,252,"had-arct",0.49,50000,NA,NA,1
2007,130,"cod-arct",0.74,220000,NA,NA,1
2007,221,"ghl-arct",NA,NA,NA,NA,1
2007,253,"had-arct",NA,NA,NA,NA,1
2007,705,"sai-arct",0.58,136000,NA,NA,1
2008,131,"cod-arct",0.74,220000,NA,NA,1
2008,254,"had-arct",0.49,50000,NA,NA,1
2008,706,"sai-arct",0.58,136000,NA,NA,1
2009,132,"cod-arct",0.74,220000,NA,NA,1
2009,255,"had-arct",0.49,50000,NA,NA,1
2009,707,"sai-arct",0.58,136000,NA,NA,1
2011,257,"had-arct",0.77,50000,0.35,80000,1
2011,709,"sai-arct",0.58,136000,0,0,1
2012,1682,"cod-arct",0.74,220000,0.4,460000,1
2013,1787,"cod-arct",0.74,220000,0.4,460000,1
2013,1792,"had-arct",0.77,50000,0.35,80000,1
2014,4051,"sai-arct",0.58,136000,0,0,1
2014,4054,"had-arct",0.77,50000,0.35,0,1
2014,4063,"cod-arct",0.74,220000,0.4,460000,1
2015,6548,"sai-arct",0.58,136000,NA,NA,1
2015,6567,"cod-arct",0.74,220000,0.4,460000,1
2015,6793,"had-arct",0.77,50000,0.35,80000,1
2015,7016,"ghl-arct",NA,NA,NA,NA,1
2016,7353,"sai-arct",0.58,136000,NA,NA,1
2016,7360,"had-arct",0.77,80000,0.35,80000,1
2016,7368,"smr-arct",NA,NA,NA,NA,1
2016,7648,"cod-arct",0.74,220000,0.4,460000,1
2016,7896,"cod-coas",NA,NA,NA,NA,1
2017,8424,"pok.27.1-2",0.58,136000,NA,NA,1
2017,8428,"had.27.1-2",0.77,80000,0.35,80000,1
2017,8435,"cod.27.1-2",0.74,220000,0.4,460000,1
2017,8614,"cod.2127.1f14",NA,NA,NA,NA,1
2017,8730,"cod.27.1-2coast",NA,NA,NA,NA,1
2017,8886,"ghl.27.1-2",NA,NA,NA,NA,1
2017,9079,"mac.27.nea",0.48,1940000,0.21,2570000,1
2017,9118,"whb.27.1-91214",0.88,1500000,0.32,2250000,1
2017,9192,"cap.27.1-2",NA,200000,NA,NA,1
2017,9244,"her.27.1-24a514a",NA,2500000,0.15,5000000,1
2017,9262,"cap.27.2a514",NA,150000,NA,NA,1
2018,9841,"cod.27.1-2",0.74,220000,0.4,460000,1
2018,9908,"reg.27.1-2",NA,44000,0.0525,NA,1
2018,9910,"had.27.1-2",0.77,50000,0.35,80000,1
2018,9915,"cod.27.1-2coast",NA,NA,NA,NA,1
2018,9918,"cod.2127.1f14",2.34,10354,0.46,14803,1
2018,9925,"pok.27.1-2",0.58,136000,NA,NA,1
2018,10099,"whb.27.1-91214",0.88,1500000,0.32,2250000,1
2018,10100,"her.27.1-24a514a",0.291,2500000,0.157,3184000,1
2018,10193,"cap.27.1-2",NA,200000,NA,NA,1
2018,10300,"cap.27.2a514",NA,150000,NA,NA,1
2018,10444,"mac.27.nea",0.46,1990000,0.23,2500000,1
2019,10375,"mac.27.nea",0.46,1990000,0.23,2500000,1
2019,11552,"cod.2127.1f14",2.34,10354,0.46,14803,1
2019,11554,"cod.27.1-2",0.74,220000,0.4,460000,1
2019,11564,"pok.27.1-2",0.58,136000,NA,NA,1
2019,11570,"cod.27.1-2coast",NA,NA,NA,NA,1
2019,12920,"ghl.27.1-2",NA,NA,NA,NA,1
2019,12960,"had.27.1-2",0.77,50000,0.35,80000,1
2019,13087,"her.27.1-24a514a",0.291,2500000,0.157,3184000,1
2019,13090,"whb.27.1-91214",0.88,1500000,0.32,2250000,1
2019,13094,"mac.27.nea",0.46,1990000,0.23,2500000,1
2019,13181,"cap.27.1-2",NA,200000,NA,NA,1
2019,13266,"cap.27.2a514",NA,150000,NA,NA,1
