"Year","low_SSB","SSB","high_SSB","low_F","F","high_F","Fage","fishstock","SpeciesName","StockDescription"
1972,NA,2727000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1973,NA,1350000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1974,NA,907000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1975,NA,2916000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1976,NA,3200000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1977,NA,2676000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1978,NA,1402000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1979,NA,1227000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1980,NA,3913000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1981,NA,1551000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1982,NA,1591000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1983,NA,1329000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1984,NA,1208000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1985,NA,285000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1986,NA,65000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1987,NA,17000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1988,NA,2e+05,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1989,NA,175000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1990,NA,2617000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1991,NA,2248000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1992,NA,2228000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1993,NA,330000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1994,NA,94000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1995,NA,118000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1996,NA,248000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1997,NA,312000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1998,NA,932000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1999,NA,1718000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2000,NA,2098000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2001,NA,2019000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
