Year,Species,SSB,Bmsy,SSB.Bmsy,Blim,Spp_year
1946,Cod,990934,46e4,2.154204347826087,22e4,Cod_1946
1947,Cod,1021533,46e4,2.220723913043478,22e4,Cod_1947
1948,Cod,837191,46e4,1.8199804347826087,22e4,Cod_1948
1949,Cod,624679,46e4,1.3579978260869565,22e4,Cod_1949
1950,Cod,561960,46e4,1.2216521739130435,22e4,Cod_1950
1951,Cod,511174,46e4,1.1112478260869565,22e4,Cod_1951
1952,Cod,499388,46e4,1.0856260869565217,22e4,Cod_1952
1953,Cod,396109,46e4,0.8611065217391304,22e4,Cod_1953
1954,Cod,409613,46e4,0.8904630434782609,22e4,Cod_1954
1955,Cod,331349,46e4,0.7203239130434783,22e4,Cod_1955
1956,Cod,284131,46e4,0.6176760869565218,22e4,Cod_1956
1957,Cod,206845,46e4,0.44966304347826086,22e4,Cod_1957
1958,Cod,204290,46e4,0.4441086956521739,22e4,Cod_1958
1959,Cod,443045,46e4,0.9631413043478261,22e4,Cod_1959
1960,Cod,403077,46e4,0.8762543478260869,22e4,Cod_1960
1961,Cod,406118,46e4,0.8828652173913043,22e4,Cod_1961
1962,Cod,320257,46e4,0.6962108695652174,22e4,Cod_1962
1963,Cod,214454,46e4,0.46620434782608694,22e4,Cod_1963
1964,Cod,192056,46e4,0.41751304347826085,22e4,Cod_1964
1965,Cod,106520,46e4,0.23156521739130434,22e4,Cod_1965
1966,Cod,121926,46e4,0.2650565217391304,22e4,Cod_1966
1967,Cod,133552,46e4,0.29033043478260867,22e4,Cod_1967
1968,Cod,228959,46e4,0.4977369565217391,22e4,Cod_1968
1969,Cod,151324,46e4,0.32896521739130435,22e4,Cod_1969
1970,Cod,230581,46e4,0.5012630434782609,22e4,Cod_1970
1971,Cod,319255,46e4,0.6940326086956522,22e4,Cod_1971
1972,Cod,365225,46e4,0.7939673913043478,22e4,Cod_1972
1973,Cod,324190,46e4,0.7047608695652174,22e4,Cod_1973
1974,Cod,159560,46e4,0.3468695652173913,22e4,Cod_1974
1975,Cod,130571,46e4,0.28385,22e4,Cod_1975
1976,Cod,167868,46e4,0.36493043478260867,22e4,Cod_1976
1977,Cod,352496,46e4,0.766295652173913,22e4,Cod_1977
1978,Cod,234828,46e4,0.510495652173913,22e4,Cod_1978
1979,Cod,165061,46e4,0.3588282608695652,22e4,Cod_1979
1980,Cod,102562,46e4,0.22296086956521738,22e4,Cod_1980
1981,Cod,151682,46e4,0.3297434782608696,22e4,Cod_1981
1982,Cod,310647,46e4,0.6753195652173913,22e4,Cod_1982
1983,Cod,281459,46e4,0.6118673913043479,22e4,Cod_1983
1984,Cod,227821,46e4,0.4952630434782609,22e4,Cod_1984
1985,Cod,187561,46e4,0.4077413043478261,22e4,Cod_1985
1986,Cod,162029,46e4,0.35223695652173914,22e4,Cod_1986
1987,Cod,110512,46e4,0.24024347826086956,22e4,Cod_1987
1988,Cod,179777,46e4,0.3908195652173913,22e4,Cod_1988
1989,Cod,234911,46e4,0.5106760869565218,22e4,Cod_1989
1990,Cod,332002,46e4,0.7217434782608696,22e4,Cod_1990
1991,Cod,707466,46e4,1.5379695652173913,22e4,Cod_1991
1992,Cod,909866,46e4,1.9779695652173912,22e4,Cod_1992
1993,Cod,776726,46e4,1.6885347826086956,22e4,Cod_1993
1994,Cod,592309,46e4,1.2876282608695653,22e4,Cod_1994
1995,Cod,524227,46e4,1.1396239130434782,22e4,Cod_1995
1996,Cod,547314,46e4,1.1898130434782608,22e4,Cod_1996
1997,Cod,544511,46e4,1.1837195652173913,22e4,Cod_1997
1998,Cod,378861,46e4,0.8236108695652173,22e4,Cod_1998
1999,Cod,283778,46e4,0.6169086956521739,22e4,Cod_1999
2e3,Cod,239618,46e4,0.5209086956521739,22e4,Cod_2000
2001,Cod,364366,46e4,0.7921,22e4,Cod_2001
2002,Cod,506600,46e4,1.1013043478260869,22e4,Cod_2002
2003,Cod,596195,46e4,1.2960760869565218,22e4,Cod_2003
2004,Cod,710679,46e4,1.544954347826087,22e4,Cod_2004
2005,Cod,617366,46e4,1.3421,22e4,Cod_2005
2006,Cod,604725,46e4,1.3146195652173913,22e4,Cod_2006
2007,Cod,656899,46e4,1.4280413043478262,22e4,Cod_2007
2008,Cod,694325,46e4,1.5094021739130434,22e4,Cod_2008
2009,Cod,1106913,46e4,2.406332608695652,22e4,Cod_2009
2010,Cod,1406781,46e4,3.0582195652173914,22e4,Cod_2010
2011,Cod,2023705,46e4,4.3993586956521735,22e4,Cod_2011
2012,Cod,2350356,46e4,5.109469565217391,22e4,Cod_2012
2013,Cod,2662341,46e4,5.787697826086957,22e4,Cod_2013
2014,Cod,2522612,46e4,5.483939130434782,22e4,Cod_2014
2015,Cod,2085035,46e4,4.532684782608696,22e4,Cod_2015
2016,Cod,1713359,46e4,3.7246934782608694,22e4,Cod_2016
2017,Cod,1809027,46e4,3.932667391304348,22e4,Cod_2017
1946,Haddock,NA,8e4,NA,5e4,Haddock_1946
1947,Haddock,NA,8e4,NA,5e4,Haddock_1947
1948,Haddock,NA,8e4,NA,5e4,Haddock_1948
1949,Haddock,NA,8e4,NA,5e4,Haddock_1949
1950,Haddock,210539,8e4,2.6317375,5e4,Haddock_1950
1951,Haddock,127152,8e4,1.5894,5e4,Haddock_1951
1952,Haddock,102280,8e4,1.2785,5e4,Haddock_1952
1953,Haddock,120582,8e4,1.507275,5e4,Haddock_1953
1954,Haddock,170038,8e4,2.125475,5e4,Haddock_1954
1955,Haddock,272508,8e4,3.40635,5e4,Haddock_1955
1956,Haddock,331373,8e4,4.1421625,5e4,Haddock_1956
1957,Haddock,257398,8e4,3.217475,5e4,Haddock_1957
1958,Haddock,187283,8e4,2.3410375,5e4,Haddock_1958
1959,Haddock,130642,8e4,1.633025,5e4,Haddock_1959
1960,Haddock,117193,8e4,1.4649125,5e4,Haddock_1960
1961,Haddock,125582,8e4,1.569775,5e4,Haddock_1961
1962,Haddock,123670,8e4,1.545875,5e4,Haddock_1962
1963,Haddock,96983,8e4,1.2122875,5e4,Haddock_1963
1964,Haddock,86831,8e4,1.0853875,5e4,Haddock_1964
1965,Haddock,100790,8e4,1.259875,5e4,Haddock_1965
1966,Haddock,134567,8e4,1.6820875,5e4,Haddock_1966
1967,Haddock,145893,8e4,1.8236625,5e4,Haddock_1967
1968,Haddock,160772,8e4,2.00965,5e4,Haddock_1968
1969,Haddock,161810,8e4,2.022625,5e4,Haddock_1969
1970,Haddock,150330,8e4,1.879125,5e4,Haddock_1970
1971,Haddock,123055,8e4,1.5381875,5e4,Haddock_1971
1972,Haddock,122910,8e4,1.536375,5e4,Haddock_1972
1973,Haddock,125928,8e4,1.5741,5e4,Haddock_1973
1974,Haddock,166914,8e4,2.086425,5e4,Haddock_1974
1975,Haddock,190776,8e4,2.3847,5e4,Haddock_1975
1976,Haddock,183562,8e4,2.294525,5e4,Haddock_1976
1977,Haddock,116637,8e4,1.4579625,5e4,Haddock_1977
1978,Haddock,78675,8e4,0.9834375,5e4,Haddock_1978
1979,Haddock,62050,8e4,0.775625,5e4,Haddock_1979
1980,Haddock,62437,8e4,0.7804625,5e4,Haddock_1980
1981,Haddock,71685,8e4,0.8960625,5e4,Haddock_1981
1982,Haddock,68229,8e4,0.8528625,5e4,Haddock_1982
1983,Haddock,59224,8e4,0.7403,5e4,Haddock_1983
1984,Haddock,53067,8e4,0.6633375,5e4,Haddock_1984
1985,Haddock,49806,8e4,0.622575,5e4,Haddock_1985
1986,Haddock,54063,8e4,0.6757875,5e4,Haddock_1986
1987,Haddock,71490,8e4,0.893625,5e4,Haddock_1987
1988,Haddock,76824,8e4,0.9603,5e4,Haddock_1988
