Year,Municip_number,Municip_name_new,fish_score,runmean
1994,1804,Bodo,98.1846507585739,NA
1995,1804,Bodo,98.03929026479453,NA
1996,1804,Bodo,98.81513147080415,98.74920518032883
1997,1804,Bodo,99.48287946754012,98.79800736677998
1998,1804,Bodo,99.22407393993147,98.8857538302565
1999,1804,Bodo,98.42866169082967,98.86402769313206
2000,1804,Bodo,98.47802258217715,98.79928266487106
2001,1804,Bodo,98.70650078518194,98.80862855818079
2002,1804,Bodo,99.15915432623507,98.87243855939712
2003,1804,Bodo,99.27080340648008,98.94521623985273
2004,1804,Bodo,98.7477116969114,98.97837436680524
2005,1804,Bodo,98.84191098445513,98.6671015942485
2006,1804,Bodo,98.87229141994453,98.50835080355634
2007,1804,Bodo,97.60279046345138,98.5872102146146
2008,1804,Bodo,98.47704945301933,98.12841316771816
2009,1804,Bodo,99.14200875220266,98.03129554176246
2010,1804,Bodo,96.54792574997292,97.4793250379353
2011,1804,Bodo,98.38670329016604,85.29774784247454
2012,1804,Bodo,94.84293794431551,66.30905314323829
2013,1804,Bodo,37.56916347571554,52.07078948384752
2014,1804,Bodo,4.198535256021461,33.66645218399659
2015,1804,Bodo,25.35660745301908,32.413906691605256
2016,1804,Bodo,6.365016790911379,NA
2017,1804,Bodo,88.58021048235885,NA
1994,1805,Narvik,99.88228688804003,NA
1995,1805,Narvik,53.6897962069085,NA
1996,1805,Narvik,99.90876370936384,90.46732588013779
1997,1805,Narvik,98.97939394777194,70.6191389711314
1998,1805,Narvik,99.87638864860466,60.33761212390395
1999,1805,Narvik,0.641352343008133,40.89661537163059
2005,1805,Narvik,2.2821619707712064,21.602394497822797
2006,1805,Narvik,2.7037799479970146,2.0625182494178986
2007,1805,Narvik,2.5082895787330024,2.139895685319969
2008,1805,Narvik,2.1770074065801626,1.9030104541741892
2009,1805,Narvik,1.0282395225184842,1.5349256997641572
2010,1805,Narvik,1.0977358150423087,1.2950093455335545
2011,1805,Narvik,0.8633561759468538,0.9658951161381608
2012,1805,Narvik,1.3087078075799898,0.7713460440457459
2013,1805,Narvik,0.5314362596031935,0.6942989426692169
2014,1805,Narvik,0.05549416205640989,NA
2015,1805,Narvik,0.7125003081596631,NA
1994,1811,Bindal,6.434223032572,NA
1995,1811,Bindal,10.754000061689009,NA
1996,1811,Bindal,6.177020164425953,6.8019323203455855
1997,1811,Bindal,6.004969751640077,6.022660176090729
1998,1811,Bindal,4.639448591400885,4.005620997749569
1999,1811,Bindal,2.537862311297714,3.7384793652349453
2000,1811,Bindal,0.6688041699832132,2.5604015908913214
2001,1811,Bindal,4.841312001852833,3.789854354232876
2003,1811,Bindal,0.1145808799219586,6.07912248246757
2005,1811,Bindal,10.786712408108658,10.093973771458483
2006,1811,Bindal,13.984202952471184,14.860180100920587
2007,1811,Bindal,20.743060614937775,18.83440027157804
2008,1811,Bindal,28.672343649163366,22.31225704909424
2009,1811,Bindal,19.98568173320923,24.49155694970731
2010,1811,Bindal,28.175996295689636,23.70671411628388
2011,1811,Bindal,24.88070245553654,20.225067963499605
2012,1811,Bindal,16.818846447820622,19.87919999407541
2013,1811,Bindal,11.264112885241989,16.652563459755335
2014,1811,Bindal,18.256341886088258,14.872289995789174
2015,1811,Bindal,12.042813624089256,13.759032280986059
2016,1811,Bindal,15.979335135705751,NA
2017,1811,Bindal,11.252557873805042,NA
1994,1812,Somna,0.3932197711353483,NA
1995,1812,Somna,0.043823547251056666,NA
1996,1812,Somna,0.1365061403309905,0.14412080119909282
1997,1812,Somna,0.14079118586643213,0.10581638099154507
1998,1812,Somna,0.0062633614116365775,0.10635364417535578
2005,1812,Somna,0.20169767009760947,0.08301133531328507
2006,1812,Somna,0.046509863170110174,0.07667456557685703
2007,1812,Somna,0.01979459602063704,0.07797909650978656
2009,1812,Somna,0.10910733718429194,0.04454401117145815
2010,1812,Somna,0.012786016076284216,0.03772615682079764
2011,1812,Somna,0.03452224340596737,0.0439960504776976
2012,1812,Somna,0.012420591416807635,0.029446120277061515
2014,1812,Somna,0.05114406430513686,NA
2015,1812,Somna,0.03635768618111148,NA
1994,1813,Bronnoy,92.57920991145653,NA
1995,1813,Bronnoy,49.289577132235515,NA
1996,1813,Bronnoy,25.46176595847221,36.47750638293267
1997,1813,Bronnoy,9.078326794050547,19.08129752376741
1998,1813,Bronnoy,5.978652118448536,9.956550565601221
1999,1813,Bronnoy,5.59816561563027,7.7877190019634925
2000,1813,Bronnoy,3.665842341404555,9.238245005346938
2001,1813,Bronnoy,14.61760814028357,10.564626661239132
2002,1813,Bronnoy,16.330956810967773,14.82252026907872
2003,1813,Bronnoy,12.610560397909506,18.525145870712414
2004,1813,Bronnoy,26.887633654828203,21.3042474424941
2005,1813,Bronnoy,22.17897034957303,25.72748380917153
2006,1813,Bronnoy,28.513115999191996,32.01578216533463
2007,1813,Bronnoy,38.44713864435494,34.43303936015276
2008,1813,Bronnoy,44.05205217872498,37.934924414337786
2009,1813,Bronnoy,38.97391962891889,41.871688054553765
2010,1813,Bronnoy,39.688395620498135,42.05234064787997
2011,1813,Bronnoy,48.19693420027189,33.98473548490209
2012,1813,Bronnoy,39.35040161098599,31.83443767608325
2013,1813,Bronnoy,3.7140263638355306,28.299516439596108
2014,1813,Bronnoy,28.222430584824718,25.328503305178476
2015,1813,Bronnoy,22.01378943806242,21.71147498672366
2016,1813,Bronnoy,33.341868528183724,NA
2017,1813,Bronnoy,21.265260018711917,NA
1994,1815,Vega,29.033842312649394,NA
1995,1815,Vega,30.461870382997397,NA
1996,1815,Vega,3.3920020351253775,18.537719382786577
1997,1815,Vega,17.75695713655752,13.797557552293634
1998,1815,Vega,12.043925046603192,7.7526627700334725
1999,1815,Vega,5.333033160184683,8.781564692427061
2003,1815,Vega,0.23739647169659076,6.392344022830491
2004,1815,Vega,8.536511647093315,17.162082284744482
2005,1815,Vega,5.81085378857467,17.399838863057
2006,1815,Vega,65.89261635617315,18.731236743985892
2007,1815,Vega,6.521816051747271,17.02499162634948
2008,1815,Vega,6.894385876341042,17.388172386175363
2009,1815,Vega,0.005286058911259492,4.212428713507473
2011,1815,Vega,7.6267575877040805,4.167104891195904
2012,1815,Vega,0.013897992833711835,3.8823718135398386
2013,1815,Vega,6.295196940189429,5.352343705968886
2014,1815,Vega,5.470720488060715,5.249159913708766
2015,1815,Vega,7.3551455210565,6.35477489920335
2016,1815,Vega,7.110838626403476,NA
2017,1815,Vega,5.54197292030663,NA
1994,1816,Vevelstad,2.240565475179875,NA
1995,1816,Vevelstad,0.35742304719481005,NA
1996,1816,Vevelstad,0.10954248905673072,0.6074998985959851
1997,1816,Vevelstad,0.26034274648973044,0.16778246763808075
1998,1816,Vevelstad,0.06962573505877892,18.603184099171408
1999,1816,Vevelstad,0.04197832039035366,29.742066291787143
