"","Year","Municip_number","Municip_name_new","Species","Spp_year","SSB","Bmsy","SSB.Bmsy","Blim","Seaarea","Total_catch_new","Blim.Bmsy","stock_score"
"1",1994,1804,"Bodo","Cod","Cod_1994",592309,460000,1.28762826086957,220000,3431.45,2300.3034,0.478260869565217,1
"2",1994,1804,"Bodo","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,3431.45,270613.075,0.785175879396985,1
"3",1994,1804,"Bodo","Haddock","Haddock_1994",163487,80000,2.0435875,50000,3431.45,320.8962,0.625,1
"4",1994,1804,"Bodo","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,3431.45,332.2702,0.618181818181818,0.0816691176470588
"5",1994,1805,"Narvik","Cod","Cod_1994",592309,460000,1.28762826086957,220000,200.61,30.033,0.478260869565217,1
"6",1994,1805,"Narvik","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,200.61,32549.7,0.785175879396985,1
"7",1994,1805,"Narvik","Haddock","Haddock_1994",163487,80000,2.0435875,50000,200.61,1.4322,0.625,1
"8",1994,1805,"Narvik","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,200.61,8.1738,0.618181818181818,0.0816691176470588
"9",1994,1811,"Bindal","Cod","Cod_1994",592309,460000,1.28762826086957,220000,641.29,184.3026,0.478260869565217,1
"10",1994,1811,"Bindal","Haddock","Haddock_1994",163487,80000,2.0435875,50000,641.29,10.71,0.625,1
"11",1994,1811,"Bindal","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,641.29,38.4874,0.618181818181818,0.0816691176470588
"12",1994,1812,"Somna","Cod","Cod_1994",592309,460000,1.28762826086957,220000,594.84,8.595,0.478260869565217,1
"13",1994,1812,"Somna","Haddock","Haddock_1994",163487,80000,2.0435875,50000,594.84,0.084,0.625,1
"14",1994,1812,"Somna","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,594.84,0.219,0.618181818181818,0.0816691176470588
"15",1994,1813,"Bronnoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1052.81,7149.9804,0.478260869565217,1
"16",1994,1813,"Bronnoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1052.81,266.301,0.625,1
