Year,Municip_number,Municip_name_new,fish_score
1994,1804,Bodo,99.88846078157376
1994,1805,Narvik,99.97696715184628
1994,1811,Bindal,84.8633113484066
1994,1812,Somna,97.73977901511243
1994,1813,Bronnoy,96.0892022532472
1994,1815,Vega,91.77158598719059
1994,1816,Vevelstad,95.83857885188498
1994,1818,Heroy,92.2730054792843
1994,1820,Alstahaug,97.22318649572213
1994,1822,Leirfjord,87.1547132419805
1994,1824,Vefsn,80.42223795855415
1994,1827,Donna,91.88261382285407
1994,1828,Nesna,89.037987229538345
1994,1832,Hemnes,96.68363397576441
1994,1833,Rana,72.16986160969242
1994,1834,Luroy,92.44401605762211
1994,1835,Traena,94.72754598635201
1994,1836,Rodoy,93.37420791560828
1994,1837,Meloy,94.46930137020026
1994,1838,Gildeskal,84.9228169925185
1994,1840,Saltdal,98.825558865229425
1994,1841,Fauske,69.7501641453004
1994,1842,Bodo,89.66862684881394
1994,1845,Sorfold,84.33386077965508
1994,1848,Steigen,96.3712965816341
1994,1849,Hamaroy,100
1994,1850,Tysfjord,98.8709782079688
1994,1851,Lodingen,96.62968176580661
1994,1852,Tjeldsund,100
1994,1853,Evenes,99.99792394529119
1994,1854,Ballangen,99.99967827765002
1994,1856,Rost,96.65076473005382
1994,1857,Vaeroy,97.30480942453767
1994,1859,Flakstad,97.88684219334556
1994,1860,Vestvagoy,97.81265111491034
1994,1865,Vagan,98.88368471805265
1994,1866,Hadsel,90.03451352824604
1994,1867,Bo,89.60838621856288
1994,1868,Oksnes,94.34557483232557
1994,1870,Sortland,99.93534956710496
1994,1871,Andoy,94.74445275716933
1994,1874,Moskenes,95.90563600298046
1994,1901,Harstad,83.35013527563478
1994,1902,Tromso,86.36379432482423
1994,1911,Kvaefjord,95.69487523706633
1994,1913,Skanland,100
1994,1915,Harstad,78.04120849204597
1994,1917,Ibestad,100
1994,1919,Gratangen,87.4888073592372
1994,1920,Lavangen,8.166911764705878
1994,1924,Malselv,100
1994,1926,Dyroy,92.84874135493489
1994,1927,Tranoy,95.90978570776866
1994,1928,Torsken,95.40239587369376
1994,1929,Berg,97.21473184682729
1994,1931,Lenvik,94.79798437146714
1994,1933,Balsfjord,100
1994,1936,Karlsoy,98.63079630356137
1994,1938,Lyngen,91.01496250642751
1994,1939,Storfjord,100
1994,1940,Kafjord,89.07717702755872
1994,1941,Skjervoy,96.0886841071006
1994,1942,Nordreisa,96.05059659160479
1994,1943,Kvaenangen,87.90694346327166
1994,2002,Vardo,99.13230881437445
1994,2003,Vadso,73.11571199165924
1994,2004,Hammerfest,92.87003531147265
1994,2012,Alta,99.67657733707648
1994,2014,Loppa,97.17554941162244
1994,2015,Hasvik,90.65080494821568
1994,2017,Kvalsund,98.34746102808738
1994,2018,Masoy,96.61760255912247
1994,2019,Nordkapp,96.03644721071862
1994,2020,Porsanger,99.74723141170449
1994,2022,Lebesby,97.77600489029624
1994,2023,Gamvik,99.28044902663866
1994,2024,Berlevag,95.7897021389565
1994,2025,Tana,55.33791236460901
1994,2027,Nesseby,100
1994,2028,Batsfjord,96.83726826172986
1994,2030,Sor-Varanger,99.49068506808253
1995,1804,Bodo,99.90422046780922
1995,1805,Narvik,98.92318461004331
1995,1811,Bindal,94.97365819798472
1995,1812,Somna,96.61211634599042
1995,1813,Bronnoy,93.15902518976165
1995,1815,Vega,93.98898526419373
1995,1816,Vevelstad,98.17626278772377
1995,1818,Heroy,91.23812012126244
