Yrs;Knr2017;Kname;County;Totalarea;Landarea;Seaarea;TroutProd(kg);SalmoProd(kg);AvgBMTrout(kg);AvgBMSalmo(kg);DbmTrout(kg);DbmSalmo(kg);FeedUsed(kg);Total Production;eFCR;MealIndex;OilIndex;FFDRmeal;FFDRoil ;Forage fish used in feed (oil);LandIndex;LandAreaUse in feed;PlantIndex;Plant (soy and rapeseed) used in feed;Protein retention ratio;SustFoodProd;SustFoodProdIndex;Diss nitrogen;Part. nitrogen;Diss phosphorus;Part phosphorus;Diss nitrogen;Part. nitrogen;Diss phosphorus;Part phosphorus
1994;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;407784;0;200967;0;-24654;425852;383130;1.111507843;1.106169678;3.577588491;1.229516273;3.976517668;1523.523214;1.761663003;0.750207713;0.504875;215.0020285;0.336378393;128.8766538;0.037557491;14.09285714;22.73571429;2.321428571;3.742857143;1.573502851;2.538499531;0.259193323;0.417899389
2006;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;1171124;0;813016;0;340199;1739372;1511323;1.150893621;1.048236946;3.273434059;1.206409215;3.767374377;5693.719545;1.842876583;3.205447928;0.52815;918.6493218;0.324866882;490.9787911;0.143082018;12.82857143;22.65714286;2.114285714;3.728571429;5.650123142;9.978948;0.931200696;1.642185011
2007;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;907738;0;958822;0;-1203269;1615891;-295531;0;0.990304215;2.969279626;0;0;4798.032224;1.961993249;3.170367233;0.563390625;910.3778404;0;0;0;11.56428571;22.57857143;1.907142857;3.714285714;-0.99596524;-1.944562151;-0.164251216;-0.319890009
2008;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;0;0;25966;0;0;59185;0;0;0.932371484;2.665125193;0;0;157.7354345;2.114548573;0.125149557;0.6091875;36.05476219;0;0;0;10.3;22.5;1.7;3.7;0;0;0;0
2009;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;0;93265;84906;0;757502;344639;757502;0.454967776;0.874438753;2.36097076;0.397841454;1.074165615;813.6826018;2.267103897;0.78133242;0.654984375;225.73316;0.821788361;622.5063267;0.181412035;12.24;23;1.96;3.76;2.702013574;5.077313089;0.432675376;0.830030314
2010;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;604949;0;994708;0;1251181;2374241;1856130;1.279135082;0.816506022;2.056816327;1.044421497;2.630945922;4883.377654;2.419659221;5.744854127;0.70078125;1663.823576;0.292296903;542.5410498;0.158108394;14.18;23.5;2.22;3.82;7.670204549;12.71155197;1.200835973;2.066303341
2011;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;1666657;0;828221;0;-1911281;772045;-244624;0;0.691270989;1.748833963;0;0;1350.178517;2.673479922;2.064046806;0.77984375;602.074468;0;0;0;16.12;24;2.48;3.88;-1.149175678;-1.71093153;-0.176796258;-0.276600597
2012;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;0;0;264673;0;1024401;817942;1024401;0.798458807;0.566035955;1.440851599;0.451956393;1.150460648;1178.533039;2.927300623;2.394362126;0.85890625;702.5354959;0.468261129;479.6871691;0.139791391;18.06;24.5;2.74;3.94;5.391505649;7.314058051;0.81798037;1.176219948
2013;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;1145302;0;1603093;0;2308104;3997971;3453406;1.157689249;0.568884788;1.296435192;0.658591804;1.500869084;5183.1103;2.998573074;11.98820819;0.88140625;3523.836627;0.322959916;1115.311711;0.325026362;20;25;3;4;20.12796923;25.15996153;3.019195384;4.025593845
2014;1804;Bodo;Nordland;4826.7;1395.25;3431.45;0;2661836;0;703720;0;-727955;1517740;1933881;0.784815612;0.568884788;1.296435192;0.446469663;1.017462578;1967.651548;3.069845525;4.659227347;0.90390625;1371.894672;0.476401357;921.3035328;0.268488112;20;25;3;4;11.27150913;14.08938641;1.690726369;2.254301826
2015;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;1804;Bodo;Nordland;4826.7;1395.25;3431.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;0;0;0;0;0;0;1.106169678;3.577588491;0;0;0;1.761663003;0;0.504875;0;0;0;0;14.09285714;22.73571429;2.321428571;3.742857143;0;0;0;0
2006;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;0;0;0;0;0;0;1.048236946;3.273434059;0;0;0;1.842876583;0;0.52815;0;0;0;0;12.82857143;22.65714286;2.114285714;3.728571429;0;0;0;0
2007;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;0;0;0;0;0;0;0.990304215;2.969279626;0;0;0;1.961993249;0;0.563390625;0;0;0;0;11.56428571;22.57857143;1.907142857;3.714285714;0;0;0;0
2008;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;0;0;0;0;0;0;0.932371484;2.665125193;0;0;0;2.114548573;0;0.6091875;0;0;0;0;10.3;22.5;1.7;3.7;0;0;0;0
2009;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;0;0;0;0;0;0;0.874438753;2.36097076;0;0;0;2.267103897;0;0.654984375;0;0;0;0;12.24;23;1.96;3.76;0;0;0;0
2010;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;0;0;0;0;0;0;0.816506022;2.056816327;0;0;0;2.419659221;0;0.70078125;0;0;0;0;14.18;23.5;2.22;3.82;0;0;0;0
2011;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;152027;0;716692;312503;716692;0.436035284;0.691270989;1.748833963;0.301418542;0.762553314;546.51586;2.673479922;0.835470496;0.77984375;243.7035114;0.857470108;614.5419669;3.063366566;16.12;24;2.48;3.88;57.58972653;85.74152834;8.859957928;13.86154708
2012;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;2877215;0;1664471;0;756700;4598218;3633915;1.265362013;0.566035955;1.440851599;0.716240396;1.82319888;6625.349759;2.927300623;13.46036642;0.85890625;3949.438179;0.295478463;1073.743618;5.352393291;18.06;24.5;2.74;3.94;327.1447331;443.8009945;49.63325408;71.37044564
2013;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;1903281;0;312853;0;-1351278;379804;552003;0.688046985;0.568884788;1.296435192;0.391419464;0.892008325;492.3912716;2.998573074;1.138870048;0.88140625;334.7616194;0.54340362;299.9604284;1.495241655;20;25;3;4;55.03245102;68.79056378;8.254867654;11.0064902
2014;1805;Narvik;Nordland;2223.59;2022.98;200.61;0;0;0;587272;0;1982272;1887047;1982272;0.951961688;0.568884788;1.296435192;0.541556524;1.234156634;2446.434139;3.069845525;5.792942788;0.90390625;1705.713577;0.392754485;778.5462181;3.880894363;20;25;3;4;197.6244454;247.0305568;29.64366682;39.52488909
2015;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;1805;Narvik;Nordland;2223.59;2022.98;200.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;1811;Bindal;Nordland;1905.54;1264.25;641.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;1811;Bindal;Nordland;1905.54;1264.25;641.29;0;2331758;0;1657623;0;-487116;3554451;1844642;1.9269056;1.106169678;3.577588491;2.131484546;6.893675299;12716.36299;1.761663003;6.261744822;0.504875;1794.553449;0.194035049;357.9252008;0.558133139;14.09285714;22.73571429;2.321428571;3.742857143;40.5374732;65.39826517;6.677485448;10.76616115
2006;1811;Bindal;Nordland;1905.54;1264.25;641.29;0;3654817;0;1636298;0;1414513;4124646;5069330;0.813647168;1.048236946;3.273434059;0.852895023;2.663420353;13501.7567;1.842876583;7.601213528;0.52815;2178.431785;0.459520093;2329.458993;3.632458004;12.82857143;22.65714286;2.114285714;3.728571429;101.4085079;179.1023312;16.71320619;29.47396498
2007;1811;Bindal;Nordland;1905.54;1264.25;641.29;0;3863579;0;2135960;0;232986;4797859;4096565;1.171190742;0.990304215;2.969279626;1.159835128;3.477592807;14246.18498;1.961993249;9.413366967;0.563390625;2703.068781;0.319236832;1307.774434;2.039287116;11.56428571;22.57857143;1.907142857;3.714285714;73.87273793;144.232072;12.18284189;23.72688309
2008;1811;Bindal;Nordland;1905.54;1264.25;641.29;0;5387505;0;2445713;0;379113;5964456;5766618;1.034307457;0.932371484;2.665125193;0.964358779;2.756558861;15896.02195;2.114548573;12.61213192;0.6091875;3633.47204;0.361485572;2084.549205;3.25055623;10.3;22.5;1.7;3.7;92.61982161;202.324853;15.28676667;33.27119805
2009;1811;Bindal;Nordland;1905.54;1264.25;641.29;0;3921657;0;2446422;0;504320;6486560;4425977;1.465565682;0.874438753;2.36097076;1.281547427;3.460157722;15314.57849;2.267103897;14.70570545;0.654984375;4248.595448;0.255114613;1129.131412;1.760718882;12.24;23;1.96;3.76;84.4765371;158.738591;13.52728862;25.95030878
