"","Kname","Yrs","Knr2017","Protein.retention.ratio","SustFoodProd"
"12","Bodo",2005,1804,0.336378393,128.8766538
"13","Bodo",2006,1804,0.324866882,490.9787911
"14","Bodo",2007,1804,0,0
"15","Bodo",2008,1804,0,0
"16","Bodo",2009,1804,0.821788361,622.5063267
"17","Bodo",2010,1804,0.292296903,542.5410498
"18","Bodo",2011,1804,0,0
"19","Bodo",2012,1804,0.468261129,479.6871691
"20","Bodo",2013,1804,0.322959916,1115.311711
"21","Bodo",2014,1804,0.476401357,921.3035328
"35","Narvik",2005,1805,0,0
"36","Narvik",2006,1805,0,0
"37","Narvik",2007,1805,0,0
"38","Narvik",2008,1805,0,0
"39","Narvik",2009,1805,0,0
"40","Narvik",2010,1805,0,0
"41","Narvik",2011,1805,0.857470108,614.5419669
"42","Narvik",2012,1805,0.295478463,1073.743618
"43","Narvik",2013,1805,0.54340362,299.9604284
"44","Narvik",2014,1805,0.392754485,778.5462181
"58","Bindal",2005,1811,0.194035049,357.9252008
"59","Bindal",2006,1811,0.459520093,2329.458993
"60","Bindal",2007,1811,0.319236832,1307.774434
"61","Bindal",2008,1811,0.361485572,2084.549205
"62","Bindal",2009,1811,0.255114613,1129.131412
"63","Bindal",2010,1811,0.225014747,1292.758548
"64","Bindal",2011,1811,0.214229147,968.587601
"65","Bindal",2012,1811,0.313717638,2258.313044
"66","Bindal",2013,1811,0.281889621,1359.462029
"67","Bindal",2014,1811,0.23402967,1210.814748
"81","Somna",2005,1812,0.308710789,1350.554135
"82","Somna",2006,1812,0.358185259,1404.771067
"83","Somna",2007,1812,0.273755785,684.5608334
"84","Somna",2008,1812,0.326276107,1695.311073
"85","Somna",2009,1812,0.320185046,2834.199899
"86","Somna",2010,1812,0.380395771,2096.430704
"87","Somna",2011,1812,0.106405862,31.01688316
"88","Somna",2012,1812,0.473351989,312.0364712
"89","Somna",2013,1812,0.307786253,1803.441539
"90","Somna",2014,1812,0.136091798,134.1827023
"104","Bronnoy",2005,1813,0.332301481,1450.203207
"105","Bronnoy",2006,1813,0.462730266,2035.972449
"106","Bronnoy",2007,1813,0.327191398,1530.55817
"107","Bronnoy",2008,1813,0.264427354,1122.209593
"108","Bronnoy",2009,1813,0.291764374,1646.230587
"109","Bronnoy",2010,1813,0.206400271,832.1553265
"110","Bronnoy",2011,1813,0.328819335,3590.353983
"111","Bronnoy",2012,1813,0.221429541,1236.268361
"112","Bronnoy",2013,1813,0.296152041,3391.844428
"113","Bronnoy",2014,1813,0.267956809,1423.40345
"127","Vega",2005,1815,0.40601675,314.2809196
"128","Vega",2006,1815,0.305454197,499.9665136
"129","Vega",2007,1815,0.459538474,665.9121484
"130","Vega",2008,1815,0.287903592,1033.093095
"131","Vega",2009,1815,0.465034273,493.9547541
"132","Vega",2010,1815,0.301022467,806.5671244
"133","Vega",2011,1815,0.448283833,780.0161107
"134","Vega",2012,1815,0.304761452,1554.987102
"135","Vega",2013,1815,0.481926286,2093.555738
"136","Vega",2014,1815,0.289102984,1817.053305
"150","Vevelstad",2005,1816,0.251564083,281.2388336
"151","Vevelstad",2006,1816,0.342817291,1639.771207
"152","Vevelstad",2007,1816,0.286097122,1489.600714
"153","Vevelstad",2008,1816,0.335975121,1608.388498
"154","Vevelstad",2009,1816,0.281099122,1327.79925
"155","Vevelstad",2010,1816,0.368954411,1459.623495
"156","Vevelstad",2011,1816,0.300221271,1947.302414
"157","Vevelstad",2012,1816,0.290522521,880.9313954
"158","Vevelstad",2013,1816,0.31981377,2161.982982
"159","Vevelstad",2014,1816,0.272836148,1112.902741
"173","Heroy",2005,1818,0.46947881,1990.187812
"174","Heroy",2006,1818,0.29301904,1816.910559
"175","Heroy",2007,1818,0.367638178,1439.250895
"176","Heroy",2008,1818,0.318481978,1890.666353
"177","Heroy",2009,1818,0.356052916,1909.000855
"178","Heroy",2010,1818,0.1959729,676.1431513
"179","Heroy",2011,1818,0.375096819,2567.251524
"180","Heroy",2012,1818,0.213637586,1459.314553
"181","Heroy",2013,1818,0.319053197,2694.555482
"182","Heroy",2014,1818,0.317263055,3044.889026
"196","Alstahaug",2005,1820,0.29178917,1205.027703
"197","Alstahaug",2006,1820,0.437744003,1379.105041
"198","Alstahaug",2007,1820,0.3016036,1075.24036
"199","Alstahaug",2008,1820,0.345291761,2110.904928
"200","Alstahaug",2009,1820,0.247723152,1796.81777
"201","Alstahaug",2010,1820,0.427027871,3923.207113
"202","Alstahaug",2011,1820,0.321368905,2225.599539
"203","Alstahaug",2012,1820,0.537050338,6332.391685
"204","Alstahaug",2013,1820,0.341157098,2228.719957
"205","Alstahaug",2014,1820,0.341884764,2512.05335
"219","Leirfjord",2005,1822,0,0
"220","Leirfjord",2006,1822,0,0
"221","Leirfjord",2007,1822,0,0
"222","Leirfjord",2008,1822,0,0
"223","Leirfjord",2009,1822,0,0
"224","Leirfjord",2010,1822,0,0
"225","Leirfjord",2011,1822,0.44153586,162.1478632
"226","Leirfjord",2012,1822,0.349334314,435.2461013
"227","Leirfjord",2013,1822,0,0
"228","Leirfjord",2014,1822,0,0
"242","Vefsn",2005,1824,0.429946285,823.440865
"243","Vefsn",2006,1824,0.215099676,308.2567639
"244","Vefsn",2007,1824,0.325837087,433.8941137
"245","Vefsn",2008,1824,0.261527009,594.6242847
