"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr"
"1",1804,"Bodo",2012,0,0
"2",1804,"Bodo",2013,0,0
"3",1804,"Bodo",2014,0,0
"4",1804,"Bodo",2015,0,0
"5",1804,"Bodo",2016,0.0961538461538462,0.0336538461538462
"6",1804,"Bodo",2017,0.346153846153846,0.101602564102564
"7",1804,"Bodo",2018,0.192307692307692,0.0807692307692308
"8",1804,"Bodo",2019,0,0
"9",1805,"Narvik",2012,0,0
"10",1805,"Narvik",2013,0,0
"11",1805,"Narvik",2014,0,0
"12",1805,"Narvik",2015,0.0222222222222222,0.0222222222222222
"13",1805,"Narvik",2016,0,0
"14",1805,"Narvik",2018,0,0
"15",1805,"Narvik",2019,0,0
"16",1811,"Bindal",2012,0.146341463414634,0.109756097560976
"17",1811,"Bindal",2013,0.276595744680851,0.191489361702128
"18",1811,"Bindal",2014,0.0612244897959184,0.0306122448979592
"19",1811,"Bindal",2015,0.0377358490566038,0.0141509433962264
"20",1811,"Bindal",2016,0,0
"21",1811,"Bindal",2017,0.0961538461538462,0.0272435897435897
"22",1811,"Bindal",2018,0,0
"23",1811,"Bindal",2019,0,0
"24",1812,"Somna",2012,0,0
"25",1812,"Somna",2013,0.5,0.260869565217391
"26",1812,"Somna",2014,0.458333333333333,0.25
"27",1812,"Somna",2016,0,0
"28",1812,"Somna",2017,0,0
"29",1812,"Somna",2018,0,0
"30",1812,"Somna",2019,0,0
"31",1813,"Bronnoy",2012,0.346153846153846,0.116987179487179
"32",1813,"Bronnoy",2013,0.68,0.208333333333333
"33",1813,"Bronnoy",2014,0.365384615384615,0.123397435897436
"34",1813,"Bronnoy",2015,0.188679245283019,0.0628930817610063
"35",1813,"Bronnoy",2016,0.192307692307692,0.0689102564102564
"36",1813,"Bronnoy",2017,0.0769230769230769,0.0134615384615385
"37",1813,"Bronnoy",2018,0.230769230769231,0.0418956043956044
"38",1813,"Bronnoy",2019,0.230769230769231,0.0384615384615385
"39",1815,"Vega",2012,0.242424242424242,0.242424242424242
"40",1815,"Vega",2013,0.2,0.116666666666667
"41",1815,"Vega",2014,0.553191489361702,0.25886524822695
"42",1815,"Vega",2015,0,0
"43",1815,"Vega",2016,0.2,0.15
"44",1815,"Vega",2017,0,0
"45",1815,"Vega",2018,0.02,0.01
"46",1815,"Vega",2019,0,0
"47",1816,"Vevelstad",2012,0.0930232558139535,0.0348837209302326
"48",1816,"Vevelstad",2013,0.468085106382979,0.116666666666667
"49",1816,"Vevelstad",2014,0.901960784313726,0.298692810457516
"50",1816,"Vevelstad",2015,0.0188679245283019,0.00628930817610063
"51",1816,"Vevelstad",2016,0.105263157894737,0.087719298245614
"52",1816,"Vevelstad",2017,0,0
"53",1816,"Vevelstad",2018,0,0
"54",1816,"Vevelstad",2019,0,0
"55",1818,"Heroy",2012,0.627450980392157,0.128104575163399
"56",1818,"Heroy",2013,0.115384615384615,0.0259615384615385
"57",1818,"Heroy",2014,0.730769230769231,0.189102564102564
"58",1818,"Heroy",2015,0.207547169811321,0.0433962264150943
"59",1818,"Heroy",2016,0.403846153846154,0.0782051282051282
"60",1818,"Heroy",2017,0.192307692307692,0.0293040293040293
"61",1818,"Heroy",2018,0.115384615384615,0.0173992673992674
"62",1818,"Heroy",2019,0,0
"63",1820,"Alstahaug",2012,0.5,0.203333333333333
"64",1820,"Alstahaug",2013,0.0851063829787234,0.0319148936170213
"65",1820,"Alstahaug",2014,0.666666666666667,0.284313725490196
"66",1820,"Alstahaug",2015,0,0
"67",1820,"Alstahaug",2016,0.609756097560976,0.219512195121951
"68",1820,"Alstahaug",2017,0,0
"69",1820,"Alstahaug",2018,0.0277777777777778,0.0138888888888889
"70",1822,"Leirfjord",2012,0.419354838709677,0.32258064516129
"71",1822,"Leirfjord",2013,0,0
"72",1822,"Leirfjord",2015,0,0
"73",1822,"Leirfjord",2016,0.0192307692307692,0.0192307692307692
"74",1822,"Leirfjord",2017,0.1875,0.1875
"75",1822,"Leirfjord",2018,0,0
"76",1822,"Leirfjord",2019,0,0
"77",1824,"Vefsn",2012,0.32258064516129,0.32258064516129
"78",1824,"Vefsn",2013,0.03125,0.03125
"79",1824,"Vefsn",2014,0.342857142857143,0.342857142857143
"80",1824,"Vefsn",2015,0,0
"81",1824,"Vefsn",2016,0.108108108108108,0.108108108108108
"82",1824,"Vefsn",2017,0,0
"83",1824,"Vefsn",2018,0,0
"84",1824,"Vefsn",2019,0,0
"85",1827,"Donna",2012,0.159090909090909,0.109848484848485
"86",1827,"Donna",2013,0.0980392156862745,0.0522875816993464
"87",1827,"Donna",2014,0.137254901960784,0.0545751633986928
"88",1827,"Donna",2015,0.207547169811321,0.034681042228212
"89",1827,"Donna",2016,0.173076923076923,0.0355769230769231
"90",1827,"Donna",2017,0.192307692307692,0.0236568986568987
"91",1827,"Donna",2018,0.134615384615385,0.0283882783882784
"92",1827,"Donna",2019,0,0
"93",1828,"Nesna",2012,0.418604651162791,0.209302325581395
"94",1828,"Nesna",2013,0.186046511627907,0.116279069767442
"95",1828,"Nesna",2014,0.208333333333333,0.0868055555555556
"96",1828,"Nesna",2015,0.0869565217391304,0.0869565217391304
"97",1828,"Nesna",2016,0.0789473684210526,0.0526315789473684
"98",1828,"Nesna",2017,0.0967741935483871,0.0483870967741935
"99",1828,"Nesna",2018,0.0576923076923077,0.0288461538461538
"100",1828,"Nesna",2019,0,0
"101",1833,"Rana",2012,0.294117647058824,0.294117647058824
"102",1833,"Rana",2013,0.147058823529412,0.147058823529412
"103",1833,"Rana",2014,0.458333333333333,0.458333333333333
"104",1833,"Rana",2015,0.0384615384615385,0.0384615384615385
"105",1833,"Rana",2016,0.0857142857142857,0.0857142857142857
"106",1833,"Rana",2017,0,0
"107",1833,"Rana",2018,0,0
"108",1833,"Rana",2019,0,0
"109",1834,"Luroy",2012,1.09615384615385,0.152701465201465
"110",1834,"Luroy",2013,0.326923076923077,0.0464285714285714
"111",1834,"Luroy",2014,0.384615384615385,0.0549450549450549
"112",1834,"Luroy",2015,0.528301886792453,0.0923854447439353
"113",1834,"Luroy",2016,0.173076923076923,0.023046398046398
