"","year","county","municip_number","municip","seaarea","lice_score","momb_score","prr_score","escapees_score","sustainability","production_searea","production_max","aquaculture_score"
"1",2006,"Nordland",1820,"Alstahaug",397.61,0.923076923076923,1,0.749626080649938,NA,0.884492579832735,6414.74583134227,121604.867684256,4.66576313710324
"2",2007,"Nordland",1820,"Alstahaug",397.61,0.904679139948662,1,0.951470494465633,NA,0.951254302055934,8644.99774402052,149998.637316471,5.48244400241653
"3",2008,"Nordland",1820,"Alstahaug",397.61,0.833333333333333,1,0.999579124579124,NA,0.940903990710517,16691.0801991902,178392.406948684,8.80345987663302
"4",2009,"Nordland",1820,"Alstahaug",397.61,0.9,1,0.942584467597008,NA,0.946645982523877,18270.7130630517,206786.176580898,8.36414571078352
"5",2010,"Nordland",1820,"Alstahaug",397.61,0.916666666666667,1,0.851721989155435,NA,0.920809447003456,17815.7495762179,100384.652468928,16.3420504148351
"6",2011,"Nordland",1820,"Alstahaug",397.61,0.904679139948662,1,0.821356824349345,NA,0.90575098595458,17268.6672266794,138621.566114261,11.2833181770534
"7",2012,"Nordland",1820,"Alstahaug",397.61,0.808510638297872,1,0.950504821590912,NA,0.915967408250352,19791.5275747592,143049.209439033,12.672837752168
"8",2013,"Nordland",1820,"Alstahaug",397.61,0.938636363636364,1,0.970433696814708,NA,0.969365921494183,12663.9681748447,213892.924204099,5.73932925797368
"9",2014,"Nordland",1820,"Alstahaug",397.61,0.706322529011605,1,0.898827917913712,NA,0.859461718377268,17940.1265134177,128643.610679612,11.9857114392788
"10",2015,"Nordland",1820,"Alstahaug",397.61,1,1,0.926101555947618,NA,0.974734200944175,14626.3385176429,153175.221263016,9.30750565932162
"11",2016,"Nordland",1820,"Alstahaug",397.61,0.817073170731707,1,0.926339863953301,NA,0.911333009889269,21987.1766001861,206784.422546882,9.69011088128343
"12",2017,"Nordland",1820,"Alstahaug",397.61,1,1,0.892807261580456,NA,0.962910460460043,6408.47204798672,242862.37313563,2.54085665510896
"13",2018,"Nordland",1820,"Alstahaug",397.61,1,1,0.887756033822457,0.821428571428571,0.924093380622193,13066.5761776615,143135.447262345,8.43588138655938
"14",2005,"Nordland",1820,"Alstahaug",397.61,1,1,0.820895129981612,NA,0.93633062092223,10307.2376575036,59747.5723235912,16.1529278270486
"15",2006,"Finnmark",2012,"Alta",708.22,1,0.871826123624567,0.945835678576683,NA,0.937738737465137,21074.7320013555,121604.867684256,16.2514815037505
"16",2007,"Finnmark",2012,"Alta",708.22,1,0.871826123624567,0.927563365126139,NA,0.931660798140206,19926.707079721,149998.637316471,12.3767336519399
"17",2008,"Finnmark",2012,"Alta",708.22,1,0.871826123624567,0.909761785706815,NA,0.925662186103031,11763.5828951456,178392.406948684,6.10401756743884
"18",2009,"Finnmark",2012,"Alta",708.22,1,0.871826123624567,0.921778475296806,NA,0.929719943020584,19466.6508655503,206786.176580898,8.752293713618
"19",2010,"Finnmark",2012,"Alta",708.22,0.957671957671958,0.871826123624567,0.860816737608613,NA,0.895747869494803,29193.8589153088,100384.652468928,26.0501344404354
"20",2011,"Finnmark",2012,"Alta",708.22,0.833333333333333,0.73170610882906,0.946118946106179,NA,0.832467060370899,21860.7901160656,138621.566114261,13.1281071159635
"21",2012,"Finnmark",2012,"Alta",708.22,0.987451737451737,0.897254207263065,0.943838646422653,NA,0.942127569128429,30607.3324051848,143049.209439033,20.1581062834831
"22",2013,"Finnmark",2012,"Alta",708.22,0.975054403481823,0.959971013492529,0.811445377484362,NA,0.912393297082478,30699.3575456779,213892.924204099,13.095285014051
"23",2014,"Finnmark",2012,"Alta",708.22,0.989852767348074,0.875806718156278,0.866859597944228,NA,0.909164658591797,30598.6160882212,128643.610679612,21.6249996422388
"24",2015,"Finnmark",2012,"Alta",708.22,0.955564368901429,0.875806718156278,0.84668268222286,NA,0.891517006599386,34917.8471788427,153175.221263016,20.3230354995367
"25",2016,"Finnmark",2012,"Alta",708.22,0.993989751054246,0.871826123624567,0.887948154224988,NA,0.916360719347903,37946.991569004,206784.422546882,16.8161276671494
"26",2017,"Finnmark",2012,"Alta",708.22,0.992058137940491,0.89041197585019,0.901842171099444,NA,0.927013841340111,28196.0162731919,242862.37313563,10.7625141838265
"27",2018,"Finnmark",2012,"Alta",708.22,0.983386967509358,0.871826123624567,0.898486579782623,0.818299527413304,0.891034573010924,34040.1692299003,143135.447262345,21.1903956951991
"28",2005,"Finnmark",2012,"Alta",708.22,0.892001649144506,0.871826123624567,0.999579124579124,NA,0.919470015208753,26202.1623859818,59747.5723235912,40.3231490596115
"29",2006,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.999579124579124,NA,0.998510017388355,3233.1548537922,121604.867684256,2.65477654863421
"30",2007,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.999579124579124,NA,0.998510017388355,2859.32473460315,149998.637316471,1.90339355179865
"31",2008,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.999579124579124,NA,0.998510017388355,4159.6151075001,178392.406948684,2.32824783541014
"32",2009,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.93629018174929,NA,0.976975163769975,4577.40940098877,206786.176580898,2.16262777962999
"33",2010,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.493168135364872,NA,0.789002482588854,6295.70994519603,100384.652468928,4.94829702972426
"34",2011,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.999579124579124,NA,0.998510017388355,6566.80839688805,138621.566114261,4.73016151120235
"35",2012,"Nordland",1854,"Ballangen",260.93,1,1,0.925332740193188,NA,0.974464396668638,5314.25258115203,143049.209439033,3.62011782906368
"36",2013,"Nordland",1854,"Ballangen",260.93,0.983914728682171,1,0.999579124579124,NA,0.994469679656363,17447.0108304909,213892.924204099,8.11177991797583
"37",2014,"Nordland",1854,"Ballangen",260.93,1,1,0.981923129945997,NA,0.993937699426613,17542.8619284866,128643.610679612,13.5541219143673
"38",2015,"Nordland",1854,"Ballangen",260.93,1,1,0.861465032587149,NA,0.951508234923138,8127.64343310466,153175.221263016,5.04880593176285
"39",2016,"Nordland",1854,"Ballangen",260.93,0.990196078431373,1,0.999579124579124,NA,0.996581436487315,25105.9518261603,206784.422546882,12.0996181565
"40",2017,"Nordland",1854,"Ballangen",260.93,0.989583333333333,1,0.999579124579124,NA,0.996375828592789,27903.0327559115,242862.37313563,11.4475976757819
"41",2018,"Nordland",1854,"Ballangen",260.93,1,1,0.999579124579124,0.764367816091954,0.934931715649162,23043.6547618135,143135.447262345,15.0516479973001
"42",2005,"Nordland",1854,"Ballangen",260.93,0.995955882352941,1,0.650237788632415,NA,0.865175279621857,3195.25998160426,59747.5723235912,4.62689920366431
"43",2006,"Nordland",1811,"Bindal",641.29,0.982024246563647,0.895068566376776,0.999579124579124,NA,0.957778825227235,6175.77338333671,121604.867684256,4.8641350371928
"44",2007,"Nordland",1811,"Bindal",641.29,0.982024246563647,0.895068566376776,0.827472920445205,NA,0.899312787622944,4744.66348921705,149998.637316471,2.84465020826696
"45",2008,"Nordland",1811,"Bindal",641.29,0.982024246563647,0.895068566376776,0.999579124579124,NA,0.957778825227235,8988.89170578054,178392.406948684,4.82608552982519
"46",2009,"Nordland",1811,"Bindal",641.29,0.982024246563647,0.895068566376776,0.999579124579124,NA,0.957778825227235,10364.8849444089,206786.176580898,4.80074030566918
"47",2010,"Nordland",1811,"Bindal",641.29,0.982024246563647,0.895068566376776,0.968743048286,NA,0.947826918201461,10403.4446397106,100384.652468928,9.82288091756707
