"","Week","Year","Municip_number","Municip_name","locs_above_thr_count","locs_below_thr_count","locs_active","locs_above_thr_prop","locs_below_thr_prop"
"1",1,2012,1811,"Bindal",0,2,2,0,1
"2",1,2012,1813,"Bronnoy",1,3,4,0.25,0.75
"3",1,2012,1815,"Vega",0,1,1,0,1
"4",1,2012,1816,"Vevelstad",0,4,4,0,1
"5",1,2012,1818,"Heroy",0,2,2,0,1
"6",1,2012,1820,"Alstahaug",1,0,1,1,0
"7",1,2012,1822,"Leirfjord",0,1,1,0,1
"8",1,2012,1824,"Vefsn",0,1,1,0,1
"9",1,2012,1827,"Donna",1,0,1,1,0
"10",1,2012,1828,"Nesna",0,2,2,0,1
"11",1,2012,1833,"Rana",0,1,1,0,1
"12",1,2012,1834,"Luroy",2,7,9,0.222222222222222,0.777777777777778
"13",1,2012,1835,"Traena",1,1,2,0.5,0.5
"14",1,2012,1836,"Rodoy",0,7,7,0,1
"15",1,2012,1837,"Meloy",1,2,3,0.333333333333333,0.666666666666667
"16",1,2012,1838,"Gildeskal",0,7,7,0,1
"17",1,2012,1840,"Saltdal",0,1,1,0,1
"18",1,2012,1841,"Fauske",0,2,2,0,1
"19",1,2012,1845,"Sorfold",0,4,4,0,1
"20",1,2012,1850,"Tysfjord",0,4,4,0,1
"21",1,2012,1851,"Lodingen",0,2,2,0,1
"22",1,2012,1854,"Ballangen",0,1,1,0,1
"23",1,2012,1859,"Flakstad",0,1,1,0,1
"24",1,2012,1867,"Bo",1,1,2,0.5,0.5
"25",1,2012,1868,"Oksnes",0,3,3,0,1
"26",1,2012,1902,"Tromso",0,5,5,0,1
"27",1,2012,1903,"Harstad",0,4,4,0,1
"28",1,2012,1911,"Kvaefjord",0,1,1,0,1
"29",1,2012,1913,"Skanland",0,1,1,0,1
"30",1,2012,1917,"Ibestad",0,2,2,0,1
"31",1,2012,1926,"Dyroy",0,2,2,0,1
"32",1,2012,1927,"Tranoy",1,4,5,0.2,0.8
"33",1,2012,1928,"Torsken",0,3,3,0,1
"34",1,2012,1929,"Berg",0,1,1,0,1
"35",1,2012,1931,"Lenvik",0,1,1,0,1
"36",1,2012,1936,"Karlsoy",0,2,2,0,1
"37",1,2012,1940,"Kafjord",0,1,1,0,1
"38",1,2012,1941,"Skjervoy",0,3,3,0,1
"39",1,2012,1943,"Kvaenangen",0,1,1,0,1
"40",1,2012,2004,"Hammerfest",0,3,3,0,1
"41",1,2012,2012,"Alta",0,6,6,0,1
"42",1,2012,2014,"Loppa",0,6,6,0,1
"43",1,2012,2018,"Masoy",0,1,1,0,1
"44",1,2012,2019,"Nordkapp",0,2,2,0,1
"45",1,2012,2027,"Nesseby",0,1,1,0,1
"46",1,2012,2030,"Sor-Varanger",0,1,1,0,1
"47",1,2013,1804,"Bodo",0,2,2,0,1
"48",1,2013,1805,"Narvik",0,1,1,0,1
"49",1,2013,1811,"Bindal",0,2,2,0,1
"50",1,2013,1812,"Somna",0,1,1,0,1
"51",1,2013,1813,"Bronnoy",0,2,2,0,1
"52",1,2013,1816,"Vevelstad",0,3,3,0,1
"53",1,2013,1818,"Heroy",0,5,5,0,1
"54",1,2013,1820,"Alstahaug",1,2,3,0.333333333333333,0.666666666666667
"55",1,2013,1822,"Leirfjord",0,2,2,0,1
"56",1,2013,1824,"Vefsn",0,1,1,0,1
