year,lok_komnr,kommunenavn,escaped_permp
2006,1816,Vevelstad,2000
2006,1834,Luroy,300
2006,1835,Traena,90952
2006,1845,Sorfold,8074
2006,1851,Lodingen,96358
2006,1860,Vestvagoy,47000
2006,1865,Vagan,30000
2006,1867,Bo,2000
2006,1943,Kvaenangen,319556
2007,1804,Bodo,8507
2007,1902,Tromso,250
2007,1919,Gratangen,67500
2007,1941,Skjervoy,25
2007,1943,Kvaenangen,2034
2007,2004,Hammerfest,20
2007,2012,Alta,80
2008,1834,Luroy,12189
2008,1865,Vagan,12281
2008,1927,Tranoy,2267
2008,1941,Skjervoy,50
2008,2012,Alta,73
2009,1812,Somna,815
2009,1833,Rana,81077
2009,1834,Luroy,2
2009,1837,Meloy,20007
2009,1848,Steigen,300
2009,1865,Vagan,234
2009,1938,Lyngen,2688
2009,2019,Nordkapp,132634
2010,1812,Somna,9
2010,1818,Heroy,9
2010,1824,Vefsn,1
2010,1836,Rodoy,650
2010,1837,Meloy,4
2010,1838,Gildeskal,25
2010,1841,Fauske,4
2010,1866,Hadsel,14605
2010,1867,Bo,24000
2010,1928,Torsken,281
2010,2004,Hammerfest,41904
2010,2012,Alta,353
2010,2019,Nordkapp,1000
2011,1849,Hamaroy,2
2011,1902,Tromso,2020
2011,2030,Sor-Varanger,100
2012,1837,Meloy,3
2012,1865,Vagan,26673
2012,1903,Harstad,8524
2012,1927,Tranoy,160
2013,1902,Tromso,1
2013,1943,Kvaenangen,40
2013,2012,Alta,3570
2014,1827,Donna,28
2014,1836,Rodoy,1
2014,1838,Gildeskal,8829
2014,1849,Hamaroy,10
2014,1850,Tysfjord,9148
2014,1868,Oksnes,9
2014,1902,Tromso,150
2014,1928,Torsken,1
2014,2004,Hammerfest,10
2014,2014,Loppa,10047
2014,2015,Hasvik,130
2014,2019,Nordkapp,0
2014,2022,Lebesby,14432
2014,2027,Nesseby,6
2015,1804,Bodo,6000
2015,1811,Bindal,20
2015,1820,Alstahaug,2
2015,1827,Donna,0
2015,1836,Rodoy,5000
2015,1849,Hamaroy,492
2015,1870,Sortland,18824
2015,1943,Kvaenangen,1925
2016,1827,Donna,4
2016,1834,Luroy,2934
2016,1838,Gildeskal,11
2016,1840,Saltdal,1
2016,1848,Steigen,367
2016,1927,Tranoy,5369
2016,1931,Lenvik,47986
2016,2012,Alta,200
