"municip_number","escap_score_mcp","Name"
"1804",0.760978693536911,"Bodo"
"1805",0.714285714285714,"Narvik"
"1811",0.844988344988345,"Bindal"
"1812",0.807692307692308,"Somna"
"1813",0.807692307692308,"Bronnoy"
"1815",0.821428571428571,"Vega"
"1816",0.817994505494505,"Vevelstad"
"1818",0.811471861471861,"Heroy"
"1820",0.821428571428571,"Alstahaug"
"1822",0.794117647058823,"Leirfjord"
"1824",0.821428571428571,"Vefsn"
"1827",0.785189724037763,"Donna"
"1828",0.784356725146199,"Nesna"
"1833",0.785714285714286,"Rana"
"1834",0.784930274403959,"Luroy"
"1835",0.78125,"Traena"
"1836",0.739364035087719,"Rodoy"
"1837",0.735912698412698,"Meloy"
"1838",0.742176870748299,"Gildeskal"
"1840",0.734375,"Saltdal"
"1841",0.763157894736842,"Fauske"
"1845",0.801963512677798,"Sorfold"
"1848",0.803403939056113,"Steigen"
"1849",0.787037037037037,"Hamaroy"
"1850",0.774729064039409,"Tysfjord"
"1851",0.787966347087593,"Lodingen"
"1852",0.766666666666667,"Tjeldsund"
"1853",0.714285714285714,"Evenes"
"1854",0.764367816091954,"Ballangen"
"1859",0.823529411764706,"Flakstad"
"1860",0.833333333333333,"Vestvagoy"
"1865",0.78542837424825,"Vagan"
"1866",0.819296300974462,"Hadsel"
"1867",0.807320487483531,"Bo"
"1868",0.778060454038715,"Oksnes"
"1870",0.77196047008547,"Sortland"
"1871",0.782608695652174,"Andoy"
"1902",0.641660889757995,"Tromso"
"1903",0.705884717134717,"Harstad"
"1911",0.761396011396011,"Kvaefjord"
"1913",0.689655172413793,"Skanland"
"1917",0.697918567171441,"Ibestad"
"1919",0.689655172413793,"Gratangen"
"1920",0.696428571428571,"Lavangen"
"1923",0.692680776014109,"Salangen"
"1925",0.696428571428571,"Sorreisa"
"1926",0.690677643982242,"Dyroy"
"1927",0.688803746275011,"Tranoy"
"1928",0.688932980599647,"Torsken"
"1929",0.693617724867725,"Berg"
"1931",0.706896551724138,"Lenvik"
"1936",0.637302585425115,"Karlsoy"
"1938",0.64,"Lyngen"
"1940",0.64,"Kafjord"
"1941",0.639888181993445,"Skjervoy"
"1942",0.638528138528139,"Nordreisa"
"1943",0.711197636949517,"Kvaenangen"
"2004",0.865608465608466,"Hammerfest"
"2012",0.818299527413304,"Alta"
"2014",0.722368421052632,"Loppa"
"2015",0.866666666666667,"Hasvik"
"2017",0.866402116402116,"Kvalsund"
"2018",0.880808080808081,"Masoy"
"2019",0.909090909090909,"Nordkapp"
"2022",1,"Lebesby"
"2027",1,"Nesseby"
"2028",1,"Batsfjord"
"2030",1,"Sor-Varanger"
