"year","county","municip_number","municip","production_final","feed_kg","gapfilled"
2006,"Nordland",1820,"Alstahaug",2547282.4392,2690900,"n"
2007,"Nordland",1820,"Alstahaug",3014414.87464,4419500,"n"
2008,"Nordland",1820,"Alstahaug",6669238.76624,6619678,"n"
2009,"Nordland",1820,"Alstahaug",6387968.73048,10947412,"n"
2010,"Nordland",1820,"Alstahaug",7273308.52632,8043951,"n"
2011,"Nordland",1820,"Alstahaug",6807757.68288,8057122,"n"
2012,"Nordland",1820,"Alstahaug",9545097.30552,8208776,"n"
2013,"Nordland",1820,"Alstahaug",5116063.80368,7159576,"n"
2014,"Nordland",1820,"Alstahaug",8210021.81864,8035446,"n"
2015,"Nordland",1820,"Alstahaug",7430967.71504,6493422,"n"
2016,"Nordland",1820,"Alstahaug",8493358.09344,9889128,"n"
2017,"Nordland",1820,"Alstahaug",3483765.15848,4140936,"n"
2018,"Nordland",1820,"Alstahaug",5110127.75152,5564015,"n"
2005,"Nordland",1820,"Alstahaug",3777819.9932,5291750,"n"
2006,"Finnmark",2012,"Alta",13095054.18224,19458582,"n"
2007,"Finnmark",2012,"Alta",12485901.29744,18518323,"n"
2008,"Finnmark",2012,"Alta",7552190.02464,11850434,"n"
2009,"Finnmark",2012,"Alta",12985565.20688,16360587,"n"
2010,"Finnmark",2012,"Alta",18194456.47368,29497416,"n"
2011,"Finnmark",2012,"Alta",14594224.23888,20840054,"n"
2012,"Finnmark",2012,"Alta",20380554.39328,28113079,"n"
2013,"Finnmark",2012,"Alta",22760805.89688,29490375,"n"
2014,"Finnmark",2012,"Alta",21057791.97568,29915733,"n"
2015,"Finnmark",2012,"Alta",24587729.21752,34292060,"n"
2016,"Finnmark",2012,"Alta",23855943.21272,34464214,"n"
2017,"Finnmark",2012,"Alta",19394925.6916,28035024,"n"
2018,"Finnmark",2012,"Alta",22932139.84576,31681931,"n"
2005,"Finnmark",2012,"Alta",18054320.7396,22288483,"n"
2006,"Nordland",1854,"Ballangen",739661.77248,1113160,"n"
2007,"Nordland",1854,"Ballangen",652390.91464,923130,"n"
2008,"Nordland",1854,"Ballangen",952725.1256,1338536,"n"
2009,"Nordland",1854,"Ballangen",1046053.4228,1404559,"n"
2010,"Nordland",1854,"Ballangen",1439325.36448,2290761,"n"
2011,"Nordland",1854,"Ballangen",1501068.6852,2424680,"n"
2012,"Nordland",1854,"Ballangen",1211906.75488,1458902,"n"
2013,"Nordland",1854,"Ballangen",4132679.80768,5629523,"n"
2014,"Nordland",1854,"Ballangen",4017623.77144,5715337,"n"
2015,"Nordland",1854,"Ballangen",1847705.99288,2565634,"n"
2016,"Nordland",1854,"Ballangen",5745989.3848,7508936,"n"
2017,"Nordland",1854,"Ballangen",6384605.84856,8033530,"n"
2018,"Nordland",1854,"Ballangen",5291247.13656,7105411,"n"
2005,"Nordland",1854,"Ballangen",731291.81656,961978,"n"
2006,"Nordland",1811,"Bindal",4001198.72344,4124646,"n"
2007,"Nordland",1811,"Bindal",3797631.63912,4797859,"n"
2008,"Nordland",1811,"Bindal",6585595.70256,5964456,"n"
2009,"Nordland",1811,"Bindal",7269568.17808,6486560,"n"
2010,"Nordland",1811,"Bindal",7348848.13144,9546322,"n"
2011,"Nordland",1811,"Bindal",9025168.99736,7890825,"n"
2012,"Nordland",1811,"Bindal",12062710.83328,8579202,"n"
2013,"Nordland",1811,"Bindal",7484608.90272,6396605,"n"
2014,"Nordland",1811,"Bindal",9973571.58792,8265640,"n"
2015,"Nordland",1811,"Bindal",13825724.14464,14920640,"n"
2016,"Nordland",1811,"Bindal",16753939.02376,15958490,"n"
