Year,below_lice,Municip_number,Municip,score_final,gf
2005,1,1820,Alstahaug,1,n
2006,0.9230769230769231,1820,Alstahaug,0.9230769230769231,n
2008,0.8333333333333334,1820,Alstahaug,0.8333333333333334,n
2009,0.9,1820,Alstahaug,0.9,n
2010,0.9166666666666666,1820,Alstahaug,0.9166666666666666,n
2012,0.8085106382978723,1820,Alstahaug,0.8085106382978723,n
2013,0.9386363636363637,1820,Alstahaug,0.9386363636363637,n
2014,0.7063225290116046,1820,Alstahaug,0.7063225290116046,n
2015,1,1820,Alstahaug,1,n
2016,0.8170731707317074,1820,Alstahaug,0.8170731707317074,n
2017,1,1820,Alstahaug,1,n
2018,1,1820,Alstahaug,1,n
2007,NA,1820,Alstahaug,0.9146153846153846,y
2011,NA,1820,Alstahaug,0.9146153846153846,y
2019,NA,1820,Alstahaug,0.9146153846153846,y
2005,0.8920016491445063,2012,Alta,0.8920016491445063,n
2006,1,2012,Alta,1,n
2007,1,2012,Alta,1,n
2008,1,2012,Alta,1,n
2009,1,2012,Alta,1,n
2010,0.9576719576719577,2012,Alta,0.9576719576719577,n
2011,0.8333333333333333,2012,Alta,0.8333333333333333,n
2012,0.9874517374517374,2012,Alta,0.9874517374517374,n
2013,0.9750544034818228,2012,Alta,0.9750544034818228,n
2014,0.9898527673480739,2012,Alta,0.9898527673480739,n
2015,0.9555643689014286,2012,Alta,0.9555643689014286,n
2016,0.9939897510542457,2012,Alta,0.9939897510542457,n
2017,0.9920581379404909,2012,Alta,0.9920581379404909,n
2018,0.9833869675093578,2012,Alta,0.9833869675093578,n
2019,NA,2012,Alta,0.9784003298289012,y
2012,1,1854,Ballangen,1,n
2013,0.9839147286821706,1854,Ballangen,0.9839147286821706,n
2014,1,1854,Ballangen,1,n
2015,1,1854,Ballangen,1,n
2016,0.9901960784313726,1854,Ballangen,0.9901960784313726,n
2017,0.9895833333333333,1854,Ballangen,0.9895833333333333,n
2018,1,1854,Ballangen,1,n
2005,NA,1854,Ballangen,0.9948221614227086,y
2006,NA,1854,Ballangen,0.9948221614227086,y
2007,NA,1854,Ballangen,0.9948221614227086,y
2008,NA,1854,Ballangen,0.9948221614227086,y
2009,NA,1854,Ballangen,0.9948221614227086,y
2010,NA,1854,Ballangen,0.9948221614227086,y
2011,NA,1854,Ballangen,0.9948221614227086,y
2019,NA,1854,Ballangen,0.9948221614227086,y
2016,1,2028,Batsfjord,1,n
2017,1,2028,Batsfjord,1,n
2005,NA,2028,Batsfjord,1,y
2006,NA,2028,Batsfjord,1,y
2007,NA,2028,Batsfjord,1,y
2008,NA,2028,Batsfjord,1,y
2009,NA,2028,Batsfjord,1,y
2010,NA,2028,Batsfjord,1,y
2011,NA,2028,Batsfjord,1,y
2012,NA,2028,Batsfjord,1,y
2013,NA,2028,Batsfjord,1,y
2014,NA,2028,Batsfjord,1,y
2015,NA,2028,Batsfjord,1,y
2018,NA,2028,Batsfjord,1,y
2019,NA,2028,Batsfjord,1,y
2005,0.8,1929,Berg,0.8,n
2012,1,1929,Berg,1,n
2013,0.9479166666666667,1929,Berg,0.9479166666666667,n
2014,1,1929,Berg,1,n
2015,0.9931972789115646,1929,Berg,0.9931972789115646,n
2016,0.9468699468699469,1929,Berg,0.9468699468699469,n
2017,0.9244444444444444,1929,Berg,0.9244444444444444,n
2018,1,1929,Berg,1,n
2006,NA,1929,Berg,0.9482227891156463,y
2007,NA,1929,Berg,0.9482227891156463,y
2008,NA,1929,Berg,0.9482227891156463,y
2009,NA,1929,Berg,0.9482227891156463,y
2010,NA,1929,Berg,0.9482227891156463,y
2011,NA,1929,Berg,0.9482227891156463,y
2019,NA,1929,Berg,0.9482227891156463,y
2012,0.9074074074074074,1811,Bindal,0.9074074074074074,n
2013,0.8522727272727273,1811,Bindal,0.8522727272727273,n
2014,0.9423076923076923,1811,Bindal,0.9423076923076923,n
2015,0.9874213836477987,1811,Bindal,0.9874213836477987,n
2016,1,1811,Bindal,1,n
2017,0.9803921568627451,1811,Bindal,0.9803921568627451,n
2018,1,1811,Bindal,1,n
2005,NA,1811,Bindal,0.9378818421271251,y
2006,NA,1811,Bindal,0.9378818421271251,y
2007,NA,1811,Bindal,0.9378818421271251,y
2008,NA,1811,Bindal,0.9378818421271251,y
2009,NA,1811,Bindal,0.9378818421271251,y
2010,NA,1811,Bindal,0.9378818421271251,y
2011,NA,1811,Bindal,0.9378818421271251,y
2019,NA,1811,Bindal,0.9378818421271251,y
2005,1,1867,Bo,1,n
2006,1,1867,Bo,1,n
2007,1,1867,Bo,1,n
2008,1,1867,Bo,1,n
2009,1,1867,Bo,1,n
2010,0.975,1867,Bo,0.975,n
2011,0.9772727272727273,1867,Bo,0.9772727272727273,n
2012,0.7928571428571429,1867,Bo,0.7928571428571429,n
2013,0.9035658914728683,1867,Bo,0.9035658914728683,n
2014,0.9883720930232558,1867,Bo,0.9883720930232558,n
2015,0.9059011164274322,1867,Bo,0.9059011164274322,n
2016,0.9895833333333333,1867,Bo,0.9895833333333333,n
2017,0.8145402723619712,1867,Bo,0.8145402723619712,n
2018,0.9621548526213841,1867,Bo,0.9621548526213841,n
2019,NA,1867,Bo,1,y
2005,1,1804,Bodo,1,n
2006,1,1804,Bodo,1,n
2007,1,1804,Bodo,1,n
2010,1,1804,Bodo,1,n
2011,1,1804,Bodo,1,n
2012,1,1804,Bodo,1,n
2013,1,1804,Bodo,1,n
2014,1,1804,Bodo,1,n
2015,1,1804,Bodo,1,n
2016,0.9619000494804552,1804,Bodo,0.9619000494804552,n
2017,0.8606146215902314,1804,Bodo,0.8606146215902314,n
2018,0.9705882352941176,1804,Bodo,0.9705882352941176,n
2008,NA,1804,Bodo,1,y
2009,NA,1804,Bodo,1,y
2019,NA,1804,Bodo,1,y
2008,0.6587301587301587,1813,Bronnoy,0.6587301587301587,n
2009,0.7708333333333333,1813,Bronnoy,0.7708333333333333,n
2010,0.7277777777777779,1813,Bronnoy,0.7277777777777779,n
2011,0.7083333333333333,1813,Bronnoy,0.7083333333333333,n
2012,0.8948948948948949,1813,Bronnoy,0.8948948948948949,n
2013,0.7890030263904231,1813,Bronnoy,0.7890030263904231,n
2014,0.9284234018810776,1813,Bronnoy,0.9284234018810776,n
2015,0.9356389578163772,1813,Bronnoy,0.9356389578163772,n
2016,0.9325889164598842,1813,Bronnoy,0.9325889164598842,n
2017,0.9754901960784313,1813,Bronnoy,0.9754901960784313,n
2018,0.9528142589118199,1813,Bronnoy,0.9528142589118199,n
2005,NA,1813,Bronnoy,0.7521138996138996,y
2006,NA,1813,Bronnoy,0.7521138996138996,y
2007,NA,1813,Bronnoy,0.7521138996138996,y
2019,NA,1813,Bronnoy,0.7521138996138996,y
2005,1,1827,Donna,1,n
2006,0.9166666666666666,1827,Donna,0.9166666666666666,n
2007,0.9444444444444444,1827,Donna,0.9444444444444444,n
2008,1,1827,Donna,1,n
2009,0.8545454545454545,1827,Donna,0.8545454545454545,n
2010,0.775,1827,Donna,0.775,n
2011,0.9166666666666667,1827,Donna,0.9166666666666667,n
2012,0.9165396341463414,1827,Donna,0.9165396341463414,n
2013,0.9420995670995671,1827,Donna,0.9420995670995671,n
2014,0.9643856143856144,1827,Donna,0.9643856143856144,n
2015,0.9600672424201836,1827,Donna,0.9600672424201836,n
2016,0.9516197783461211,1827,Donna,0.9516197783461211,n
2017,0.9674534554943073,1827,Donna,0.9674534554943073,n
2018,0.9733629721532947,1827,Donna,0.9733629721532947,n
2019,NA,1827,Donna,0.9431313131313132,y
2005,1,1926,Dyroy,1,n
2006,1,1926,Dyroy,1,n
2007,1,1926,Dyroy,1,n
2008,0.9285714285714286,1926,Dyroy,0.9285714285714286,n
2009,1,1926,Dyroy,1,n
2010,1,1926,Dyroy,1,n
2011,1,1926,Dyroy,1,n
2012,0.884453781512605,1926,Dyroy,0.884453781512605,n
2013,0.9821428571428572,1926,Dyroy,0.9821428571428572,n
2014,0.9790909090909091,1926,Dyroy,0.9790909090909091,n
2015,0.9926470588235294,1926,Dyroy,0.9926470588235294,n
2016,0.9152890238416554,1926,Dyroy,0.9152890238416554,n
2017,0.9657848324514992,1926,Dyroy,0.9657848324514992,n
2018,0.9924242424242424,1926,Dyroy,0.9924242424242424,n
2019,NA,1926,Dyroy,0.9857142857142858,y
2014,1,1841,Fauske,1,n
2018,1,1841,Fauske,1,n
2005,NA,1841,Fauske,1,y
2006,NA,1841,Fauske,1,y
2007,NA,1841,Fauske,1,y
2008,NA,1841,Fauske,1,y
2009,NA,1841,Fauske,1,y
2010,NA,1841,Fauske,1,y
2011,NA,1841,Fauske,1,y
2012,NA,1841,Fauske,1,y
2013,NA,1841,Fauske,1,y
2015,NA,1841,Fauske,1,y
2016,NA,1841,Fauske,1,y
2017,NA,1841,Fauske,1,y
2019,NA,1841,Fauske,1,y
2006,1,1859,Flakstad,1,n
2007,0.9230769230769231,1859,Flakstad,0.9230769230769231,n
2008,1,1859,Flakstad,1,n
2014,0.5925925925925926,1859,Flakstad,0.5925925925925926,n
2016,1,1859,Flakstad,1,n
2017,0.975,1859,Flakstad,0.975,n
2018,1,1859,Flakstad,1,n
2005,NA,1859,Flakstad,0.9031339031339032,y
2009,NA,1859,Flakstad,0.9031339031339032,y
2010,NA,1859,Flakstad,0.9031339031339032,y
2011,NA,1859,Flakstad,0.9031339031339032,y
2012,NA,1859,Flakstad,0.9031339031339032,y
2013,NA,1859,Flakstad,0.9031339031339032,y
2015,NA,1859,Flakstad,0.9031339031339032,y
2019,NA,1859,Flakstad,0.9031339031339032,y
2005,1,1838,Gildeskal,1,n
2006,1,1838,Gildeskal,1,n
2007,0.9444444444444444,1838,Gildeskal,0.9444444444444444,n
2008,1,1838,Gildeskal,1,n
2009,0.9359477124183007,1838,Gildeskal,0.9359477124183007,n
2010,0.8932178932178932,1838,Gildeskal,0.8932178932178932,n
2011,0.8962962962962963,1838,Gildeskal,0.8962962962962963,n
2012,0.8480568523705778,1838,Gildeskal,0.8480568523705778,n
