Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2012,0.7966666666666666,1820,Alstahaug,0.7966666666666666
2013,0.9680851063829787,1820,Alstahaug,0.9680851063829787
2014,0.7156862745098039,1820,Alstahaug,0.7156862745098039
2015,1,1820,Alstahaug,1
2016,0.7804878048780488,1820,Alstahaug,0.7804878048780488
2017,1,1820,Alstahaug,1
2018,0.9861111111111112,1820,Alstahaug,0.9861111111111112
2004,NA,1820,Alstahaug,0.8924338519355156
2005,NA,1820,Alstahaug,0.8924338519355156
2006,NA,1820,Alstahaug,0.8924338519355156
2007,NA,1820,Alstahaug,0.8924338519355156
2008,NA,1820,Alstahaug,0.8924338519355156
2009,NA,1820,Alstahaug,0.8924338519355156
2010,NA,1820,Alstahaug,0.8924338519355156
2011,NA,1820,Alstahaug,0.8924338519355156
2019,NA,1820,Alstahaug,0.8924338519355156
2012,0.9821185617103985,2012,Alta,0.9821185617103985
2013,0.9824155011655011,2012,Alta,0.9824155011655011
2014,0.9912333393102624,2012,Alta,0.9912333393102624
2015,0.9636087183256995,2012,Alta,0.9636087183256995
2016,0.9932589579224195,2012,Alta,0.9932589579224195
2017,0.993421642460104,2012,Alta,0.993421642460104
2018,0.9823870573870573,2012,Alta,0.9823870573870573
2019,0.9945054945054945,2012,Alta,0.9945054945054945
2004,NA,2012,Alta,0.9853686590983671
2005,NA,2012,Alta,0.9853686590983671
2006,NA,2012,Alta,0.9853686590983671
2007,NA,2012,Alta,0.9853686590983671
2008,NA,2012,Alta,0.9853686590983671
2009,NA,2012,Alta,0.9853686590983671
2010,NA,2012,Alta,0.9853686590983671
2011,NA,2012,Alta,0.9853686590983671
2012,1,1854,Ballangen,1
2013,0.9866666666666667,1854,Ballangen,0.9866666666666667
2014,1,1854,Ballangen,1
2015,1,1854,Ballangen,1
2016,0.9903846153846154,1854,Ballangen,0.9903846153846154
2017,0.9895833333333334,1854,Ballangen,0.9895833333333334
2018,1,1854,Ballangen,1
2019,1,1854,Ballangen,1
2004,NA,1854,Ballangen,0.9958293269230769
2005,NA,1854,Ballangen,0.9958293269230769
2006,NA,1854,Ballangen,0.9958293269230769
2007,NA,1854,Ballangen,0.9958293269230769
2008,NA,1854,Ballangen,0.9958293269230769
2009,NA,1854,Ballangen,0.9958293269230769
2010,NA,1854,Ballangen,0.9958293269230769
2011,NA,1854,Ballangen,0.9958293269230769
2016,1,2028,Batsfjord,1
2017,1,2028,Batsfjord,1
2018,1,2028,Batsfjord,1
2004,NA,2028,Batsfjord,1
2005,NA,2028,Batsfjord,1
2006,NA,2028,Batsfjord,1
2007,NA,2028,Batsfjord,1
2008,NA,2028,Batsfjord,1
2009,NA,2028,Batsfjord,1
2010,NA,2028,Batsfjord,1
2011,NA,2028,Batsfjord,1
2012,NA,2028,Batsfjord,1
2013,NA,2028,Batsfjord,1
2014,NA,2028,Batsfjord,1
2015,NA,2028,Batsfjord,1
2019,NA,2028,Batsfjord,1
2012,1,1929,Berg,1
2013,0.9313725490196079,1929,Berg,0.9313725490196079
2014,1,1929,Berg,1
2015,0.9951923076923077,1929,Berg,0.9951923076923077
2016,0.9659863945578231,1929,Berg,0.9659863945578231
2017,0.9439102564102564,1929,Berg,0.9439102564102564
2018,1,1929,Berg,1
2019,1,1929,Berg,1
2004,NA,1929,Berg,0.9795576884599994
2005,NA,1929,Berg,0.9795576884599994
2006,NA,1929,Berg,0.9795576884599994
2007,NA,1929,Berg,0.9795576884599994
2008,NA,1929,Berg,0.9795576884599994
2009,NA,1929,Berg,0.9795576884599994
2010,NA,1929,Berg,0.9795576884599994
