"","yrs","knr2017","kname","county","totalarea","landarea","seaarea","protein_new","momb_mean","lice_stats","sustainability"
"1",1994,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"2",1995,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"3",1996,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"4",1997,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"5",1998,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"6",1999,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"7",2000,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"8",2001,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"9",2002,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"10",2003,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"11",2004,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"12",2005,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.31050313229081,NA,NA,0.31050313229081
"13",2006,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.299877122093942,NA,NA,0.299877122093942
"14",2007,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"15",2008,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"16",2009,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.758573871314144,1,NA,0.870961463736568
"17",2010,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.26981252545432,NA,NA,0.26981252545432
"18",2011,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,1,NA,1
"19",2012,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.432241042404969,1,1,0.75609320305427
"20",2013,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.298116845334467,1,1,0.668029291428396
"21",2014,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,0.439755098848236,1,1,0.76044935271513
"22",2015,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,1,1,1
"23",2016,1804,"Bodo","Nordland",4826.7,1395.25,3431.45,NA,1,0.966346153846154,0.983029070702466
"24",1994,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"25",1995,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"26",1996,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"27",1997,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"28",1998,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"29",1999,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"30",2000,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"31",2001,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"32",2002,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"33",2003,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"34",2004,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"35",2005,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"36",2006,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"37",2007,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"38",2008,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,1,NA,1
"39",2009,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"40",2010,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,NA,NA
"41",2011,1805,"Narvik","Nordland",2223.59,2022.98,200.61,0.791510869205533,NA,NA,0.791510869205533
"42",2012,1805,"Narvik","Nordland",2223.59,2022.98,200.61,0.272749350242965,0.33,1,0.448152566786319
"43",2013,1805,"Narvik","Nordland",2223.59,2022.98,200.61,0.501603341494539,0.495,1,0.628524010924342
"44",2014,1805,"Narvik","Nordland",2223.59,2022.98,200.61,0.362542601357702,0.66,1,0.620822803597232
"45",2015,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,1,0.977777777777778,0.988826464946088
"46",2016,1805,"Narvik","Nordland",2223.59,2022.98,200.61,NA,NA,1,1
"47",1994,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"48",1995,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"49",1996,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"50",1997,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"51",1998,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"52",1999,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"53",2000,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"54",2001,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"55",2002,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"56",2003,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"57",2004,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,NA,NA,NA
"58",2005,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.179109275974758,NA,NA,0.179109275974758
"59",2006,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.424172393547147,NA,NA,0.424172393547147
"60",2007,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.29468015300581,NA,NA,0.29468015300581
"61",2008,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.333678989277367,NA,NA,0.333678989277367
"62",2009,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.235490412455858,NA,NA,0.235490412455858
"63",2010,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.207705920025622,0.915,NA,0.435948296043745
"64",2011,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.197749981803249,0.886666666666667,NA,0.418734184416416
"65",2012,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.289585511968089,1,0.890243902439024,0.63644656369368
"66",2013,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.260205804224049,NA,0.808510638297872,0.458671081344788
"67",2014,1811,"Bindal","Nordland",1905.54,1264.25,641.29,0.216027387466649,0.773333333333333,0.969387755102041,0.545076791801756
"68",2015,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,0.886666666666667,0.985849056603774,0.934943579503783
"69",2016,1811,"Bindal","Nordland",1905.54,1264.25,641.29,NA,0.796,1,0.892188320927819
"70",1994,1812,"Somna","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"71",1995,1812,"Somna","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"72",1996,1812,"Somna","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"73",1997,1812,"Somna","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"74",1998,1812,"Somna","Nordland",4826.7,1395.25,3431.45,NA,NA,NA,NA
"75",1999,1812,"Somna","Nordland",790.1,195.26,594.84,NA,NA,NA,NA
"76",2000,1812,"Somna","Nordland",790.1,195.26,594.84,NA,NA,NA,NA
"77",2001,1812,"Somna","Nordland",790.1,195.26,594.84,NA,NA,NA,NA
"78",2002,1812,"Somna","Nordland",790.1,195.26,594.84,NA,NA,NA,NA
"79",2003,1812,"Somna","Nordland",790.1,195.26,594.84,NA,NA,NA,NA
"80",2004,1812,"Somna","Nordland",790.1,195.26,594.84,NA,NA,NA,NA
"81",2005,1812,"Somna","Nordland",790.1,195.26,594.84,0.284963805451229,NA,NA,0.284963805451229
"82",2006,1812,"Somna","Nordland",790.1,195.26,594.84,0.330632547216657,NA,NA,0.330632547216657
"83",2007,1812,"Somna","Nordland",790.1,195.26,594.84,0.252697647618281,NA,NA,0.252697647618281
"84",2008,1812,"Somna","Nordland",790.1,195.26,594.84,0.301177944519976,NA,NA,0.301177944519976
"85",2009,1812,"Somna","Nordland",790.1,195.26,594.84,0.295555426787593,1,NA,0.543650095914268
"86",2010,1812,"Somna","Nordland",790.1,195.26,594.84,0.351134557451132,1,NA,0.592566078552537
"87",2011,1812,"Somna","Nordland",790.1,195.26,594.84,0.0982207957175619,0.33,NA,0.180035725862384
