What,Farmname,Municipality,Location,Latlon,Temperature,Sitting_lice,Moving_lice,Adult_females,Year,Month,Date
Fishfarm:,,1816,10451,"(-999.0,-999.0)",5.3,,0.1,0.1,2005,2,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",4.8,,0.2,0.1,2005,3,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",5.35,,0,0.2,2005,4,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",6.09,,0.15,0.15,2005,5,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",7.61,,1.33,1.33,2005,6,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",8.73,,0,0,2005,7,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",10.62,,0,0,2005,10,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",10.21,,0.05,0.05,2005,11,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",8.52,,0,0,2005,12,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",7.06,,0,0,2006,1,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",6.06,,0,0,2006,2,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",4.48,,0,0,2006,3,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",4.47,,0,0,2006,4,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",6.68,,0,0,2006,5,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",8.4,,0,0,2006,6,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",9.91,,0,0,2006,7,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",12.98,,0,0,2006,8,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",14.41,,1.5,1,2006,9,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",12.6,,1,1,2006,10,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",10.91,,0.95,2.2,2006,11,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",8.53,,0.1,0.05,2006,12,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",7.21,,0.1,0.1,2007,1,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",5.85,,0.1,0.1,2007,2,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",5.67,,0,0.05,2007,3,1
Fishfarm:,,1816,10451,"(-999.0,-999.0)",6.09,,0,0,2007,4,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",5.3,,0,0,2005,2,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",4.5,,0,0,2005,3,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",4.6,,0,0,2005,4,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",5.24,,0,0,2005,5,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",7.16,,0,0,2005,6,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",8.31,,0,0,2005,7,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",11,,0,0,2005,8,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",8.8,,1,0,2005,11,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",8.15,,0,0,2005,12,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",6.48,,0,0,2006,1,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",5.36,,0,0,2006,2,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",5.3,,0,0,2007,6,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",10.65,,0.1,0,2007,7,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",10.8,,0.05,0,2007,8,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",10.8,,0.06,0,2007,9,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",10.8,,0.6,0.05,2007,10,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",10.8,,0.1,0,2007,11,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",10.8,,0.28,0.01,2007,12,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",6.58,,0.05,0,2008,1,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",9.18,,0.2,0.05,2008,2,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",5.2,,0.1,0,2008,3,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",5.2,,0,0,2008,4,1
Fishfarm:,,1868,10508,"(-999.0,-999.0)",,,,,2008,5,1
