"","Week","Year","Municip_number","Municip_name","locs_above_thr_count","locs_below_thr_count","locs_active","locs_above_thr_prop","locs_below_thr_prop","key","tot_loc"
"1",1,2012,1811,"Bindal",0,2,2,0,1,"Bindal _ 2012 _ 1",3
"2",1,2012,1813,"Bronnoy",1,3,4,0.25,0.75,"Bronnoy _ 2012 _ 1",5
"3",1,2012,1815,"Vega",0,1,1,0,1,"Vega _ 2012 _ 1",2
"4",1,2012,1816,"Vevelstad",0,4,4,0,1,"Vevelstad _ 2012 _ 1",6
"5",1,2012,1818,"Heroy",0,2,2,0,1,"Heroy _ 2012 _ 1",9
"6",1,2012,1820,"Alstahaug",1,0,1,1,0,"Alstahaug _ 2012 _ 1",5
"7",1,2012,1822,"Leirfjord",0,1,1,0,1,"Leirfjord _ 2012 _ 1",1
"8",1,2012,1824,"Vefsn",0,1,1,0,1,"Vefsn _ 2012 _ 1",1
"9",1,2012,1827,"Donna",1,0,1,1,0,"Donna _ 2012 _ 1",6
"10",1,2012,1828,"Nesna",0,2,2,0,1,"Nesna _ 2012 _ 1",4
"11",1,2012,1833,"Rana",0,1,1,0,1,"Rana _ 2012 _ 1",1
"12",1,2012,1834,"Luroy",2,7,9,0.222222222222222,0.777777777777778,"Luroy _ 2012 _ 1",21
"13",1,2012,1835,"Traena",1,1,2,0.5,0.5,"Traena _ 2012 _ 1",3
"14",1,2012,1836,"Rodoy",0,7,7,0,1,"Rodoy _ 2012 _ 1",12
"15",1,2012,1837,"Meloy",1,2,3,0.333333333333333,0.666666666666667,"Meloy _ 2012 _ 1",7
"16",1,2012,1838,"Gildeskal",0,7,7,0,1,"Gildeskal _ 2012 _ 1",13
"17",1,2012,1840,"Saltdal",0,1,1,0,1,"Saltdal _ 2012 _ 1",2
"18",1,2012,1841,"Fauske",0,2,2,0,1,"Fauske _ 2012 _ 1",2
"19",1,2012,1845,"Sorfold",0,4,4,0,1,"Sorfold _ 2012 _ 1",9
"20",1,2012,1850,"Tysfjord",0,4,4,0,1,"Tysfjord _ 2012 _ 1",7
"21",1,2012,1851,"Lodingen",0,2,2,0,1,"Lodingen _ 2012 _ 1",7
"22",1,2012,1854,"Ballangen",0,1,1,0,1,"Ballangen _ 2012 _ 1",4
"23",1,2012,1859,"Flakstad",0,1,1,0,1,"Flakstad _ 2012 _ 1",3
"24",1,2012,1867,"Bo",1,1,2,0.5,0.5,"Bo _ 2012 _ 1",8
"25",1,2012,1868,"Oksnes",0,3,3,0,1,"Oksnes _ 2012 _ 1",14
"26",1,2012,1902,"Tromso",0,5,5,0,1,"Tromso _ 2012 _ 1",14
"27",1,2012,1903,"Harstad",0,4,4,0,1,"Harstad _ 2012 _ 1",9
"28",1,2012,1911,"Kvaefjord",0,1,1,0,1,"Kvaefjord _ 2012 _ 1",6
"29",1,2012,1913,"Skanland",0,1,1,0,1,"Skanland _ 2012 _ 1",4
"30",1,2012,1917,"Ibestad",0,2,2,0,1,"Ibestad _ 2012 _ 1",7
"31",1,2012,1926,"Dyroy",0,2,2,0,1,"Dyroy _ 2012 _ 1",6
"32",1,2012,1927,"Tranoy",1,4,5,0.2,0.8,"Tranoy _ 2012 _ 1",8
"33",1,2012,1928,"Torsken",0,3,3,0,1,"Torsken _ 2012 _ 1",11
"34",1,2012,1929,"Berg",0,1,1,0,1,"Berg _ 2012 _ 1",4
"35",1,2012,1931,"Lenvik",0,1,1,0,1,"Lenvik _ 2012 _ 1",6
"36",1,2012,1936,"Karlsoy",0,2,2,0,1,"Karlsoy _ 2012 _ 1",5
"37",1,2012,1940,"Kafjord",0,1,1,0,1,"Kafjord _ 2012 _ 1",1
"38",1,2012,1941,"Skjervoy",0,3,3,0,1,"Skjervoy _ 2012 _ 1",13
"39",1,2012,1943,"Kvaenangen",0,1,1,0,1,"Kvaenangen _ 2012 _ 1",11
"40",1,2012,2004,"Hammerfest",0,3,3,0,1,"Hammerfest _ 2012 _ 1",11
"41",1,2012,2012,"Alta",0,6,6,0,1,"Alta _ 2012 _ 1",23
"42",1,2012,2014,"Loppa",0,6,6,0,1,"Loppa _ 2012 _ 1",11
"43",1,2012,2018,"Masoy",0,1,1,0,1,"Masoy _ 2012 _ 1",2
"44",1,2012,2019,"Nordkapp",0,2,2,0,1,"Nordkapp _ 2012 _ 1",6
"45",1,2012,2027,"Nesseby",0,1,1,0,1,"Nesseby _ 2012 _ 1",3
"46",1,2012,2030,"Sor-Varanger",0,1,1,0,1,"Sor-Varanger _ 2012 _ 1",7
"47",1,2013,1804,"Bodo",0,2,2,0,1,"Bodo _ 2013 _ 1",4
