"","Year","Komnum","Kommune","momb_mean"
"1",2004,1857,"Vaeroy",1
"2",2005,1919,"Gratangen",1
"3",2005,1928,"Torsken",1
"4",2005,1943,"Kvaenangen",0.83
"5",2006,1827,"Donna",1
"6",2006,1836,"Rodoy",1
"7",2006,1838,"Gildeskal",1
"8",2006,1943,"Kvaenangen",1
"9",2006,2019,"Nordkapp",1
"10",2006,2030,"Sor-Varanger",1
"11",2007,1813,"Bronnoy",1
"12",2007,1818,"Heroy",0.66
"13",2007,1827,"Donna",1
"14",2007,1834,"Luroy",1
"15",2007,1835,"Traena",1
"16",2007,1837,"Meloy",0.83
"17",2007,1838,"Gildeskal",0.66
"18",2007,1850,"Tysfjord",1
"19",2007,1860,"Vestvagoy",0.66
"20",2007,1866,"Hadsel",1
"21",2007,1867,"Bo",0.33
"22",2007,1917,"Ibestad",1
"23",2007,1943,"Kvaenangen",1
"24",2007,2019,"Nordkapp",1
"25",2007,2030,"Sor-Varanger",1
"26",2008,1805,"Narvik",1
"27",2008,1813,"Bronnoy",1
"28",2008,1818,"Heroy",1
"29",2008,1827,"Donna",1
"30",2008,1836,"Rodoy",1
"31",2008,1838,"Gildeskal",1
"32",2008,1841,"Fauske",1
"33",2008,1848,"Steigen",1
"34",2008,1854,"Ballangen",0.66
"35",2008,1860,"Vestvagoy",1
"36",2008,1865,"Vagan",0.66
"37",2008,1866,"Hadsel",0.66
"38",2008,1868,"Oksnes",0.886666666666667
"39",2008,1902,"Tromso",1
"40",2008,1919,"Gratangen",1
"41",2008,1925,"Sorreisa",1
"42",2008,1927,"Tranoy",1
"43",2008,1928,"Torsken",0.66
"44",2008,1929,"Berg",0.66
"45",2008,1936,"Karlsoy",0.83
"46",2008,1938,"Lyngen",1
"47",2008,1940,"Kafjord",0.66
"48",2008,1941,"Skjervoy",0.915
"49",2008,1942,"Nordreisa",0.66
"50",2008,1943,"Kvaenangen",1
"51",2008,2012,"Alta",0.66
"52",2008,2014,"Loppa",0.932
"53",2008,2030,"Sor-Varanger",1
"54",2009,1804,"Bodo",1
"55",2009,1812,"Somna",1
"56",2009,1813,"Bronnoy",0.66
"57",2009,1818,"Heroy",0.83
"58",2009,1820,"Alstahaug",0.83
"59",2009,1827,"Donna",1
"60",2009,1834,"Luroy",0.66
"61",2009,1835,"Traena",1
"62",2009,1836,"Rodoy",0.83
"63",2009,1837,"Meloy",0.745
"64",2009,1838,"Gildeskal",0.8725
