Year,totprop_biomass_polluted,momb_score,Komnum_new,Kommune_new,momb_gapfilled,gapfilled
2010,0,NA,1820,Alstahaug,1,y
2011,0,1,1820,Alstahaug,1,n
2012,0,1,1820,Alstahaug,1,n
2013,0,1,1820,Alstahaug,1,n
2014,0,1,1820,Alstahaug,1,n
2015,0,1,1820,Alstahaug,1,n
2018,0,NA,1820,Alstahaug,1,y
2005,NA,NA,1820,Alstahaug,1,y
2006,NA,NA,1820,Alstahaug,1,y
2007,NA,NA,1820,Alstahaug,1,y
2008,NA,NA,1820,Alstahaug,1,y
2009,NA,NA,1820,Alstahaug,1,y
2016,NA,NA,1820,Alstahaug,1,y
2017,NA,NA,1820,Alstahaug,1,y
2010,0.49664429530201343,NA,2012,Alta,0.8718261236245668,y
2011,0.308237378210806,0.7317061088290603,2012,Alta,0.7317061088290603,n
2012,0,0.8972542072630647,2012,Alta,0.8972542072630647,n
2013,0,0.9599710134925291,2012,Alta,0.9599710134925291,n
2014,0.12008695952241279,0.8758067181562784,2012,Alta,0.8758067181562784,n
2015,0.25249288600875197,0.8758067181562784,2012,Alta,0.8758067181562784,n
2017,0,0.8904119758501899,2012,Alta,0.8904119758501899,n
2018,0.07627118644067797,NA,2012,Alta,0.8718261236245668,y
2005,NA,NA,2012,Alta,0.8718261236245668,y
2006,NA,NA,2012,Alta,0.8718261236245668,y
2007,NA,NA,2012,Alta,0.8718261236245668,y
2008,NA,NA,2012,Alta,0.8718261236245668,y
2009,NA,NA,2012,Alta,0.8718261236245668,y
2016,NA,NA,2012,Alta,0.8718261236245668,y
2011,0,NA,1854,Ballangen,1,y
2012,0,1,1854,Ballangen,1,n
2014,0,1,1854,Ballangen,1,n
2017,0,1,1854,Ballangen,1,n
2018,0,NA,1854,Ballangen,1,y
2005,NA,NA,1854,Ballangen,1,y
2006,NA,NA,1854,Ballangen,1,y
2007,NA,NA,1854,Ballangen,1,y
2008,NA,NA,1854,Ballangen,1,y
2009,NA,NA,1854,Ballangen,1,y
2010,NA,NA,1854,Ballangen,1,y
2013,NA,NA,1854,Ballangen,1,y
2015,NA,NA,1854,Ballangen,1,y
2016,NA,NA,1854,Ballangen,1,y
2010,0,NA,1929,Berg,1,y
2012,0,1,1929,Berg,1,n
2013,0,1,1929,Berg,1,n
2014,0,1,1929,Berg,1,n
2015,0,1,1929,Berg,1,n
2017,0,1,1929,Berg,1,n
2018,0,NA,1929,Berg,1,y
2005,NA,NA,1929,Berg,1,y
2006,NA,NA,1929,Berg,1,y
2007,NA,NA,1929,Berg,1,y
2008,NA,NA,1929,Berg,1,y
2009,NA,NA,1929,Berg,1,y
2011,NA,NA,1929,Berg,1,y
2016,NA,NA,1929,Berg,1,y
2010,0,NA,1811,Bindal,0.8950685663767758,y
2011,0,1,1811,Bindal,1,n
2012,0,1,1811,Bindal,1,n
2014,0,1,1811,Bindal,1,n
2015,0,0.821542383683875,1811,Bindal,0.821542383683875,n
2017,0.5353728489483748,0.653800448200004,1811,Bindal,0.653800448200004,n
2018,0.503225806451613,NA,1811,Bindal,0.8950685663767758,y
2005,NA,NA,1811,Bindal,0.8950685663767758,y
2006,NA,NA,1811,Bindal,0.8950685663767758,y
2007,NA,NA,1811,Bindal,0.8950685663767758,y
2008,NA,NA,1811,Bindal,0.8950685663767758,y
2009,NA,NA,1811,Bindal,0.8950685663767758,y
2013,NA,NA,1811,Bindal,0.8950685663767758,y
2016,NA,NA,1811,Bindal,0.8950685663767758,y
2010,0.4666666666666667,NA,1867,Bo,0.5680690875383969,y
2011,0.33333333333333337,0.6857142857142856,1867,Bo,0.6857142857142856,n
2012,0.14285714285714285,0.6383712905452036,1867,Bo,0.6383712905452036,n
2013,0.6086956521739131,0.5926196565582754,1867,Bo,0.5926196565582754,n
2014,0.47058823529411764,0.5069053708439897,1867,Bo,0.5069053708439897,n
2015,0.4,0.47647058823529403,1867,Bo,0.47647058823529403,n
2017,0.7,0.5083333333333333,1867,Bo,0.5083333333333333,n
