"","Kommune","Kommunenummer","Ar","Uke","tot_loc","key"
"1","Alstahaug",1820,2012,1,5,"Alstahaug _ 2012 _ 1"
"2","Alstahaug",1820,2012,2,5,"Alstahaug _ 2012 _ 2"
"3","Alstahaug",1820,2012,3,5,"Alstahaug _ 2012 _ 3"
"4","Alstahaug",1820,2012,4,5,"Alstahaug _ 2012 _ 4"
"5","Alstahaug",1820,2012,5,5,"Alstahaug _ 2012 _ 5"
"6","Alstahaug",1820,2012,6,5,"Alstahaug _ 2012 _ 6"
"7","Alstahaug",1820,2012,7,5,"Alstahaug _ 2012 _ 7"
"8","Alstahaug",1820,2012,8,5,"Alstahaug _ 2012 _ 8"
"9","Alstahaug",1820,2012,9,5,"Alstahaug _ 2012 _ 9"
"10","Alstahaug",1820,2012,10,5,"Alstahaug _ 2012 _ 10"
"11","Alstahaug",1820,2012,11,5,"Alstahaug _ 2012 _ 11"
"12","Alstahaug",1820,2012,12,5,"Alstahaug _ 2012 _ 12"
"13","Alstahaug",1820,2012,13,5,"Alstahaug _ 2012 _ 13"
"14","Alstahaug",1820,2012,14,5,"Alstahaug _ 2012 _ 14"
"15","Alstahaug",1820,2012,15,5,"Alstahaug _ 2012 _ 15"
"16","Alstahaug",1820,2012,16,5,"Alstahaug _ 2012 _ 16"
"17","Alstahaug",1820,2012,17,5,"Alstahaug _ 2012 _ 17"
"18","Alstahaug",1820,2012,18,5,"Alstahaug _ 2012 _ 18"
"19","Alstahaug",1820,2012,19,5,"Alstahaug _ 2012 _ 19"
"20","Alstahaug",1820,2012,20,5,"Alstahaug _ 2012 _ 20"
"21","Alstahaug",1820,2012,21,5,"Alstahaug _ 2012 _ 21"
"22","Alstahaug",1820,2012,22,5,"Alstahaug _ 2012 _ 22"
"23","Alstahaug",1820,2012,23,5,"Alstahaug _ 2012 _ 23"
"24","Alstahaug",1820,2012,24,5,"Alstahaug _ 2012 _ 24"
"25","Alstahaug",1820,2012,25,5,"Alstahaug _ 2012 _ 25"
"26","Alstahaug",1820,2012,26,5,"Alstahaug _ 2012 _ 26"
"27","Alstahaug",1820,2012,27,5,"Alstahaug _ 2012 _ 27"
"28","Alstahaug",1820,2012,28,5,"Alstahaug _ 2012 _ 28"
"29","Alstahaug",1820,2012,29,5,"Alstahaug _ 2012 _ 29"
"30","Alstahaug",1820,2012,30,5,"Alstahaug _ 2012 _ 30"
"31","Alstahaug",1820,2012,31,5,"Alstahaug _ 2012 _ 31"
"32","Alstahaug",1820,2012,32,5,"Alstahaug _ 2012 _ 32"
"33","Alstahaug",1820,2012,33,5,"Alstahaug _ 2012 _ 33"
"34","Alstahaug",1820,2012,34,5,"Alstahaug _ 2012 _ 34"
"35","Alstahaug",1820,2012,35,5,"Alstahaug _ 2012 _ 35"
"36","Alstahaug",1820,2012,36,5,"Alstahaug _ 2012 _ 36"
"37","Alstahaug",1820,2012,37,5,"Alstahaug _ 2012 _ 37"
"38","Alstahaug",1820,2012,38,5,"Alstahaug _ 2012 _ 38"
"39","Alstahaug",1820,2012,39,5,"Alstahaug _ 2012 _ 39"
"40","Alstahaug",1820,2012,40,5,"Alstahaug _ 2012 _ 40"
"41","Alstahaug",1820,2012,41,5,"Alstahaug _ 2012 _ 41"
"42","Alstahaug",1820,2012,42,5,"Alstahaug _ 2012 _ 42"
"43","Alstahaug",1820,2012,43,5,"Alstahaug _ 2012 _ 43"
"44","Alstahaug",1820,2012,44,5,"Alstahaug _ 2012 _ 44"
"45","Alstahaug",1820,2012,45,5,"Alstahaug _ 2012 _ 45"
"46","Alstahaug",1820,2012,46,5,"Alstahaug _ 2012 _ 46"
"47","Alstahaug",1820,2012,47,5,"Alstahaug _ 2012 _ 47"
"48","Alstahaug",1820,2012,48,5,"Alstahaug _ 2012 _ 48"
"49","Alstahaug",1820,2012,49,5,"Alstahaug _ 2012 _ 49"
"50","Alstahaug",1820,2012,50,5,"Alstahaug _ 2012 _ 50"
"51","Alstahaug",1820,2012,51,5,"Alstahaug _ 2012 _ 51"
"52","Alstahaug",1820,2012,52,5,"Alstahaug _ 2012 _ 52"
"53","Alstahaug",1820,2013,1,5,"Alstahaug _ 2013 _ 1"
"54","Alstahaug",1820,2013,2,5,"Alstahaug _ 2013 _ 2"
"55","Alstahaug",1820,2013,3,5,"Alstahaug _ 2013 _ 3"
"56","Alstahaug",1820,2013,4,5,"Alstahaug _ 2013 _ 4"
"57","Alstahaug",1820,2013,5,5,"Alstahaug _ 2013 _ 5"
"58","Alstahaug",1820,2013,6,5,"Alstahaug _ 2013 _ 6"
"59","Alstahaug",1820,2013,7,5,"Alstahaug _ 2013 _ 7"
"60","Alstahaug",1820,2013,8,5,"Alstahaug _ 2013 _ 8"
"61","Alstahaug",1820,2013,9,5,"Alstahaug _ 2013 _ 9"
"62","Alstahaug",1820,2013,10,5,"Alstahaug _ 2013 _ 10"
"63","Alstahaug",1820,2013,11,5,"Alstahaug _ 2013 _ 11"
"64","Alstahaug",1820,2013,12,5,"Alstahaug _ 2013 _ 12"
"65","Alstahaug",1820,2013,13,5,"Alstahaug _ 2013 _ 13"
"66","Alstahaug",1820,2013,14,5,"Alstahaug _ 2013 _ 14"
"67","Alstahaug",1820,2013,15,5,"Alstahaug _ 2013 _ 15"
"68","Alstahaug",1820,2013,16,5,"Alstahaug _ 2013 _ 16"
"69","Alstahaug",1820,2013,17,5,"Alstahaug _ 2013 _ 17"
"70","Alstahaug",1820,2013,18,5,"Alstahaug _ 2013 _ 18"
"71","Alstahaug",1820,2013,19,5,"Alstahaug _ 2013 _ 19"
"72","Alstahaug",1820,2013,20,5,"Alstahaug _ 2013 _ 20"
"73","Alstahaug",1820,2013,21,5,"Alstahaug _ 2013 _ 21"
"74","Alstahaug",1820,2013,22,5,"Alstahaug _ 2013 _ 22"
"75","Alstahaug",1820,2013,23,5,"Alstahaug _ 2013 _ 23"
"76","Alstahaug",1820,2013,24,5,"Alstahaug _ 2013 _ 24"
"77","Alstahaug",1820,2013,25,5,"Alstahaug _ 2013 _ 25"
"78","Alstahaug",1820,2013,26,5,"Alstahaug _ 2013 _ 26"
"79","Alstahaug",1820,2013,27,5,"Alstahaug _ 2013 _ 27"
"80","Alstahaug",1820,2013,28,5,"Alstahaug _ 2013 _ 28"
"81","Alstahaug",1820,2013,29,5,"Alstahaug _ 2013 _ 29"
"82","Alstahaug",1820,2013,30,5,"Alstahaug _ 2013 _ 30"
"83","Alstahaug",1820,2013,31,5,"Alstahaug _ 2013 _ 31"
"84","Alstahaug",1820,2013,32,5,"Alstahaug _ 2013 _ 32"
"85","Alstahaug",1820,2013,33,5,"Alstahaug _ 2013 _ 33"
"86","Alstahaug",1820,2013,34,5,"Alstahaug _ 2013 _ 34"
"87","Alstahaug",1820,2013,35,5,"Alstahaug _ 2013 _ 35"
"88","Alstahaug",1820,2013,36,5,"Alstahaug _ 2013 _ 36"
"89","Alstahaug",1820,2013,37,5,"Alstahaug _ 2013 _ 37"
"90","Alstahaug",1820,2013,38,5,"Alstahaug _ 2013 _ 38"
"91","Alstahaug",1820,2013,39,5,"Alstahaug _ 2013 _ 39"
