"","Year","Kommune.x","Komnum","examinations","Kommune.y","nlocs"
"1",2010,"Alstahaug",1820,1,"ALSTAHAUG",18
"2",2010,"Alta",2012,5,"ALTA",25
"3",2010,"Berg",1929,1,"BERG",4
"4",2010,"Bindal",1811,3,"BINDAL",14
"5",2010,"Bo",1867,5,"BØ I NORDLAND",13
"6",2010,"Bronnoy",1813,3,"BRØNNØY",22
"7",2010,"Donna",1827,2,"DØNNA",15
"8",2010,"Dyroy",1926,2,"DYRØY",19
"9",2010,"Flakstad",1859,1,"FLAKSTAD",9
"10",2010,"Gildeskal",1838,1,"GILDESKÅL",22
"11",2010,"Hadsel",1866,3,"HADSEL",19
"12",2010,"Hamaroy",1849,1,"HAMARØY",22
"13",2010,"Hammerfest",2004,2,"HAMMERFEST",12
"14",2010,"Heroy",1818,1,"HERØY I NORDLAND",31
"15",2010,"Karlsoy",1936,2,"KARLSØY",15
"16",2010,"Kvaefjord",1911,1,"KVÆFJORD",7
"17",2010,"Kvaenangen",1943,2,"KVÆNANGEN",18
"18",2010,"Kvalsund",2017,3,"KVALSUND",12
"19",2010,"Lavangen",1920,1,"LAVANGEN",5
"20",2010,"Lebesby",2022,1,"LEBESBY",13
"21",2010,"Lenvik",1931,1,"LENVIK",8
"22",2010,"Loppa",2014,5,"LOPPA",13
"23",2010,"Luroy",1834,7,"LURØY",31
"24",2010,"Masoy",2018,3,"MÅSØY",15
"25",2010,"Meloy",1837,3,"MELØY",21
"26",2010,"Nesna",1828,1,"NESNA",7
"27",2010,"Nordkapp",2019,2,"NORDKAPP",7
"28",2010,"Nordreisa",1942,3,"NORDREISA",16
"29",2010,"Oksnes",1868,2,"ØKSNES",26
"30",2010,"Rodoy",1836,5,"RØDØY",15
"31",2010,"Salangen",1923,1,"SALANGEN",6
"32",2010,"Skjervoy",1941,3,"SKJERVØY",18
"33",2010,"Somna",1812,1,"SØMNA",9
"34",2010,"Sorfold",1845,2,"SØRFOLD",8
"35",2010,"Sortland",1870,1,"SORTLAND",11
"36",2010,"Steigen",1848,5,"STEIGEN",12
"37",2010,"Torsken",1928,3,"TORSKEN",22
"38",2010,"Tranoy",1927,3,"TRANØY",21
"39",2010,"Tromso",1902,3,"TROMSØ",33
"40",2010,"Tysfjord",1850,2,"TYSFJORD",17
"41",2010,"Vagan",1865,5,"VÅGAN",20
"42",2010,"Vega",1815,1,"VEGA",6
"43",2010,"Vestvagoy",1860,2,"VESTVÅGØY",24
"44",2011,"Alstahaug",1820,2,"ALSTAHAUG",19
"45",2011,"Alta",2012,15,"ALTA",25
"46",2011,"Ballangen",1854,2,"BALLANGEN",4
"47",2011,"Batsfjord",2028,1,"BÅTSFJORD",9
"48",2011,"Bindal",1811,2,"BINDAL",17
"49",2011,"Bo",1867,5,"BØ I NORDLAND",13
"50",2011,"Bodo",1804,1,"BODØ",17
"51",2011,"Bronnoy",1813,4,"BRØNNØY",22
"52",2011,"Donna",1827,6,"DØNNA",18
"53",2011,"Dyroy",1926,1,"DYRØY",17
"54",2011,"Fauske",1841,2,"FAUSKE",6
"55",2011,"Gildeskal",1838,6,"GILDESKÅL",22
"56",2011,"Hadsel",1866,5,"HADSEL",19
"57",2011,"Hamaroy",1849,2,"HAMARØY",22
"58",2011,"Hammerfest",2004,6,"HAMMERFEST",12
"59",2011,"Heroy",1818,2,"HERØY I NORDLAND",30
"60",2011,"Ibestad",1917,3,"IBESTAD",11
"61",2011,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",5
"62",2011,"Karlsoy",1936,4,"KARLSØY",16
"63",2011,"Kvaefjord",1911,1,"KVÆFJORD",7
"64",2011,"Kvaenangen",1943,4,"KVÆNANGEN",19
"65",2011,"Kvalsund",2017,3,"KVALSUND",12
"66",2011,"Lebesby",2022,2,"LEBESBY",13
"67",2011,"Lenvik",1931,2,"LENVIK",8
"68",2011,"Lodingen",1851,3,"LØDINGEN",10
"69",2011,"Loppa",2014,6,"LOPPA",13
"70",2011,"Luroy",1834,3,"LURØY",30
"71",2011,"Lyngen",1938,1,"LYNGEN",7
"72",2011,"Masoy",2018,1,"MÅSØY",12
"73",2011,"Meloy",1837,2,"MELØY",21
"74",2011,"Nesna",1828,2,"NESNA",7
"75",2011,"Nesseby",2027,2,"UNJARGGA-NESSEBY",8
"76",2011,"Nordkapp",2019,2,"NORDKAPP",9
"77",2011,"Oksnes",1868,6,"ØKSNES",25
"78",2011,"Rodoy",1836,3,"RØDØY",15
"79",2011,"Skjervoy",1941,3,"SKJERVØY",19
"80",2011,"Somna",1812,1,"SØMNA",9
"81",2011,"Sor-Varanger",2030,1,"SØR-VARANGER",13
"82",2011,"Sorfold",1845,3,"SØRFOLD",8
"83",2011,"Sortland",1870,4,"SORTLAND",9
"84",2011,"Steigen",1848,8,"STEIGEN",10
"85",2011,"Torsken",1928,4,"TORSKEN",20
"86",2011,"Traena",1835,1,"TRÆNA",8
"87",2011,"Tranoy",1927,5,"TRANØY",21
"88",2011,"Tromso",1902,6,"TROMSØ",33
"89",2011,"Tysfjord",1850,1,"TYSFJORD",19
"90",2011,"Vagan",1865,4,"VÅGAN",21
"91",2011,"Vestvagoy",1860,2,"VESTVÅGØY",28
"92",2012,"Alstahaug",1820,2,"ALSTAHAUG",20
"93",2012,"Alta",2012,11,"ALTA",25
"94",2012,"Ballangen",1854,1,"BALLANGEN",6
"95",2012,"Berg",1929,1,"BERG",8
"96",2012,"Bindal",1811,2,"BINDAL",19
"97",2012,"Bo",1867,6,"BØ I NORDLAND",9
"98",2012,"Bodo",1804,1,"BODØ",16
"99",2012,"Bronnoy",1813,3,"BRØNNØY",21
"100",2012,"Donna",1827,2,"DØNNA",15
"101",2012,"Dyroy",1926,2,"DYRØY",16
"102",2012,"Gildeskal",1838,6,"GILDESKÅL",21
"103",2012,"Hadsel",1866,5,"HADSEL",24
"104",2012,"Hamaroy",1849,1,"HAMARØY",4
"105",2012,"Hammerfest",2004,1,"HAMMERFEST",11
"106",2012,"Heroy",1818,4,"HERØY I NORDLAND",33
"107",2012,"Ibestad",1917,4,"IBESTAD",17
"108",2012,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",5
"109",2012,"Karlsoy",1936,2,"KARLSØY",17
"110",2012,"Kvaefjord",1911,2,"KVÆFJORD",6
"111",2012,"Kvaenangen",1943,1,"KVÆNANGEN",20
