"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"1",2006,"Nordland",1820,"Alstahaug",2547282.4392,2690900,1.2919824295079,1.2919824295079,1,0.923076923076923,0.923076923076923,NA,1,0.973671888167438,397.61,6406.48484494857,107012.283562146,0.0598668174502426,5.8290637185353
"2",2007,"Nordland",1820,"Alstahaug",3014414.87464,4419500,1.37651251017426,1.37651251017426,1,NA,0.904679139948662,NA,1,0.967159700647612,397.61,7581.33566721159,135874.461723506,0.0557966196961943,5.39642420025199
"3",2008,"Nordland",1820,"Alstahaug",6669238.76624,6619678,1.28814565946673,1.28814565946673,1,0.833333333333333,0.833333333333333,NA,1,0.941036028881029,397.61,16773.3174875883,164736.639884867,0.101818985134765,9.58153334359153
"4",2009,"Nordland",1820,"Alstahaug",6387968.73048,10947412,1.24147946044329,1.24147946044329,1,0.9,0.9,NA,1,0.96548938460563,397.61,16065.9156723422,181971.835391191,0.088287924545053,8.52410539371115
"5",2010,"Nordland",1820,"Alstahaug",7273308.52632,8043951,1.35130646069935,1.27685660916767,0.944905279670493,0.916666666666667,0.916666666666667,0,1,0.953234835209156,397.61,18292.569418073,88338.494172657,0.207073593334297,19.7389762618187
"6",2011,"Nordland",1820,"Alstahaug",6807757.68288,8057122,1.31299138677918,1.29053062695158,0.982893444653356,NA,0.904679139948662,0,1,0.961613027568883,397.61,17121.6963428485,121986.97818055,0.140356754452161,13.4968883588485
"7",2012,"Nordland",1820,"Alstahaug",9545097.30552,8208776,1.26483352852117,1.26235960493737,0.998044071786511,0.808510638297872,0.808510638297872,0,1,0.930990292697499,397.61,24006.1801904379,125686.780826335,0.191000040199994,17.7819183331026
"8",2013,"Nordland",1820,"Alstahaug",5116063.80368,7159576,1.29737123355564,1.19861379343724,0.923878811581367,0.938636363636364,0.938636363636364,0,1,0.953609994359675,397.61,12867.04007364,188225.773299608,0.0683596079754654,6.51884053759132
"9",2014,"Nordland",1820,"Alstahaug",8210021.81864,8035446,1.2706993399476,1.15775147187438,0.9111136171064,0.706322529011605,0.706322529011605,0,1,0.863359884244303,397.61,20648.4289093333,113206.377398058,0.182396340064208,15.7473683044419
"10",2015,"Nordland",1820,"Alstahaug",7430967.71504,6493422,1.26086687479015,1.26086687479015,1,1,1,0,1,1,397.61,18689.086579915,134594.780267383,0.138854467779416,13.8854467779416
