yrs,knr2017,kname,county,totalarea,landarea,seaarea,trout_prod_kg,salmo_prod_kg,feed_used_kg,total_prod,protein_eff
1994,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
1995,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
1996,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
1997,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
1998,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
1999,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2000,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2001,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2002,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2003,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2004,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2005,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,407784,425852,407784,0.3213947740506319
2006,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,1171124,1739372,1171124,0.22598401839388932
2007,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,907738,1615891,907738,0.18854532769903715
2008,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,0,59185,0,NA
2009,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,0,344639,0,NA
2010,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,604949,2374241,604949,0.08551873795865587
2011,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,1666657,772045,1666657,0.7245542970206936
2012,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,0,817942,0,NA
2013,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,1145302,3997971,1145302,0.09614964828952938
2014,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,2661836,1517740,2661836,0.5886419845614485
2015,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
2016,1804,Bodo,Nordland,4826.7,1395.25,3431.45,NA,NA,NA,0,NA
1994,1805,Narvik,Nordland,2223.59,2022.98,200.61,NA,NA,NA,0,NA
1995,1805,Narvik,Nordland,2223.59,2022.98,200.61,NA,NA,NA,0,NA
1996,1805,Narvik,Nordland,2223.59,2022.98,200.61,NA,NA,NA,0,NA
1997,1805,Narvik,Nordland,2223.59,2022.98,200.61,NA,NA,NA,0,NA
