"year","kommunenr","kommune","production_final_correctweight","county","efcr_region","ref_efcr","efcr_score"
2006,2004,"Hammerfest",1075346.97312,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,2012,"Alta",12813447.61032,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,2014,"Loppa",6396495.74004,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,2017,"Kvalsund",2529845.0436,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,2019,"Nordkapp",108495.53568,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,2027,"Nesseby",NA,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,2030,"Sor-Varanger",710198.89668,"Finnmark",1.25548717083127,1.17422373632855,0.935273385192051
2006,1902,"Tromso",3857348.45328,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1903,"Harstad",3155776.89,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1911,"Kvaefjord",3739759.99824,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1913,"Skanland",5281165.3944,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1917,"Ibestad",3814610.73504,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1919,"Gratangen",NA,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1920,"Lavangen",1895948.55744,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1923,"Salangen",430361.21016,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1926,"Dyroy",2678131.4574,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1927,"Tranoy",3768127.839,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1928,"Torsken",7288314.43536,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1929,"Berg",2501218.57188,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1931,"Lenvik",1825784.21592,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1936,"Karlsoy",5019853.75164,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1938,"Lyngen",727017.36828,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1940,"Kafjord",1688486.2764,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1941,"Skjervoy",6340336.37244,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1942,"Nordreisa",4198085.13936,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1943,"Kvaenangen",3754475.03004,"Troms",1.32325850614146,1.17422373632855,0.887372898703305
2006,1804,"Bodo",1314669.45204,"Nordland",1.17422373632855,1.17422373632855,1
2006,1811,"Bindal",3867947.92692,"Nordland",1.17422373632855,1.17422373632855,1
2006,1812,"Somna",3122295.91884,"Nordland",1.17422373632855,1.17422373632855,1
2006,1813,"Bronnoy",2600538.79848,"Nordland",1.17422373632855,1.17422373632855,1
2006,1815,"Vega",1433244.43332,"Nordland",1.17422373632855,1.17422373632855,1
2006,1816,"Vevelstad",4109032.39656,"Nordland",1.17422373632855,1.17422373632855,1
2006,1818,"Heroy",5335190.84028,"Nordland",1.17422373632855,1.17422373632855,1
2006,1820,"Alstahaug",2524544.0556,"Nordland",1.17422373632855,1.17422373632855,1
2006,1824,"Vefsn",1348318.21824,"Nordland",1.17422373632855,1.17422373632855,1
2006,1827,"Donna",780624.74952,"Nordland",1.17422373632855,1.17422373632855,1
2006,1828,"Nesna",844529.62356,"Nordland",1.17422373632855,1.17422373632855,1
2006,1833,"Rana",779902.42008,"Nordland",1.17422373632855,1.17422373632855,1
2006,1834,"Luroy",10317834.23244,"Nordland",1.17422373632855,1.17422373632855,1
2006,1835,"Traena",369847.78404,"Nordland",1.17422373632855,1.17422373632855,1
2006,1836,"Rodoy",11212650.0906,"Nordland",1.17422373632855,1.17422373632855,1
2006,1837,"Meloy",5014864.76148,"Nordland",1.17422373632855,1.17422373632855,1
2006,1838,"Gildeskal",7359615.05076,"Nordland",1.17422373632855,1.17422373632855,1
2006,1840,"Saltdal",228726.86508,"Nordland",1.17422373632855,1.17422373632855,1
2006,1841,"Fauske",1949160.80184,"Nordland",1.17422373632855,1.17422373632855,1
2006,1845,"Sorfold",4379726.88888,"Nordland",1.17422373632855,1.17422373632855,1
2006,1848,"Steigen",10252056.38268,"Nordland",1.17422373632855,1.17422373632855,1
2006,1849,"Hamaroy",327335.86032,"Nordland",1.17422373632855,1.17422373632855,1
2006,1850,"Tysfjord",772522.00704,"Nordland",1.17422373632855,1.17422373632855,1
2006,1851,"Lodingen",4125472.9194,"Nordland",1.17422373632855,1.17422373632855,1
2006,1854,"Ballangen",727757.26464,"Nordland",1.17422373632855,1.17422373632855,1
2006,1859,"Flakstad",2438340.0342,"Nordland",1.17422373632855,1.17422373632855,1
2006,1860,"Vestvagoy",867143.07288,"Nordland",1.17422373632855,1.17422373632855,1
2006,1865,"Vagan",6893720.9964,"Nordland",1.17422373632855,1.17422373632855,1
2006,1866,"Hadsel",5157250.55496,"Nordland",1.17422373632855,1.17422373632855,1
2006,1867,"Bo",3140746.28028,"Nordland",1.17422373632855,1.17422373632855,1
2006,1868,"Oksnes",5847554.7942,"Nordland",1.17422373632855,1.17422373632855,1
2006,1870,"Sortland",3505594.09788,"Nordland",1.17422373632855,1.17422373632855,1
2007,2004,"Hammerfest",6062160.867,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,2012,"Alta",12172588.33392,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,2014,"Loppa",5244909.88644,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,2017,"Kvalsund",1155363.26808,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,2019,"Nordkapp",933071.1054,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,2027,"Nesseby",93315.92844,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,2030,"Sor-Varanger",1681894.77792,"Finnmark",1.23832526577447,1.22505305372734,0.989282127713979
2007,1902,"Tromso",5625667.3536,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
2007,1903,"Harstad",854320.1268,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
2007,1911,"Kvaefjord",5267902.80492,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
2007,1913,"Skanland",4769531.088,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
2007,1917,"Ibestad",1585300.98888,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
2007,1919,"Gratangen",1870222.32768,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
2007,1920,"Lavangen",NA,"Troms",1.37265625670187,1.22505305372734,0.892468924937423
