yrs,knr2017,kname,county,totalarea,landarea,seaarea,trout_prod_kg,salmo_prod_kg,avg_bm_trout_kg,avg_bm_salmo_kg,dbm_trout_kg,dbm_salmo_kg,total_production,total_prod_corrected
2005,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,407784,0,200967,0,-24654,383130,383130
2006,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,1171124,0,813016,0,340199,1511323,1511323
2007,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,907738,0,958822,0,-1203269,-295531,0
2008,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,0,0,25966,0,0,0,0
2009,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,0,93265,84906,0,757502,757502,757502
2010,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,604949,0,994708,0,1251181,1856130,1856130
2011,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,1666657,0,828221,0,-1911281,-244624,0
2012,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,0,0,264673,0,1024401,1024401,1024401
2013,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,1145302,0,1603093,0,2308104,3453406,3453406
2014,1804,Bodo,Nordland,4826.7,1395.25,3431.45,0,2661836,0,703720,0,-727955,1933881,1933881
2005,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,0,0,0,0,0
2006,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,0,0,0,0,0
2007,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,0,0,0,0,0
2008,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,0,0,0,0,0
2009,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,0,0,0,0,0
2010,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,0,0,0,0,0
2011,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,0,0,152027,0,716692,716692,716692
2012,1805,Narvik,Nordland,2223.59,2022.98,200.61,0,2877215,0,1664471,0,756700,3633915,3633915
