"year","county","municip_number","municip","production_final","feed_kg","efcr_municip"
2006,"Finnmark",2004,"Hammerfest",996864.37184,1217960,1.221791082524
2006,"Finnmark",2012,"Alta",13095054.18224,19458582,1.48594894906128
2006,"Finnmark",2014,"Loppa",7172847.19528,9962016,1.38885099999835
2006,"Finnmark",2017,"Kvalsund",2650313.8552,3351825,1.26468983793131
2006,"Finnmark",2019,"Nordkapp",99961.98976,123468,1.23514948328295
2006,"Finnmark",2027,"Nesseby",-222567.58568,130929,NA
2006,"Finnmark",2030,"Sor-Varanger",695983.09176,761459,1.09407686625608
2006,"Troms",1902,"Tromso",3973506.41296,6188515,1.55744432167406
2006,"Troms",1903,"Harstad",3182648.28,5941257,1.86676518336484
2006,"Troms",1911,"Kvaefjord",3804012.60768,6322215,1.66198581656537
2006,"Troms",1913,"Skanland",5453629.4608,8432735,1.54626108367161
2006,"Troms",1917,"Ibestad",3955807.76528,5193959,1.31299580469689
2006,"Troms",1919,"Gratangen",1630754.93312,2712326,1.66323335586096
2006,"Troms",1920,"Lavangen",2453791.66208,2935542,1.19632894893433
2006,"Troms",1923,"Salangen",450854.60112,975337,2.16330718945109
2006,"Troms",1926,"Dyroy",2629478.7268,3826335,1.45516864654636
2006,"Troms",1927,"Tranoy",3738925.298,5629887,1.50575006219341
2006,"Troms",1928,"Torsken",7911249.72752,8518966,1.07681672218815
2006,"Troms",1929,"Berg",2808754.85816,6568715,2.33865728114953
2006,"Troms",1931,"Lenvik",1912726.32144,1600900,0.836972849725181
2006,"Troms",1936,"Karlsoy",5162228.40648,6441723,1.24785702854873
2006,"Troms",1938,"Lyngen",656093.44296,1598630,2.43658889926974
2006,"Troms",1940,"Kafjord",1661153.3848,2416751,1.45486324268061
2006,"Troms",1941,"Skjervoy",8433260.29208,9411090,1.11594919094793
2006,"Troms",1942,"Nordreisa",4267807.95552,6297215,1.47551508072315
2006,"Troms",1943,"Kvaenangen",4518507.93528,6804103,1.50582960071273
2006,"Nordland",1804,"Bodo",1377272.75928,1739372,1.26291033368677
2006,"Nordland",1811,"Bindal",4001198.72344,4124646,1.03085257321433
2006,"Nordland",1812,"Somna",3239827.67688,4093839,1.2635977614533
2006,"Nordland",1813,"Bronnoy",2603238.87936,3555140,1.36566030424147
2006,"Nordland",1815,"Vega",1501494.16824,2003500,1.3343375168406
2006,"Nordland",1816,"Vevelstad",4176280.70592,5216731,1.24913322818678
2006,"Nordland",1818,"Heroy",6680206.08696,7911931,1.18438426853991
2006,"Nordland",1820,"Alstahaug",2547282.4392,2690900,1.05638069755826
2006,"Nordland",1824,"Vefsn",1515523.44768,2491000,1.64365652264456
2006,"Nordland",1827,"Donna",721073.45664,861159,1.19427360981052
2006,"Nordland",1828,"Nesna",866454.71992,1046825,1.20817046284502
2006,"Nordland",1833,"Rana",746864.63056,1127500,1.50964439051639
2006,"Nordland",1834,"Luroy",12037893.29208,11731972,0.974586808118554
2006,"Nordland",1835,"Traena",515000.34328,1474500,2.86310488767642
2006,"Nordland",1836,"Rodoy",11853991.4692,15691520,1.32373302619383
2006,"Nordland",1837,"Meloy",5084735.64536,6536083,1.2854322143501
2006,"Nordland",1838,"Gildeskal",7602980.71032,10928195,1.43735666528346
2006,"Nordland",1840,"Saltdal",204918.62056,305514,1.49090404359103
2006,"Nordland",1841,"Fauske",2003911.38288,2441565,1.21839968616327
2006,"Nordland",1845,"Sorfold",6586442.09216,6623002,1.00555078255125
2006,"Nordland",1848,"Steigen",10522818.44376,12818904,1.2182006245296
2006,"Nordland",1849,"Hamaroy",707026.36224,1237825,1.7507480146544
2006,"Nordland",1850,"Tysfjord",1371265.28928,1011064,0.737321952144557
2006,"Nordland",1851,"Lodingen",4298536.7108,5947243,1.38355058945005
2006,"Nordland",1854,"Ballangen",739661.77248,1113160,1.50495813277967
2006,"Nordland",1859,"Flakstad",2510282.7644,3249855,1.29461710293692
2006,"Nordland",1860,"Vestvagoy",914441.60016,3115758,3.40727937077101
2006,"Nordland",1865,"Vagan",7105063.7248,9030223,1.27095594772504
2006,"Nordland",1866,"Hadsel",5134071.91472,7700290,1.49984069719054
2006,"Nordland",1867,"Bo",3321397.78696,4661259,1.40340281380941
2006,"Nordland",1868,"Oksnes",5918049.7844,10403192,1.75787503975091
2006,"Nordland",1870,"Sortland",3797889.53016,5005755,1.3180359671465
2007,"Finnmark",2004,"Hammerfest",6142081.794,8145615,1.32619774096092
2007,"Finnmark",2012,"Alta",12485901.29744,18518323,1.48313866647311
2007,"Finnmark",2014,"Loppa",5343797.50008,9113491,1.70543344875317
2007,"Finnmark",2017,"Kvalsund",1110143.96656,1063448,0.957937017209852
2007,"Finnmark",2019,"Nordkapp",822503.0628,1146273,1.39363979520977
2007,"Finnmark",2027,"Nesseby",25230.24408,93519,3.70662288099434
2007,"Finnmark",2030,"Sor-Varanger",1648974.80544,2228741,1.35159190586014
2007,"Troms",1902,"Tromso",6555547.9752,8165682,1.24561394880965
2007,"Troms",1903,"Harstad",1258713.9376,4389752,3.48748978530418
2007,"Troms",1911,"Kvaefjord",6382082.93944,8608643,1.34887670399899
2007,"Troms",1913,"Skanland",5008334.576,6554603,1.3087390429964
2007,"Troms",1917,"Ibestad",1515787.91216,2054797,1.35559663955356
2007,"Troms",1919,"Gratangen",4321388.53376,5836552,1.3506195877559
2007,"Troms",1920,"Lavangen",-1756176.14192,1052201,NA
2007,"Troms",1923,"Salangen",-93061.11144,1625758,NA
2007,"Troms",1926,"Dyroy",7185923.9024,10278064,1.43030515485521
2007,"Troms",1927,"Tranoy",8740518.24152,11755458,1.34493832918947
2007,"Troms",1928,"Torsken",5811369.03264,7316969,1.25907836155365
2007,"Troms",1929,"Berg",865085.61408,3258979,3.76723291539862
2007,"Troms",1931,"Lenvik",1688515.04976,1415500,0.838310561816547
2007,"Troms",1936,"Karlsoy",3295296.54072,5229919,1.58708599829298
2007,"Troms",1938,"Lyngen",3510591.2864,5372027,1.53023424310634
2007,"Troms",1940,"Kafjord",4964040.05064,5577533,1.12358742941264
2007,"Troms",1941,"Skjervoy",6424503.16536,5899888,0.918341519669778
2007,"Troms",1942,"Nordreisa",4147402.09992,5793586,1.39691929078007
2007,"Troms",1943,"Kvaenangen",7439655.31424,6679453,0.897817535607473
2007,"Nordland",1804,"Bodo",126641.7856,1615891,12.759540560363
2007,"Nordland",1811,"Bindal",3797631.63912,4797859,1.26338188005822
2007,"Nordland",1812,"Somna",2294003.38832,3415278,1.48878507215334
2007,"Nordland",1813,"Bronnoy",4108736.32864,5345480,1.30100341624243
2007,"Nordland",1815,"Vega",1027929.97368,1179000,1.14696528964825
2007,"Nordland",1816,"Vevelstad",4532255.43192,6804301,1.50130571901979
2007,"Nordland",1818,"Heroy",2800050.1004,3981401,1.42190348645235
2007,"Nordland",1820,"Alstahaug",3014414.87464,4419500,1.46612201166497
2007,"Nordland",1824,"Vefsn",1069062.99616,1528000,1.42928901803586
