"","county","company","location_number","n"
"1","F","Grieg Seafood Finnmark AS","10665",1
"2","F","Hammerfest Lakseslakteri","-",1
"3","N","Bunes Fisk AS","10484",1
"4","N","Cermaq Norway AS","10484",1
"5","N","Mainstream Norway AS","13191",1
"6","N","Nordland Akva AS","26375",2
"7","N","Seafarm Invest AS","10893",3
"8","N","Smolten AS","11296",1
"9","N","Sundsfjord Smolt AS","29316",1
"10","N","Victoria Lady (brønnbåt)",NA,1
"11","T","Akvafarm AS","11426",1
"12","T","Havbruksstasjonen i Tromsø","10767",1
"13","T","Jøkelfjord Laks AS","-",1
"14","T","Sjølaks AS","10807",1
