"","landing_municip_numb","landing_municip","landing_county","year","local_landings_NOK","local_landings_tonnes","total_landings_NOK","total_landings_tonnes","proportion_local_NOK","proportion_local_tonnes","mean_NOK_per_tonnes","fishing_industry_yes_no"
"1",1820,"Alstahaug","Nordland","2019",0,0,0,0,0,0,0,0
"2",2012,"Alta","Finnmark","2019",3239.76036,93.92529,13665.41082,204.90753,23.7077421430935,45.8378908769239,66.6906229361117,1
"3",1871,"Andoy","Nordland","2019",117403.30031,7523.02213,310977.38888,17807.49899,37.7530021500385,42.2463712294727,17.4632826908839,1
"4",1854,"Ballangen","Nordland","2019",0,0,0,0,0,0,0,0
"5",1933,"Balsfjord","Troms","2019",0,0,0,0,0,0,0,0
"6",2028,"Batsfjord","Finnmark","2019",323161.92463,17612.97358,1455965.2338,81421.1056,22.1957171179536,21.6319508930864,17.8819143153468,1
"7",1929,"Berg","Troms","2019",38347.47334,2973.43604,488687.47987,37938.81138,7.8470341311386,7.83745175940723,12.8809380709175,1
"8",2024,"Berlevag","Finnmark","2019",113173.5011,6853.61638,225504.33921,15445.2771,50.1868396397497,44.3735410871975,14.6002132399425,1
"9",1811,"Bindal","Nordland","2019",1263.05533,104.53419,1694.0259,134.88399,74.5593871970907,77.4993310918516,12.5591324811788,1
"10",1867,"Bo","Nordland","2019",38396.10784,1889.43923,59873.02145,3075.123,64.1292303446964,61.442720502562,19.4701224796537,1
"11",1804,"Bodo","Nordland","2019",17606.24517,797.13093,40484.22478,3157.23071,43.489149824842,25.2477884329207,12.8227008092164,1
"12",1813,"Bronnoy","Nordland","2019",13807.01952,633.61791,21472.28577,19775.9662,64.3015823647917,3.20397953552328,1.0857768238904,1
"13",1827,"Donna","Nordland","2019",7411.42704,500.21106,21168.19168,1398.74831,35.0120933901143,35.7613343604326,15.1336673858072,1
"14",1926,"Dyroy","Troms","2019",0,0,0,0,0,0,0,0
"15",1853,"Evenes","Nordland","2019",0,0,0,0,0,0,0,0
"16",1841,"Fauske","Nordland","2019",0,0,0,0,0,0,0,0
"17",1859,"Flakstad","Nordland","2019",128702.87519,6226.84327,199582.35406,9561.93608,64.4860993829687,65.1211555683188,20.8725881861365,1
