"","municip_numb","year","county","part_time_occupation","main_occupation","municip_name"
"1",1820,"1990","Nordland",0,2,"Alstahaug"
"2",1820,"1991","Nordland",0,4,"Alstahaug"
"3",1820,"1992","Nordland",0,6,"Alstahaug"
"4",1820,"1993","Nordland",0,5,"Alstahaug"
"5",1820,"1994","Nordland",0,4,"Alstahaug"
"6",1820,"1995","Nordland",0,5,"Alstahaug"
"7",1820,"1996","Nordland",1,5,"Alstahaug"
"8",1820,"1997","Nordland",1,5,"Alstahaug"
"9",1820,"1998","Nordland",0,4,"Alstahaug"
"10",1820,"1999","Nordland",0,4,"Alstahaug"
"11",1820,"2000","Nordland",0,5,"Alstahaug"
"12",1820,"2001","Nordland",0,4,"Alstahaug"
"13",1820,"2002","Nordland",0,2,"Alstahaug"
"14",1820,"2003","Nordland",0,2,"Alstahaug"
"15",1820,"2004","Nordland",0,1,"Alstahaug"
"16",1820,"2005","Nordland",0,1,"Alstahaug"
"17",1820,"2006","Nordland",0,1,"Alstahaug"
"18",1820,"2007","Nordland",0,2,"Alstahaug"
"19",1820,"2008","Nordland",0,1,"Alstahaug"
"20",1820,"2009","Nordland",0,1,"Alstahaug"
"21",1820,"2010","Nordland",0,2,"Alstahaug"
"22",1820,"2011","Nordland",1,2,"Alstahaug"
"23",1820,"2012","Nordland",1,3,"Alstahaug"
"24",1820,"2013","Nordland",1,1,"Alstahaug"
"25",1820,"2014","Nordland",0,1,"Alstahaug"
"26",1820,"2015","Nordland",0,1,"Alstahaug"
"27",1820,"2016","Nordland",0,1,"Alstahaug"
"28",1820,"2017","Nordland",0,1,"Alstahaug"
"29",1820,"2018","Nordland",0,2,"Alstahaug"
"30",1820,"2019","Nordland",0,1,"Alstahaug"
"31",2012,"1990","Finnmark",5,5,"Alta"
"32",2012,"1991","Finnmark",4,6,"Alta"
"33",2012,"1992","Finnmark",6,7,"Alta"
"34",2012,"1993","Finnmark",10,6,"Alta"
"35",2012,"1994","Finnmark",10,7,"Alta"
"36",2012,"1995","Finnmark",9,4,"Alta"
"37",2012,"1996","Finnmark",8,4,"Alta"
"38",2012,"1997","Finnmark",7,5,"Alta"
"39",2012,"1998","Finnmark",8,6,"Alta"
"40",2012,"1999","Finnmark",9,6,"Alta"
"41",2012,"2000","Finnmark",10,6,"Alta"
"42",2012,"2001","Finnmark",8,4,"Alta"
"43",2012,"2002","Finnmark",7,4,"Alta"
"44",2012,"2003","Finnmark",8,5,"Alta"
"45",2012,"2004","Finnmark",7,4,"Alta"
"46",2012,"2005","Finnmark",9,3,"Alta"
"47",2012,"2006","Finnmark",9,6,"Alta"
"48",2012,"2007","Finnmark",9,6,"Alta"
"49",2012,"2008","Finnmark",9,7,"Alta"
"50",2012,"2009","Finnmark",7,7,"Alta"
"51",2012,"2010","Finnmark",7,5,"Alta"
"52",2012,"2011","Finnmark",6,5,"Alta"
"53",2012,"2012","Finnmark",3,5,"Alta"
"54",2012,"2013","Finnmark",2,3,"Alta"
"55",2012,"2014","Finnmark",2,4,"Alta"
"56",2012,"2015","Finnmark",2,3,"Alta"
"57",2012,"2016","Finnmark",1,5,"Alta"
"58",2012,"2017","Finnmark",1,5,"Alta"
"59",2012,"2018","Finnmark",2,5,"Alta"
"60",2012,"2019","Finnmark",2,6,"Alta"
"61",1871,"1990","Nordland",2,4,"Andoy"
"62",1871,"1991","Nordland",2,4,"Andoy"
"63",1871,"1992","Nordland",2,4,"Andoy"
"64",1871,"1993","Nordland",2,5,"Andoy"
"65",1871,"1994","Nordland",2,3,"Andoy"
"66",1871,"1995","Nordland",1,4,"Andoy"
"67",1871,"1996","Nordland",1,4,"Andoy"
"68",1871,"1997","Nordland",1,6,"Andoy"
"69",1871,"1998","Nordland",1,3,"Andoy"
"70",1871,"1999","Nordland",2,3,"Andoy"
"71",1871,"2000","Nordland",2,3,"Andoy"
"72",1871,"2001","Nordland",1,2,"Andoy"
"73",1871,"2002","Nordland",1,4,"Andoy"
"74",1871,"2003","Nordland",4,7,"Andoy"
"75",1871,"2004","Nordland",3,8,"Andoy"
"76",1871,"2005","Nordland",4,10,"Andoy"
"77",1871,"2006","Nordland",4,7,"Andoy"
"78",1871,"2007","Nordland",4,5,"Andoy"
"79",1871,"2008","Nordland",3,6,"Andoy"
"80",1871,"2009","Nordland",2,5,"Andoy"
"81",1871,"2010","Nordland",1,6,"Andoy"
"82",1871,"2011","Nordland",1,7,"Andoy"
"83",1871,"2012","Nordland",1,7,"Andoy"
"84",1871,"2013","Nordland",1,7,"Andoy"
"85",1871,"2014","Nordland",1,6,"Andoy"
"86",1871,"2015","Nordland",1,4,"Andoy"
"87",1871,"2016","Nordland",1,4,"Andoy"
"88",1871,"2017","Nordland",0,7,"Andoy"
"89",1871,"2018","Nordland",0,6,"Andoy"
"90",1871,"2019","Nordland",0,3,"Andoy"
"91",1933,"1990","Troms",0,7,"Balsfjord"
"92",1933,"1991","Troms",0,3,"Balsfjord"
"93",1933,"1992","Troms",1,3,"Balsfjord"
"94",1933,"1993","Troms",0,5,"Balsfjord"
"95",1933,"1994","Troms",0,9,"Balsfjord"
"96",1933,"1995","Troms",0,6,"Balsfjord"
"97",1933,"1996","Troms",0,6,"Balsfjord"
"98",1933,"1997","Troms",1,5,"Balsfjord"
"99",1933,"1998","Troms",1,4,"Balsfjord"
"100",1933,"1999","Troms",0,6,"Balsfjord"
"101",1933,"2000","Troms",1,3,"Balsfjord"
"102",1933,"2001","Troms",1,2,"Balsfjord"
"103",1933,"2002","Troms",0,0,"Balsfjord"
"104",1933,"2003","Troms",0,0,"Balsfjord"
"105",1933,"2004","Troms",0,1,"Balsfjord"
"106",1933,"2005","Troms",1,1,"Balsfjord"
"107",1933,"2006","Troms",0,1,"Balsfjord"
"108",1933,"2007","Troms",0,1,"Balsfjord"
"109",1933,"2008","Troms",0,1,"Balsfjord"
"110",1933,"2009","Troms",0,2,"Balsfjord"
"111",1933,"2010","Troms",0,0,"Balsfjord"
"112",1933,"2011","Troms",0,0,"Balsfjord"
"113",1933,"2012","Troms",0,0,"Balsfjord"
"114",1933,"2013","Troms",0,0,"Balsfjord"
"115",1933,"2014","Troms",0,1,"Balsfjord"
"116",1933,"2015","Troms",0,1,"Balsfjord"
"117",1933,"2016","Troms",0,1,"Balsfjord"
"118",1933,"2017","Troms",0,2,"Balsfjord"
"119",1933,"2018","Troms",0,2,"Balsfjord"
"120",1933,"2019","Troms",0,2,"Balsfjord"
"121",1929,"1990","Troms",1,0,"Berg"
"122",1929,"1991","Troms",1,0,"Berg"
"123",1929,"1992","Troms",1,1,"Berg"
"124",1929,"1993","Troms",1,1,"Berg"
"125",1929,"1994","Troms",1,2,"Berg"
"126",1929,"1995","Troms",1,1,"Berg"
"127",1929,"1996","Troms",1,1,"Berg"
"128",1929,"1997","Troms",1,0,"Berg"
"129",1929,"1998","Troms",0,0,"Berg"
"130",1929,"1999","Troms",0,0,"Berg"
"131",1929,"2000","Troms",0,0,"Berg"
"132",1929,"2001","Troms",0,1,"Berg"
"133",1929,"2002","Troms",0,1,"Berg"
"134",1929,"2003","Troms",0,0,"Berg"
"135",1929,"2004","Troms",0,0,"Berg"
"136",1929,"2005","Troms",0,0,"Berg"
"137",1929,"2006","Troms",0,0,"Berg"
"138",1929,"2007","Troms",0,0,"Berg"
"139",1929,"2008","Troms",0,0,"Berg"
"140",1929,"2009","Troms",1,0,"Berg"
"141",1929,"2010","Troms",1,0,"Berg"
"142",1929,"2011","Troms",1,0,"Berg"
"143",1929,"2012","Troms",0,0,"Berg"
"144",1929,"2013","Troms",0,0,"Berg"
"145",1929,"2014","Troms",0,1,"Berg"
"146",1929,"2015","Troms",0,1,"Berg"
"147",1929,"2016","Troms",0,1,"Berg"
"148",1929,"2017","Troms",0,0,"Berg"
"149",1929,"2018","Troms",0,0,"Berg"
"150",1929,"2019","Troms",0,0,"Berg"
"151",2024,"1990","Finnmark",0,0,"Berlevag"
"152",2024,"1991","Finnmark",0,0,"Berlevag"
"153",2024,"1992","Finnmark",0,0,"Berlevag"
"154",2024,"1993","Finnmark",0,0,"Berlevag"
"155",2024,"1994","Finnmark",0,0,"Berlevag"
"156",2024,"1995","Finnmark",0,0,"Berlevag"
"157",2024,"1996","Finnmark",0,0,"Berlevag"
"158",2024,"1997","Finnmark",0,0,"Berlevag"
"159",2024,"1998","Finnmark",0,0,"Berlevag"
"160",2024,"1999","Finnmark",0,2,"Berlevag"
"161",2024,"2000","Finnmark",0,3,"Berlevag"
"162",2024,"2001","Finnmark",0,3,"Berlevag"
"163",2024,"2002","Finnmark",0,3,"Berlevag"
"164",2024,"2003","Finnmark",0,1,"Berlevag"
"165",2024,"2004","Finnmark",0,0,"Berlevag"
"166",2024,"2005","Finnmark",0,0,"Berlevag"
"167",2024,"2006","Finnmark",0,0,"Berlevag"
"168",2024,"2007","Finnmark",0,0,"Berlevag"
"169",2024,"2008","Finnmark",1,0,"Berlevag"
"170",2024,"2009","Finnmark",2,0,"Berlevag"
"171",2024,"2010","Finnmark",1,1,"Berlevag"
"172",2024,"2011","Finnmark",0,1,"Berlevag"
"173",2024,"2012","Finnmark",0,2,"Berlevag"
"174",2024,"2013","Finnmark",0,2,"Berlevag"
"175",2024,"2014","Finnmark",0,2,"Berlevag"
"176",2024,"2015","Finnmark",0,2,"Berlevag"
"177",2024,"2016","Finnmark",0,2,"Berlevag"
"178",2024,"2017","Finnmark",0,2,"Berlevag"
"179",2024,"2018","Finnmark",0,2,"Berlevag"
"180",2024,"2019","Finnmark",0,2,"Berlevag"
"181",1811,"1990","Nordland",0,0,"Bindal"
"182",1811,"1991","Nordland",0,0,"Bindal"
"183",1811,"1992","Nordland",0,0,"Bindal"
"184",1811,"1993","Nordland",0,1,"Bindal"
"185",1811,"1994","Nordland",0,1,"Bindal"
"186",1811,"1995","Nordland",0,2,"Bindal"
"187",1811,"1996","Nordland",0,1,"Bindal"
"188",1811,"1997","Nordland",0,0,"Bindal"
"189",1811,"1998","Nordland",0,0,"Bindal"
"190",1811,"1999","Nordland",0,0,"Bindal"
"191",1811,"2000","Nordland",0,0,"Bindal"
"192",1811,"2001","Nordland",0,0,"Bindal"
"193",1811,"2002","Nordland",0,0,"Bindal"
"194",1811,"2003","Nordland",0,0,"Bindal"
"195",1811,"2004","Nordland",0,0,"Bindal"
"196",1811,"2005","Nordland",0,0,"Bindal"
"197",1811,"2006","Nordland",0,0,"Bindal"
"198",1811,"2007","Nordland",0,0,"Bindal"
"199",1811,"2008","Nordland",0,1,"Bindal"
"200",1811,"2009","Nordland",0,1,"Bindal"
"201",1811,"2010","Nordland",0,1,"Bindal"
"202",1811,"2011","Nordland",1,0,"Bindal"
"203",1811,"2012","Nordland",0,0,"Bindal"
"204",1811,"2013","Nordland",0,0,"Bindal"
"205",1811,"2014","Nordland",0,0,"Bindal"
"206",1811,"2015","Nordland",0,0,"Bindal"
"207",1811,"2016","Nordland",0,0,"Bindal"
"208",1811,"2017","Nordland",0,0,"Bindal"
