"","county","municip_name","municip_numb","year","age","main_occupation","part_time_occupation"
"1","Finnmark","Alta",2012,"1983","<20",18,4
"2","Finnmark","Alta",2012,"1983","20-29",60,2
"3","Finnmark","Alta",2012,"1983","30-39",53,10
"4","Finnmark","Alta",2012,"1983","40-49",35,4
"5","Finnmark","Alta",2012,"1983","50-59",28,9
"6","Finnmark","Alta",2012,"1983","60-66",21,11
"7","Finnmark","Alta",2012,"1983","67-69",7,4
"8","Finnmark","Alta",2012,"1983","70 OG OVER",2,25
"9","Finnmark","Alta",2012,"1984","<20",20,1
"10","Finnmark","Alta",2012,"1984","20-29",75,3
"11","Finnmark","Alta",2012,"1984","30-39",50,10
"12","Finnmark","Alta",2012,"1984","40-49",38,6
"13","Finnmark","Alta",2012,"1984","50-59",33,16
"14","Finnmark","Alta",2012,"1984","60-66",15,14
"15","Finnmark","Alta",2012,"1984","67-69",6,6
"16","Finnmark","Alta",2012,"1984","70 OG OVER",5,28
"17","Finnmark","Alta",2012,"1985","<20",20,3
"18","Finnmark","Alta",2012,"1985","20-29",75,4
"19","Finnmark","Alta",2012,"1985","30-39",47,9
"20","Finnmark","Alta",2012,"1985","40-49",44,10
"21","Finnmark","Alta",2012,"1985","50-59",38,17
"22","Finnmark","Alta",2012,"1985","60-66",14,19
"23","Finnmark","Alta",2012,"1985","67-69",5,7
"24","Finnmark","Alta",2012,"1985","70 OG OVER",5,28
"25","Finnmark","Alta",2012,"1986","<20",30,3
"26","Finnmark","Alta",2012,"1986","20-29",77,2
"27","Finnmark","Alta",2012,"1986","30-39",48,6
"28","Finnmark","Alta",2012,"1986","40-49",48,12
"29","Finnmark","Alta",2012,"1986","50-59",36,16
"30","Finnmark","Alta",2012,"1986","60-66",14,21
"31","Finnmark","Alta",2012,"1986","67-69",4,7
"32","Finnmark","Alta",2012,"1986","70 OG OVER",5,30
"33","Finnmark","Alta",2012,"1987","<20",19,2
"34","Finnmark","Alta",2012,"1987","20-29",61,2
"35","Finnmark","Alta",2012,"1987","30-39",38,5
"36","Finnmark","Alta",2012,"1987","40-49",43,13
"37","Finnmark","Alta",2012,"1987","50-59",39,18
"38","Finnmark","Alta",2012,"1987","60-66",11,22
"39","Finnmark","Alta",2012,"1987","67-69",4,6
"40","Finnmark","Alta",2012,"1987","70 OG OVER",2,39
"41","Finnmark","Alta",2012,"1988","<20",14,1
"42","Finnmark","Alta",2012,"1988","20-29",64,2
"43","Finnmark","Alta",2012,"1988","30-39",40,6
"44","Finnmark","Alta",2012,"1988","40-49",44,11
"45","Finnmark","Alta",2012,"1988","50-59",31,20
"46","Finnmark","Alta",2012,"1988","60-66",15,19
"47","Finnmark","Alta",2012,"1988","67-69",5,9
"48","Finnmark","Alta",2012,"1988","70 OG OVER",1,37
"49","Finnmark","Alta",2012,"1989","<20",11,1
"50","Finnmark","Alta",2012,"1989","20-29",63,2
"51","Finnmark","Alta",2012,"1989","30-39",43,5
"52","Finnmark","Alta",2012,"1989","40-49",41,11
"53","Finnmark","Alta",2012,"1989","50-59",30,21
"54","Finnmark","Alta",2012,"1989","60-66",16,14
"55","Finnmark","Alta",2012,"1989","67-69",5,16
"56","Finnmark","Alta",2012,"1989","70 OG OVER",3,39
"57","Finnmark","Alta",2012,"1990","<20",11,1
"58","Finnmark","Alta",2012,"1990","20-29",50,3
"59","Finnmark","Alta",2012,"1990","30-39",40,3
"60","Finnmark","Alta",2012,"1990","40-49",44,8
"61","Finnmark","Alta",2012,"1990","50-59",27,17
"62","Finnmark","Alta",2012,"1990","60-66",15,14
"63","Finnmark","Alta",2012,"1990","67-69",7,15
"64","Finnmark","Alta",2012,"1990","70 OG OVER",2,41
"65","Finnmark","Alta",2012,"1991","<20",13,0
"66","Finnmark","Alta",2012,"1991","20-29",56,4
"67","Finnmark","Alta",2012,"1991","30-39",46,3
"68","Finnmark","Alta",2012,"1991","40-49",42,3
"69","Finnmark","Alta",2012,"1991","50-59",25,18
"70","Finnmark","Alta",2012,"1991","60-66",14,20
"71","Finnmark","Alta",2012,"1991","67-69",7,15
"72","Finnmark","Alta",2012,"1991","70 OG OVER",3,41
"73","Finnmark","Alta",2012,"1992","<20",9,1
"74","Finnmark","Alta",2012,"1992","20-29",52,7
"75","Finnmark","Alta",2012,"1992","30-39",44,4
"76","Finnmark","Alta",2012,"1992","40-49",49,10
"77","Finnmark","Alta",2012,"1992","50-59",23,14
"78","Finnmark","Alta",2012,"1992","60-66",19,26
"79","Finnmark","Alta",2012,"1992","67-69",5,7
"80","Finnmark","Alta",2012,"1992","70 OG OVER",5,46
"81","Finnmark","Alta",2012,"1993","<20",8,1
"82","Finnmark","Alta",2012,"1993","20-29",50,5
"83","Finnmark","Alta",2012,"1993","30-39",51,12
"84","Finnmark","Alta",2012,"1993","40-49",51,10
"85","Finnmark","Alta",2012,"1993","50-59",26,15
