"","municip_name","municip_numb","year","part_time_occupation","main_occupation"
"1","Alstahaug",1820,"1990",0,2
"2","Alstahaug",1820,"1991",0,4
"3","Alstahaug",1820,"1992",0,6
"4","Alstahaug",1820,"1993",0,5
"5","Alstahaug",1820,"1994",0,4
"6","Alstahaug",1820,"1995",0,5
"7","Alstahaug",1820,"1996",1,5
"8","Alstahaug",1820,"1997",1,5
"9","Alstahaug",1820,"1998",0,4
"10","Alstahaug",1820,"1999",0,4
"11","Alstahaug",1820,"2000",0,5
"12","Alstahaug",1820,"2001",0,4
"13","Alstahaug",1820,"2002",0,2
"14","Alstahaug",1820,"2003",0,2
"15","Alstahaug",1820,"2004",0,1
"16","Alstahaug",1820,"2005",0,1
"17","Alstahaug",1820,"2006",0,1
"18","Alstahaug",1820,"2007",0,2
"19","Alstahaug",1820,"2008",0,1
"20","Alstahaug",1820,"2009",0,1
"21","Alstahaug",1820,"2010",0,2
"22","Alstahaug",1820,"2011",1,2
"23","Alstahaug",1820,"2012",1,3
"24","Alstahaug",1820,"2013",1,1
"25","Alstahaug",1820,"2014",0,1
"26","Alstahaug",1820,"2015",0,1
"27","Alstahaug",1820,"2016",0,1
"28","Alstahaug",1820,"2017",0,1
"29","Alstahaug",1820,"2018",0,2
"30","Alstahaug",1820,"2019",0,1
"31","Alta",2012,"1990",5,5
"32","Alta",2012,"1991",4,6
"33","Alta",2012,"1992",6,7
"34","Alta",2012,"1993",10,6
"35","Alta",2012,"1994",10,7
"36","Alta",2012,"1995",9,4
"37","Alta",2012,"1996",8,4
"38","Alta",2012,"1997",7,5
"39","Alta",2012,"1998",8,6
"40","Alta",2012,"1999",9,6
"41","Alta",2012,"2000",10,6
"42","Alta",2012,"2001",8,4
"43","Alta",2012,"2002",7,4
"44","Alta",2012,"2003",8,5
"45","Alta",2012,"2004",7,4
"46","Alta",2012,"2005",9,3
"47","Alta",2012,"2006",9,6
"48","Alta",2012,"2007",9,6
"49","Alta",2012,"2008",9,7
"50","Alta",2012,"2009",7,7
"51","Alta",2012,"2010",7,5
"52","Alta",2012,"2011",6,5
"53","Alta",2012,"2012",3,5
"54","Alta",2012,"2013",2,3
"55","Alta",2012,"2014",2,4
"56","Alta",2012,"2015",2,3
"57","Alta",2012,"2016",1,5
"58","Alta",2012,"2017",1,5
"59","Alta",2012,"2018",2,5
"60","Alta",2012,"2019",2,6
"61","Andoy",1871,"1990",2,4
"62","Andoy",1871,"1991",2,4
"63","Andoy",1871,"1992",2,4
"64","Andoy",1871,"1993",2,5
"65","Andoy",1871,"1994",2,3
"66","Andoy",1871,"1995",1,4
"67","Andoy",1871,"1996",1,4
"68","Andoy",1871,"1997",1,6
"69","Andoy",1871,"1998",1,3
"70","Andoy",1871,"1999",2,3
"71","Andoy",1871,"2000",2,3
"72","Andoy",1871,"2001",1,2
"73","Andoy",1871,"2002",1,4
"74","Andoy",1871,"2003",4,7
"75","Andoy",1871,"2004",3,8
"76","Andoy",1871,"2005",4,10
"77","Andoy",1871,"2006",4,7
"78","Andoy",1871,"2007",4,5
"79","Andoy",1871,"2008",3,6
"80","Andoy",1871,"2009",2,5
"81","Andoy",1871,"2010",1,6
"82","Andoy",1871,"2011",1,7
"83","Andoy",1871,"2012",1,7
"84","Andoy",1871,"2013",1,7
"85","Andoy",1871,"2014",1,6
"86","Andoy",1871,"2015",1,4
"87","Andoy",1871,"2016",1,4
"88","Andoy",1871,"2017",0,7
"89","Andoy",1871,"2018",0,6
"90","Andoy",1871,"2019",0,3
"91","Ballangen",1854,"1990",0,0
"92","Ballangen",1854,"1991",0,0
"93","Ballangen",1854,"1992",0,0
"94","Ballangen",1854,"1993",0,0
"95","Ballangen",1854,"1994",0,0
"96","Ballangen",1854,"1995",0,0
"97","Ballangen",1854,"1996",0,0
"98","Ballangen",1854,"1997",0,0
"99","Ballangen",1854,"1998",0,0
"100","Ballangen",1854,"1999",0,0
"101","Ballangen",1854,"2000",0,0
"102","Ballangen",1854,"2001",0,0
"103","Ballangen",1854,"2002",0,0
"104","Ballangen",1854,"2003",0,0
"105","Ballangen",1854,"2004",0,0
"106","Ballangen",1854,"2005",0,0
"107","Ballangen",1854,"2006",0,0
"108","Ballangen",1854,"2007",0,0
"109","Ballangen",1854,"2008",0,0
"110","Ballangen",1854,"2009",0,0
"111","Ballangen",1854,"2010",0,0
"112","Ballangen",1854,"2011",0,0
"113","Ballangen",1854,"2012",0,0
"114","Ballangen",1854,"2013",0,0
"115","Ballangen",1854,"2014",0,0
"116","Ballangen",1854,"2015",0,0
"117","Ballangen",1854,"2016",0,0
"118","Ballangen",1854,"2017",0,0
"119","Ballangen",1854,"2018",0,0
"120","Ballangen",1854,"2019",0,0
"121","Balsfjord",1933,"1990",0,7
"122","Balsfjord",1933,"1991",0,3
"123","Balsfjord",1933,"1992",1,3
"124","Balsfjord",1933,"1993",0,5
"125","Balsfjord",1933,"1994",0,9
"126","Balsfjord",1933,"1995",0,6
