"","municip_numb","vessel_length","county","year","number_of_vessels","municipality"
"1","1820","0to9.99m","Nordland","1980",171,"Alstahaug"
"2","1820","0to9.99m","Nordland","1981",181,"Alstahaug"
"3","1820","0to9.99m","Nordland","1982",182,"Alstahaug"
"4","1820","0to9.99m","Nordland","1983",143,"Alstahaug"
"5","1820","0to9.99m","Nordland","1984",152,"Alstahaug"
"6","1820","0to9.99m","Nordland","1985",150,"Alstahaug"
"7","1820","0to9.99m","Nordland","1986",153,"Alstahaug"
"8","1820","0to9.99m","Nordland","1987",152,"Alstahaug"
"9","1820","0to9.99m","Nordland","1988",144,"Alstahaug"
"10","1820","0to9.99m","Nordland","1989",144,"Alstahaug"
"11","1820","0to9.99m","Nordland","1990",144,"Alstahaug"
"12","1820","0to9.99m","Nordland","1991",78,"Alstahaug"
"13","1820","0to9.99m","Nordland","1992",75,"Alstahaug"
"14","1820","0to9.99m","Nordland","1993",77,"Alstahaug"
"15","1820","0to9.99m","Nordland","1994",78,"Alstahaug"
"16","1820","0to9.99m","Nordland","1995",68,"Alstahaug"
"17","1820","0to9.99m","Nordland","1996",62,"Alstahaug"
"18","1820","0to9.99m","Nordland","1997",54,"Alstahaug"
"19","1820","0to9.99m","Nordland","1998",49,"Alstahaug"
"20","1820","0to9.99m","Nordland","1999",50,"Alstahaug"
"21","1820","0to9.99m","Nordland","2000",49,"Alstahaug"
"22","1820","0to9.99m","Nordland","2001",49,"Alstahaug"
"23","1820","0to9.99m","Nordland","2002",40,"Alstahaug"
"24","1820","0to9.99m","Nordland","2003",30,"Alstahaug"
"25","1820","0to9.99m","Nordland","2004",25,"Alstahaug"
"26","1820","0to9.99m","Nordland","2005",27,"Alstahaug"
"27","1820","0to9.99m","Nordland","2006",24,"Alstahaug"
"28","1820","0to9.99m","Nordland","2007",20,"Alstahaug"
"29","1820","0to9.99m","Nordland","2008",18,"Alstahaug"
"30","1820","0to9.99m","Nordland","2009",13,"Alstahaug"
"31","1820","0to9.99m","Nordland","2010",13,"Alstahaug"
"32","1820","0to9.99m","Nordland","2011",14,"Alstahaug"
"33","1820","0to9.99m","Nordland","2012",12,"Alstahaug"
"34","1820","0to9.99m","Nordland","2013",12,"Alstahaug"
"35","1820","0to9.99m","Nordland","2014",11,"Alstahaug"
"36","1820","0to9.99m","Nordland","2015",11,"Alstahaug"
"37","1820","0to9.99m","Nordland","2016",14,"Alstahaug"
"38","1820","0to9.99m","Nordland","2017",15,"Alstahaug"
"39","1820","0to9.99m","Nordland","2018",11,"Alstahaug"
"40","1820","0to9.99m","Nordland","2019",10,"Alstahaug"
"41","1820","10to10.99m","Nordland","1980",5,"Alstahaug"
"42","1820","10to10.99m","Nordland","1981",5,"Alstahaug"
"43","1820","10to10.99m","Nordland","1982",6,"Alstahaug"
"44","1820","10to10.99m","Nordland","1983",3,"Alstahaug"
"45","1820","10to10.99m","Nordland","1984",2,"Alstahaug"
"46","1820","10to10.99m","Nordland","1985",3,"Alstahaug"
"47","1820","10to10.99m","Nordland","1986",2,"Alstahaug"
"48","1820","10to10.99m","Nordland","1987",1,"Alstahaug"
"49","1820","10to10.99m","Nordland","1988",1,"Alstahaug"
"50","1820","10to10.99m","Nordland","1989",1,"Alstahaug"
"51","1820","10to10.99m","Nordland","1990",1,"Alstahaug"
"52","1820","10to10.99m","Nordland","1991",2,"Alstahaug"
"53","1820","10to10.99m","Nordland","1992",6,"Alstahaug"
"54","1820","10to10.99m","Nordland","1993",6,"Alstahaug"
"55","1820","10to10.99m","Nordland","1994",4,"Alstahaug"
"56","1820","10to10.99m","Nordland","1995",4,"Alstahaug"
"57","1820","10to10.99m","Nordland","1996",3,"Alstahaug"
"58","1820","10to10.99m","Nordland","1997",2,"Alstahaug"
"59","1820","10to10.99m","Nordland","1998",2,"Alstahaug"
"60","1820","10to10.99m","Nordland","1999",2,"Alstahaug"
"61","1820","10to10.99m","Nordland","2000",2,"Alstahaug"
"62","1820","10to10.99m","Nordland","2001",1,"Alstahaug"
"63","1820","10to10.99m","Nordland","2002",2,"Alstahaug"
"64","1820","10to10.99m","Nordland","2003",3,"Alstahaug"
"65","1820","10to10.99m","Nordland","2004",5,"Alstahaug"
"66","1820","10to10.99m","Nordland","2005",5,"Alstahaug"
"67","1820","10to10.99m","Nordland","2006",6,"Alstahaug"
"68","1820","10to10.99m","Nordland","2007",4,"Alstahaug"
"69","1820","10to10.99m","Nordland","2008",5,"Alstahaug"
"70","1820","10to10.99m","Nordland","2009",6,"Alstahaug"
"71","1820","10to10.99m","Nordland","2010",6,"Alstahaug"
"72","1820","10to10.99m","Nordland","2011",6,"Alstahaug"
"73","1820","10to10.99m","Nordland","2012",5,"Alstahaug"
"74","1820","10to10.99m","Nordland","2013",5,"Alstahaug"
"75","1820","10to10.99m","Nordland","2014",5,"Alstahaug"
"76","1820","10to10.99m","Nordland","2015",5,"Alstahaug"
"77","1820","10to10.99m","Nordland","2016",6,"Alstahaug"
"78","1820","10to10.99m","Nordland","2017",7,"Alstahaug"
"79","1820","10to10.99m","Nordland","2018",6,"Alstahaug"
"80","1820","10to10.99m","Nordland","2019",5,"Alstahaug"
"81","1820","11to14.99m","Nordland","1980",6,"Alstahaug"
"82","1820","11to14.99m","Nordland","1981",5,"Alstahaug"
"83","1820","11to14.99m","Nordland","1982",6,"Alstahaug"
"84","1820","11to14.99m","Nordland","1983",6,"Alstahaug"
"85","1820","11to14.99m","Nordland","1984",7,"Alstahaug"
