Year,smfleets_count_new,Kommunenr_new,allfleets_count_new,small_fleet_prop
2001,7,1903,106,0.0660377358490566
2001,1,1805,14,0.07142857142857142
2001,0,1811,16,0
2001,0,1812,18,0
2001,9,1813,77,0.11688311688311688
2001,1,1815,68,0.014705882352941176
2001,0,1816,20,0
2001,6,1818,123,0.04878048780487805
2001,6,1820,56,0.10714285714285714
2001,2,1822,28,0.07142857142857142
2001,0,1824,13,0
2001,2,1827,59,0.03389830508474576
2001,1,1828,9,0.1111111111111111
2001,0,1832,5,0
2001,0,1833,13,0
2001,13,1834,132,0.09848484848484848
2001,7,1835,68,0.10294117647058823
2001,7,1836,106,0.0660377358490566
2001,4,1837,191,0.020942408376963352
2001,6,1838,110,0.05454545454545454
2001,2,1840,11,0.18181818181818182
2001,0,1841,16,0
2001,1,1845,18,0.05555555555555555
2001,3,1848,84,0.03571428571428571
2001,1,1849,21,0.047619047619047616
2001,3,1850,23,0.13043478260869565
2001,1,1851,42,0.023809523809523808
2001,0,1852,17,0
2001,0,1853,3,0
2001,1,1854,14,0.07142857142857142
2001,17,1856,73,0.2328767123287671
2001,16,1857,87,0.1839080459770115
2001,20,1859,177,0.11299435028248588
2001,27,1860,253,0.1067193675889328
2001,26,1865,251,0.10358565737051793
2001,10,1866,88,0.11363636363636363
2001,10,1867,133,0.07518796992481203
2001,21,1868,164,0.12804878048780488
2001,4,1870,43,0.09302325581395349
2001,8,1871,166,0.04819277108433735
2001,17,1874,192,0.08854166666666667
2001,25,1902,477,0.05241090146750524
2001,1,1911,37,0.02702702702702703
2001,1,1913,9,0.1111111111111111
2001,5,1917,34,0.14705882352941177
2001,1,1919,15,0.06666666666666667
2001,3,1920,11,0.2727272727272727
2001,0,1923,2,0
2001,0,1924,9,0
2001,0,1925,6,0
2001,0,1926,13,0
2001,2,1927,72,0.027777777777777776
2001,7,1928,158,0.04430379746835443
2001,4,1929,71,0.056338028169014086
2001,18,1931,188,0.09574468085106383
2001,2,1933,56,0.03571428571428571
2001,14,1936,223,0.06278026905829596
2001,9,1938,75,0.12
2001,0,1939,14,0
2001,3,1940,61,0.04918032786885246
2001,7,1941,179,0.03910614525139665
2001,0,1942,77,0
2001,4,1943,89,0.0449438202247191
2001,11,1804,185,0.05945945945945946
2001,16,2002,67,0.23880597014925373
2001,5,2003,66,0.07575757575757576
2001,11,2004,133,0.08270676691729323
2001,4,2012,224,0.017857142857142856
2001,12,2014,123,0.0975609756097561
2001,8,2015,87,0.09195402298850575
2001,3,2017,36,0.08333333333333333
2001,15,2018,158,0.0949367088607595
2001,23,2019,185,0.12432432432432433
2001,3,2020,53,0.05660377358490566
2001,9,2022,86,0.10465116279069768
2001,10,2023,83,0.12048192771084337
2001,12,2024,59,0.2033898305084746
2001,4,2025,57,0.07017543859649122
2001,2,2027,50,0.04
2001,8,2028,62,0.12903225806451613
2001,0,2030,57,0
2002,8,1903,86,0.09302325581395349
2002,0,1805,12,0
2002,0,1811,15,0
2002,0,1812,16,0
2002,9,1813,67,0.13432835820895522
2002,1,1815,58,0.017241379310344827
2002,0,1816,19,0
2002,5,1818,112,0.044642857142857144
2002,5,1820,47,0.10638297872340426
2002,3,1822,19,0.15789473684210525
2002,1,1824,12,0.08333333333333333
2002,1,1827,51,0.0196078431372549
2002,1,1828,9,0.1111111111111111
2002,0,1832,5,0
2002,0,1833,8,0
2002,12,1834,86,0.13953488372093023
2002,6,1835,52,0.11538461538461539
2002,5,1836,80,0.0625
2002,5,1837,144,0.034722222222222224
2002,6,1838,53,0.11320754716981132
2002,2,1840,11,0.18181818181818182
2002,0,1841,14,0
2002,1,1845,16,0.0625
2002,3,1848,77,0.03896103896103896
2002,2,1849,17,0.11764705882352941
2002,4,1850,24,0.16666666666666666
2002,1,1851,36,0.027777777777777776
2002,1,1852,12,0.08333333333333333
2002,0,1853,3,0
2002,1,1854,6,0.16666666666666666
2002,16,1856,71,0.22535211267605634
2002,16,1857,82,0.1951219512195122
2002,23,1859,161,0.14285714285714285
2002,27,1860,214,0.1261682242990654
2002,27,1865,235,0.1148936170212766
2002,7,1866,80,0.0875
2002,10,1867,127,0.07874015748031496
2002,22,1868,155,0.14193548387096774
2002,4,1870,48,0.08333333333333333
2002,9,1871,114,0.07894736842105263
2002,17,1874,170,0.1
2002,25,1902,481,0.05197505197505198
2002,1,1911,31,0.03225806451612903
2002,0,1913,9,0
2002,5,1917,25,0.2
2002,1,1919,10,0.1
2002,3,1920,9,0.3333333333333333
2002,0,1923,2,0
2002,0,1924,7,0
2002,0,1925,7,0
2002,0,1926,13,0
2002,2,1927,36,0.05555555555555555
2002,9,1928,91,0.0989010989010989
2002,2,1929,66,0.030303030303030304
2002,21,1931,195,0.1076923076923077
2002,2,1933,53,0.03773584905660377
2002,16,1936,222,0.07207207207207207
2002,10,1938,74,0.13513513513513514
2002,2,1939,16,0.125
2002,2,1940,60,0.03333333333333333
2002,7,1941,189,0.037037037037037035
2002,0,1942,73,0
2002,3,1943,90,0.03333333333333333
2002,12,1804,188,0.06382978723404255
2002,15,2002,71,0.2112676056338028
2002,7,2003,68,0.10294117647058823
2002,15,2004,141,0.10638297872340426
2002,6,2012,232,0.02586206896551724
2002,10,2014,124,0.08064516129032258
2002,6,2015,87,0.06896551724137931
2002,2,2017,36,0.05555555555555555
2002,14,2018,167,0.08383233532934131
2002,21,2019,186,0.11290322580645161
2002,3,2020,52,0.057692307692307696
2002,9,2022,91,0.0989010989010989
2002,10,2023,86,0.11627906976744186
2002,13,2024,55,0.23636363636363636
2002,2,2025,55,0.03636363636363636
2002,2,2027,51,0.0392156862745098
2002,12,2028,62,0.1935483870967742
2002,0,2030,57,0
2003,7,1903,75,0.09333333333333334
2003,1,1805,10,0.1
2003,0,1811,14,0
2003,0,1812,15,0
2003,10,1813,73,0.136986301369863
2003,1,1815,54,0.018518518518518517
2003,1,1816,20,0.05
2003,4,1818,79,0.05063291139240506
2003,4,1820,37,0.10810810810810811
2003,3,1822,15,0.2
2003,1,1824,9,0.1111111111111111
2003,1,1827,40,0.025
2003,1,1828,5,0.2
2003,0,1832,2,0
2003,0,1833,8,0
2003,12,1834,85,0.1411764705882353
2003,6,1835,52,0.11538461538461539
2003,6,1836,83,0.07228915662650602
2003,6,1837,135,0.044444444444444446
2003,7,1838,44,0.1590909090909091
2003,2,1840,11,0.18181818181818182
2003,0,1841,13,0
